Όνομα,Απόσταση από νοσοκομείο,Αστέρια,Ιστοσελίδα,E-Mail,Τηλέφωνο,Τηλέφωνο 2,Εναλλακτικό Τηλέφωνο,Αριθμός Φαξ,Εναλλακτικό Φαξ,Πόλη,Διεύθυνση,Ταχυδρομικός Κώδικας
ΒΟΤΣΑΛΑ,"


2 Χλμ
",2,www.votsalahotel.com,votsalah@otenet.gr,22510-71231,22510-71232,21-09338887,22510-71179,21-09338887,Παραλία Θερμής,,811 00
ΒΟΤΣΑΛΑΚΙΑ ΠΛΑΖ,,1,www.votsalakiahotel.gr,hotelvotsalakia@gmail.com,22730-37355,22730-37188,,22730-37189,,Μαραθόκαμπος,ΜΑΡΑΘΟΚΑΜΠΟΣ ΣΑΜΟΥ,831 02
ΒΟΥΝΟ ΧΩΡΙΟ ΔΙΑΜΕΡΙΣΜΑΤΑ,"


21 Χλμ
",3,www.vounovillage.gr,vounovillage@gmail.com,22710-61945,69460-26661,2271020138,22710-61945,2271040152,Βουνό,ΜΑΣΤΙΧΑΡΗΣ ΒΟΥΝΟ ΧΙΟΥ,821 00
ΓΑΛΑΖΙΑ ΘΑΛΑΣΣΑ,"


3 Χλμ
",3,www.bluesealesvos.gr,hbluesea1@hotmail.com,22510-23994,22510-23995,,22510-29656,,Μυτιλήνη,ΚΟΥΝΤΟΥΡΙΩΤΗ 91,811 00
ΓΑΛΑΖΙΑ ΝΕΡΑ,,2,,,22540-24403,,,,,Μύρινα,,814 00
ΓΑΛΑΖΙΟ ΑΣΤΕΡΙ  Ι,,2,www.bluestar-eresos.gr,info@bluestar-eresos.gr,22530-53779,22530-52200,,22510-43718,,Σκάλα Ερεσού,,811 05
ΓΑΛΑΖΙΟ ΑΣΤΕΡΙ ΝΟ 2,,2,,,22510-71777,,,22510-71080,,Παραλία Θερμής,ΘΕΡΜΗ ΜΥΤΙΛΗΝΗΣ,811 00
ΓΑΛΑΖΙΟ ΣΑΜΙΩΤΙΚΟ ΧΩΡΙΟ,,3,www.hydrelebeach.com,hydrele@sam.forthnet.gr,22730-61702,,,22730-61602,,Ποτοκάκι,ΠΟΤΟΚΑΚΙ ΣΑΜΟΥ,831 03
ΓΑΛΑΖΙΟΣ ΚΟΛΠΟΣ,"


4 Χλμ
",2,,info@bluebay-lesvos.com,22510-91000,22510-91468,2251-091000,22510-91004,2251-091004,Χαραμίδα,ΧΑΡΑΜΙΔΑ ΛΟΥΤΡΩΝ ΛΕΣΒΟΥ,811 00
ΓΑΛΑΖΙΟΣ ΟΥΡΑΝΟΣ,"


0.01 Χλμ
",3,https://blueskyhotel-lesvos.com/,avbluesky@hotmail.com,+30 6932662422,22530-41524,2253-042211,22530-42212,,Πέτρα,,811 09
ΓΑΛΗΝΗ,"


3 Χλμ
",1,,frosoxoriati@yahoo.com,22750-22530,2275110131,22750-22530,2272024059,2275024059,Θέρμα,,833 00
ΓΑΛΗΝΗ,"


0.2 Χλμ
",2,www.hotel-galinos.gr,hgalini@otenet.gr,6973491230,,2253053138,22530-53137,2253053137,Σκάλα Ερεσού,ΣΚΑΛΑ ΕΡΕΣΣΟΥ ΛΕΣΒΟΥ,811 05
ΓΕΩΡΓΙΟΣ,"


2 Χλμ
",2,,hotel.george.ikaria@gmail.com,22750-22517,,2275-023426,,,Θέρμα,ΘΕΡΜΑΙ ΙΚΑΡΙΑΣ,833 00
ΓΕΩΡΓΙΟΣ ΣΑΝΔΑΛΗΣ,"


0.2 Χλμ
",2,,sandalishotel@yahoo.gr,22730-61691,22730 61700,2273-061691,22730-61251,2273-061251,Πυθαγόρειο,ΠΥΘΑΓΟΡΕΙΟ ΣΑΜΟΥ,831 03
ΓΙΑΣΕΜΙ,,3,www.yasemi-chios.gr,info@yasemi-chios.gr,22740-21474,,,,,Χίος,ΧΡΙΣΤΟΣ ΒΟΛΙΣΣΟΥ,821 09
ΓΟΡΓΟΝΑ,"


2.5 Χλμ
",1,www.gorgonahotel.gr,info@gorgonahotel.gr,22530-55301,,2106232621,22530-55400,,Σκάλα Συκαμινέας,ΣΚΑΛΑ ΣΥΚΑΜΙΝΕΑΣ ΛΕΣΒΟΥ,811 04
ΔΑΙΔΑΛΟΣ,"


7 Χλμ
",2,www.daidaloshotel.gr,info@daidaloshotel.gr,22750-71390,22750-71392,,22750-71393,2275-071393,Αρμενιστής,ΑΡΜΕΝΙΣΤΗ ΙΚΑΡΙΑΣ,833 01
ΔΑΦΝΗ,"


0.8 Χλμ
",3,www.daphnehotel.gr,info@daphnehotel.gr,22730-94003,22730-94493,21-04113485,22730-94594,21-04177531,Άγιος Κωνσταντίνος,ΑΓ.ΚΩΝ/ΝΟΣ ΣΑΜΟΥ,832 00
ΔΕΛΦΙΝΙ,"


0.1 Χλμ
",2,,dolphinsamos@gmail.com,2273061205,,2273061205,2273061842,2273061842,Πυθαγόρειο,ΠΥΘΑΓΟΡΕΙΟ ΣΑΜΟΥ,831 03
ΔΕΛΦΙΝΙΑ 1,"


1.3 Χλμ
",3,www.hoteldelfinia.com,info@hoteldelfinia.com,22530-71315,22530-71502,,22530-71524,,Μήθυμνα,ΜΗΘΥΜΝΑ ΛΕΣΒΟΥ,811 08
ΔΕΥΚΑΛΙΩΝ,"


16 Χλμ
",2,http://www.hoteldefkalion.com/,hoteldefkalion@hotmail.com,22530-41904,,,22530-42214,,Πέτρα,ΠΕΤΡΑ ΛΕΣΒΟΥ,811 09
ΔΙΑΜΑΝΤΙΔΗΣ,"


0.1 Χλμ
",3,www.hoteldiamantidis.gr,info@hoteldiamantidis.gr,22540-24002,22540 22397,,22540-23187,,Μύρινα,ΜΥΡΙΝΑ ΛΗΜΝΟΥ,814 00
ΔΙΑΝΑ,"


2 Χλμ
",2,www.diana-hotel-chios.gr,info@diana-hotel-chios.gr,22710-44180,22710-24656,,22710-26748,,Χίος,ΕΛΕΥΘΕΡΙΟΥ ΒΕΝΙΖΕΛΟΥ 92,821 00
ΔΟΡΥΣΣΑ ΠΑΡΑΘΑΛΑΣΣΙΟ ΘΕΡΕΤΡΟ,"


15 Χλμ
",5,www.doryssabay.gr,doryssa@otenet.gr,22730-88300,88314,2273-088314,22730-61463,2273-061463,Πυθαγόρειο,ΠΥΘΑΓΟΡΕΙΟ ΣΑΜΟΥ,831 03
ΕΒΓΑΤΗΣ,"


7 Χλμ
",3,www.hotel-evgatis.gr,evgatis@otenet.gr,22540-51700,22540-24508,2254-024508,22540-51702,,Κοντιάς,ΠΑΡΑΛΙΑ ΕΒΓΑΤΗΣ,814 00
ΕΒΕΛΙΝ,"


0.8 Χλμ
",2,,info@evelinhotel.gr,22730-61124,22730-61077,2273-061124,22730-61077,2273-061077,Πυθαγόρειο,ΓΛΥΦΑΔΑ ΠΥΘΑΓΟΡΕΙΟΥ ΣΑΜΟΥ,831 03
ΕΙΡΗΝΗ,"


8 Χλμ
",2,www.vatera-lesvos.com,irinihtl@otenet.gr,22520-61407,22520-61409,6944-461118,22520-61410,2252-061410,Βατερά,ΒΑΤΕΡΑ ΛΕΣΒΟΥ,813 00
ΕΛ ΚΟΡΑΛ-ΚΟΡΑΛΙ,"


2 Χλμ
",2,,el-coral@otenet.gr,22730-61604,,2273-023626,22730-61919,2273-061919,Ποτοκάκι,ΠΟΤΟΚΑΚΙ ΣΑΜΟΥ,831 00
ΕΛΑΙΟΤΡΙΒΕΙΟ,"


20 Χλμ
",3,www.olivepresshotel.gr,reservations@olivepresshotel.gr,22530-72020,,2253-071205,22530-71647,,Μήθυμνα,ΜΗΘΥΜΝΑ ΛΕΣΒΟΥ,811 08
ΕΛΑΙΟΤΡΙΒΕΙΟ ΙΙ,"


20 Χλμ
",3,www.olivepress-hotel.com,panatria@les.forthnet.gr,22530-71205,,2253-071205,22530-71647,2253-071647,Μήθυμνα,ΜΗΘΥΜΝΑ ΛΕΣΒΟΥ,811 08
ΕΛΕΝ,"


0.2 Χλμ
",2,,tsakalof1@yahoo.gr,22730-28215,22730-22886,2273-023353,22730-22866,,Βαθύ,ΓΡΑΜΜΟΥ ΚΑΤΣΟΥΝΗ 2,831 00
ΕΛΕΝΑ,"


2 Χλμ
",2,,,22510-94023,69770-42621,210-9625475,,,Λουτρόπολη Θερμής,ΞΑΜΠΕΛΙΑ,811 00
ΕΛΕΝΗ-ΓΙΟΛΑΝΤΑ,"


12 Χλμ
",2,,elvako.ae@gmail.com,2273092025,6932425517,,2273092025,,Κοκκάρι,ΛΕΜΟΝΑΚΙΑ ΚΟΚΚΑΡΙΟΥ ΣΑΜΟΥ,831 00
ΕΛΙΣΙΟΝ,"


5 Χλμ
",5,www.elysion.gr,info@elysion.gr,22510-61531,22510-61532,,22510-61294,,Νεάπολη,ΝΕΑΠΟΛΗ ΛΕΣΒΟΥ,811 00
ΕΛΛΗΝΙΚΟ ΚΑΣΤΡΟ,"


2 Χλμ
",4,www.greciancastle.gr,info@greciancastle.gr,22710-44740,22710-44741,,22710-44052,,Χίος,ΛΕΩΦ.ΕΝΩΣΕΩΣ,821 00
ΕΜΙΛΥ,"


0.3 Χλμ
",2,,emilyhotel@hotmail.com,22730-24691,22730-24692,,22730-24692,,Βαθύ,ΒΑΘΥ ΣΑΜΟΥ,831 00
ΕΝΝΕΑ ΜΟΥΣΕΣ,"


16 Χλμ
",2,www.9musses.gr,9musses@gmail.com,22510-94209,210-9342214,6947-402632,22510-94209,21-09342214,Σκάλα Μιστεγνών,ΠΑΡΑΛΙΑ ΜΥΣΤΕΓΝΩΝ ΛΕΣΒΟΥ,811 00
ΕΡΑΤΩ,"


2 Χλμ
",2,www.eratohotel.gr,info@eratohotel.gr,22730-38188,22730-89450,2273-033833,22730-34585,2273-033700,Νέο Καρλοβάσι,ΚΑΡΛΟΒΑΣΙ ΣΑΜΟΥ,832 00
ΕΡΙΦΥΛΛΗ,"


1.2 Χλμ
",3,http://eriphillyhotel-molivos.com,xdoulgeris@gmail.com,6937391137,22530-71831,2253-071088,22530-71818,,Μήθυμνα,,811 08
ΕΡΜΗΣ,"


0.1 Χλμ
",2,,hermeshotelmolivos@gmail.com,22530-71250,22530-72050,2253-071250,22530-72050,,Μήθυμνα,ΜΗΘΥΜΝΑ ΛΕΣΒΟΥ,811 08
ΕΡΥΘΑ,"


7 Χλμ
",4,www.erytha.gr,erytha@erytha.gr,2271032311,2107298800,2271032311,2271032182,2271032182,Καρφάς,ΚΑΡΦΑΣ ΧΙΟΥ,821 00
ΕΡΩΦΙΛΗ ΜΠΗΤΣ,"


5 Χλμ
",3,www.erofili.gr,info@erofili.gr,22730-71058,22730-71059,,22730-71483,,Αρμενιστής,ΑΡΜΕΝΙΣΤΗ ΙΚΑΡΙΑΣ,833 01
ΕΣΠΕΡΙΑ,"


1 Χλμ
",2,,hesperiahotelsamos@gmail.com,22730-30706,22730-30708,2273-089410,22730-30707,2273-089419,Νέο Καρλοβάσι,ΚΑΡΛΟΒΑΣΙ ΣΑΜΟΥ,832 00
ΕΣΠΕΡΙΔΕΣ,"


4 Χλμ
",2,,info@chiosxenia.com,22710-51691,6947990064,2271-033371,22710-51691,,Νεοχώρι,ΑΓ.ΦΩΤΕΙΝΗ-ΝΕΟΧΩΡΙΟ ΧΙΟΥ,821 00
ΕΥΔΟΞΙΑ,"


3 Χλμ
",1,www.evdoxia.gr,sofia@evdoxia.gr,22750-31502,22750-31571,,22750-31571,,Εύδηλος,ΕΥΔΗΛΟΣ ΙΚΑΡΙΑΣ,833 02
ΕΥΡΥΠΥΛΗ,"


0.6 Χλμ
",1,,,22730-61834,,2273-061075,,,Πυθαγόρειο,,831 03
ΕΦΤΑΛΟΥ,"


1.5 Χλμ
",2,www.eftalouhotel.com,info@eftalouhotel.com,22530-71584,22530-71670,,22530-71669,,Μήθυμνα,ΜΗΘΥΜΝΑ ΛΕΣΒΟΥ,811 08
ΖΑΙΡΑ,"


7 Χλμ
",1,www.hotel-zaira.gr,info.zaira@gmail.com,22510-91100,22510-91188,2251-091188,22510-91100,,Σκάλα Λουτρών,ΣΚΑΛΑ ΛΟΥΤΡΩΝ-ΜΥΤΙΛΗΝΗ,811 00
ΖΕΥΣ,,3,,zeussa@otenet.gr,2273095373,,,,,Πυθαγόρειο,,83103
ΖΕΦΥΡΟΣ,"


13 Χλμ
",2,,,22730-62346,22730-62190,2273-091540,,2273-091674,Πυθαγόρειο,ΠΥΘΑΓΟΡΕΙΟ ΣΑΜΟΥ,831 03
ΖΟΡΜΠΑΣ,"


0.1 Χλμ
",2,www.zorbas-samos.com,info@zorbas-samos.com,22730-61009,22730-61012,2273-034984,22730-61012,2273-034984,Πυθαγόρειο,,831 03
ΗΛΙΟΒΑΣΙΛΕΜΑ,"


0.8 Χλμ
",2,www.sunset.gr,info@sunset.gr,22530-41003,,2253-041003,22530-41880,2253-041880,Πέτρα,,811 09
ΗΛΙΟΒΑΣΙΛΕΜΑ,"


6 Χλμ
",1,www.sunsetlemnos.gr,info@sunsetapartments.gr,22540-61555,22540-61593,2254-061593,22540-61555,2554-061555,Κάσπακας,ΚΑΣΠΑΚΑ ΛΗΜΝΟΥ,814 00
ΗΛΙΟΛΟΥΣΤΟ ΧΩΡΙΟ,"


10 Χλμ
",3,www.sunvillagehotel-chios.com,sunvillagegr@yahoo.gr,22710-32401,22710-32402,2271-032401,22710-32400,,Θυμιανά,ΘΥΜΙΑΝΑ ΧΙΟΥ,821 00
ΗΛΙΟΣ,"


1.5 Χλμ
",2,www.samosun.com,samossun@otenet.gr,22730-61365,,2273-061365,22730-61587,2273-061587,Πυθαγόρειο,ΠΥΘΑΓΟΡΕΙΟΝ ΣΑΜΟΥ,831 03
ΗΛΙΟΣ & ΘΑΛΑΣΣΑ,,3,www.sunseahotel.gr,info@sunseahotel.gr,22530-42642,,6944747117,,,Πέτρα,,811 09
ΗΛΙΟΣ ΣΑΜΟΥ,"


1.5 Χλμ
",3,www.samosun.com,samossun@otenet.gr,22730-61791,22730 61365,2273-061791,22730-62118,2273-062118,Πυθαγόρειο,ΠΥΘΑΓΟΡΕΙΟ ΣΑΜΟΥ,831 03
ΗΛΙΟΤΡΟΠΙΟ,"


2 Χλμ
",4,www.heliotrope.gr,info@heliotropehotels.gr,22510-45857,22510-44466,22510-45857,22510-44272,,Βαρειά,ΒΙΓΛΑ ΜΥΤΙΛΗΝΗΣ,811 00
ΗΛΙΟΤΡΟΠΙΟ ΙΙ,"


2.5 Χλμ
",4,www.heliotropehotels.gr,info@heliotropehotels.gr,22510-45857,,6976-974600,22510-45900,,Βαρειά,ΒΙΓΛΑ ΒΑΡΕΙΑΣ ΜΥΤΙΛΗΝΗΣ,811 00
ΗΛΙΟΧΑΡΑΜΑ ΘΕΡΕΤΡΟ,"


1.5 Χλμ
",5,www.sunrisehotel-lesvos.com,sunrisemolivos@gmail.com,22530-71735,22530-71779,2253-071735,22530-71791,2253-071791,Μήθυμνα,ΜΗΘΥΜΝΑ ΛΕΣΒΟΥ,811 08
ΗΡΑ,"


0.1 Χλμ
",2,www.hera2hotel.gr,herasamos@hotmail.com,22730-61319,22730-61428,2273-061319,22730-61196,2273-061196,Πυθαγόρειο,ΠΥΘΑΓΟΡΕΙΟ ΣΑΜΟΥ,831 03
ΗΡΑ 2,"


0.2 Χλμ
",2,www.hera2hotel.gr,herasamos@hotmail.com,22730-61879,22730-61319,2273-061319,22730-61196,2273-061196,Πυθαγόρειο,ΠΥΘΑΓΟΡΕΙΟΝ ΣΑΜΟΥ,831 03
ΗΡΩ,"


3 Χλμ
",2,,iromikro@gmail.com,22710-51166,22710-32826,21-06823813,210-6820524,,Παραλία Αγίας Φωτεινής,ΑΓ.ΦΩΤΕΙΝΗ ΝΕΟΧΩΡΙΟΥ ΧΙΟΥ,821 00
ΗΦΑΙΣΤΟΣ,"


1 Χλμ
",2,www.ifestoshotel.gr,info@ifestoshotel.gr,22540-24960,2254022950,2254-023958,22540-23623,2254-023623,Μύρινα,ΜΥΡΙΝΑ ΛΗΜΝΟΥ,814 00
ΘΑΛΑΣΣΙΟ ΑΛΟΓΟ,"


0.5 Χλμ
",2,www.seahorse-hotel.com,tekes@otenet.gr,22530-71320,22530-71630,2253-072033,22530-71374,,Μήθυμνα,ΜΗΘΥΜΝΑ ΛΕΣΒΟΥ,811 08
ΘΑΛΙΝΑ,"


5 Χλμ
",3,www.thalina.gr,thalina_samos@yahoo.gr,22730-31304,,2273-031304,22730-37276,,Κάμπος Μαραθοκάμπου,,831 02
ΘΕΟΔΩΡΑ,,2,,rener.kitsli@gmail.com,22530-41353,22530-41770,,,,Πέτρα,,811 09
ΘΕΟΦΙΛΟΣ,"


20 Χλμ
",3,www.theofiloshotel.gr,info@theofiloshotel.gr,22530-41080,,2253-041284,22530-41493,2253-041493,Πέτρα,ΠΕΤΡΑ ΛΕΣΒΟΥ,811 09
ΘΕΟΦΙΛΟΣ ΠΑΡΑΝΤΑΪΣ ΜΠΟΥΤΙΚ,"


0.5 Χλμ
",4,www.theofilosparadise.gr,info@theofilosparadise.gr,22510-43300,22510-48699,,22510-48999,,Μυτιλήνη,ΣΚΡΑ 7,811 00
ΘΕΟΦΙΛΟΣ ΣΟΥΠΕΡΙΟΡ,,4,www.theofiloshotel.gr,info@theofilos-superior.gr,2253041080,2253041046,,2253041493,,Πέτρα,,81109
ΘΕΡΕΤΡΟ ΘΕΑ ΘΑΛΑΣΣΑ,"


9 Χλμ
",4,www.seaviewresorts-chios.gr,info@seaviewresorts-chios.gr,22710-33354,22710-33355,,22710-31004,,Καρφάς,ΚΑΡΦΑΣ ΧΙΟΥ,821 00
ΙΑΝΘΗ,"


5 Χλμ
",3,www.hotelianthe.com.gr,ianthevessa@yahoo.gr,22710-73080,210 8030195,210-8030195,,210-6130881,Βέσσα,ΒΕΣΣΑ ΧΙΟΥ,821 02
ΙΑΣΩΝ,"


28 Χλμ
",2,chiosgiosonas.gr,info@chiosgiosonas.gr,22720-23688,22710-82262,2271-022218,22710-22218,2271-022218,Καρδάμυλα,ΚΑΡΔΑΜΥΛΑ ΧΙΟΥ,821 00
ΙΚΑΡΙΟΝ,,1,,ikarionhotel@yahoo.gr,22750-22481,,21-08611982,22750-23400,,Θέρμα,,833 00
ΙΚΑΡΟΣ ΣΤΑΡ,"


50 Χλμ
",2,www.ikarosstar.gr,hotel@ikarosstar.gr,22750-71266,22750-71213,,22750-71267,,Γιαλισκάρι,ΓΙΑΛΙΣΚΑΡΙ ΡΑΧΩΝ ΙΚΑΡΙΑΣ,833 01
ΙΛΙΟΝ,"


0.2 Χλμ
",2,www.uti.gr/ilion.htm,ilion@uti.gr,22530-41227,22530-41327,2253-041227,22530-41260,2253-041260,Πέτρα,ΠΕΤΡΑ ΛΕΣΒΟΥ,811 09
ΙΜΕΡΤΗ,"


3 Χλμ
",3,www.imerti.gr,info@imerti.gr,22530-28028,22530-22708,210-9941047,22530-22708,,Καλλονή,ΣΚΑΛΑ ΚΑΛΛΟΝΗΣ ΛΕΣΒΟΥ,811 07
ΙΝΩ,"


0.4 Χλμ
",3,www.inovillagehotel.com,info@inovillagehotel.com,2273023241,,,,,Σάμος,ΚΑΛΑΜΙ ΣΑΜΟΥ,831 00
ΙΡΙΣ,"


0.8 Χλμ
",1,www.villa-iris.gr,info@villa-iris.gr,22530-71933,22530-72103,,22530-72205,,Μήθυμνα,,811 08
ΚΑΒΟΣ ΜΠΑΙΗ,"


6 Χλμ
",3,www.cavosbay.com.gr,drigas@gmail.com,6976689977,22750-71383,2114011373,22750-71380,,Αρμενιστής,ΑΡΜΕΝΙΣΤΗ ΙΚΑΡΙΑΣ,833 01
ΚΑΓΚΟΥΡΩ,,2,www.kangaroohotel.gr,panatria@les.forthnet.gr,22530-71662,22530-71663,,22530-71092,,Μήθυμνα,ΜΗΘΥΜΝΑ ΛΕΣΒΟΥ,811 08
ΚΑΛΗΔΩΝ ΠΑΝΟΡΑΜΑ,"


1 Χλμ
",3,www.kalidon.gr,info@kalidon.gr,22730-92444,,2273-092444,22730-92573,2273-092573,Κοκκάρι,ΚΟΚΚΑΡΙ ΣΑΜΟΥ,831 00
ΚΑΛΛΙΟΠΗ,"


3 Χλμ
",3,,,22710-76331,6973202325,6973202325,,,Ολύμποι,,821 02
ΚΑΛΛΟΝΗ ΚΟΛΠΟΣ,"


4 Χλμ
",3,www.kalloni-bay.com,info@kalloni-bay.com,22530-23334/7,,,22530-23386,,Καλλονή,ΣΚΑΛΑ ΚΑΛΛΟΝΗΣ ΛΕΣΒΟΥ,811 07
ΚΑΛΥΔΩΝ,,2,,info@kalidon.gr,22730-92605,,,22730-92608,,Κοκκάρι,ΚΟΚΚΑΡΙ ΣΑΜΟΥ,831 00
ΚΑΜΠΟΣ ΒΙΛΛΑΤΖ ΡΕΖΟΡΤ,"


0.5 Χλμ
",3,www.kamposvillage.gr,reservations@kamposvillage.gr,22730-37185,22730-38356,6979-806983,22730-37581,,Κάμπος Μαραθοκάμπου,,831 02
ΚΑΡΑΤΖΑΣ,"


9 Χλμ
",1,,nikos_karatzas@yahoo.gr,22720-31180,,2272-031180,22710-31510,,Καρφάς,ΚΑΡΦΑΣ ΘΥΜΙΑΝΩΝ,821 00
ΚΑΡΔΑΜΥΛΑ,"


2 Χλμ
",2,,kyma@chi.forthnet.gr,22720-23353,22710-44500,2271-044500,22720-23354,2271-044600,Καρδάμυλα,ΚΑΡΔΑΜΥΛΑ ΧΙΟΥ,823 00
ΚΑΣΤΡΟ,"


1 Χλμ
",2,https://ikariakastro.com,info@ikariakastro.com,22750-23480,22750-23770,,22750-23700,,Άγιος Κήρυκος,,833 00
ΚΑΤΕΡΙΝΑ,"


1 Χλμ
",2,,hotelkaterina@hotmail.com,22730-61963,,2273-061963,22730-91096,,Ποτοκάκι,ΠΟΤΟΚΑΚΙ ΣΑΜΟΥ,831 03
ΚΑΤΩ ΓΙΑΛΟΣ,"


0.1 Χλμ
",1,,anna.sk2612@hotmail.com,22740-61178,,,22740-61178,,Ψαρά,,821 04
ΚΕΔΡΟΣ,"


8 Χλμ
",2,,hotelkedros@gmail.com,22730-28560,22730-80088,21-09619416,2273023785,,Βαθύ,ΚΕΔΡΟ,831 00
ΚΕΡΑΜΕ,"


0.2 Χλμ
",2,www.keramehotel.gr,info@keramehotel.gr,22750-31434,22750-31426,2275-031434,22750-31926,2275-031926,Εύδηλος,,833 02
ΚΕΡΚΗΣ ΜΠΕΙ,"


2 Χλμ
",3,www.kerkisbayhotel.com,info@kerkisbayhotel.com,22730-37202,22730-37373,2273-037202,22730-37372,2273-037372,Μαραθόκαμπος,ΜΑΡΑΘΟΚΑΜΠΟΣ ΣΑΜΟΥ,831 02
ΚΛΑΡΑ ΡΙΖΟΡΤ,"


17 Χλμ
",3,www.clarahotel.gr,clara@otenet.gr,22530-41532,22530-41534,2251-025069,22530-41535,2251-047319,Πέτρα,ΑΥΛΑΚΙ ΠΕΤΡΑΣ ΛΕΣΒΟΥ,811 09
ΚΟΛΠΟΣ ΛΙΜΝΙΩΝΑΣ,"


5 Χλμ
",2,,info@hotel-limnionas-bay-village.gr,22730-37057,,,22730-32220,,Μαραθόκαμπος,ΜΑΡΑΘΟΚΑΜΠΟΣ ΣΑΜΟΥ,851 02
ΚΟΛΠΟΣ ΜΑΡΙΤΣΑΣ,"


12 Χλμ
",3,,maritsa-bay-hotel@hotmail.com,22730-61016,22730-62213,2273-061491,22730-61933,,Πυθαγόρειο,ΓΛΥΚΟΡΙΖΑ,831 03
ΚΟΡΑΛΙ,"


2 Χλμ
",1,www.coralhotelplomari.gr,info@coralhotelplomari.gr,22520-33339,,21-05063404,22520-33339,,Πλωμάρι,ΠΛΩΜΑΡΙ ΛΕΣΒΟΥ,812 00
ΚΟΥΡΟΣ,"


0.8 Χλμ
",2,www.greek-tourism.gr/samos/kourosbay-hotel,kourobay@otenet.gr,22730-61611,22730-62671,2273-061300,22730-61610,2273-061610,Πυθαγόρειο,ΠΥΘΑΓΟΡΕΙΟ ΣΑΜΟΥ,831 03
ΚΟΧΥΛΙ,"


20 Χλμ
",1,www.hotel-cohyli.com,hotel.cohyli@gmail.com,22730-95282,22730-95225,2273-095282,22730-95282,,Ηραίο,ΗΡΑΙΟΝ ΣΑΜΟΥ,831 03
ΚΡΙΤΩΝ,"


1 Χλμ
",2,,kritonsamos@gmail.com,22730-23156,22730-27581,2273-023156,22730-24815,,Σάμος,ΜΥΚΑΛΗΣ 40,831 00
ΚΤΗΜΑ ΚΑΛΑΡΩΝΗ,"


6 Χλμ
",4,,,22710-28659,,,,,Χίος,ΚΑΜΠΟΣ ΧΙΟΥ,821 00
ΚΥΒΕΛΗ,"


3 Χλμ
",4,www.fegoudakis.com,info@kyvelihotel.gr,22710-94300,22710-94302,21-03616718,22710-94303,21-03616730,Βροντάδος,ΜΥΚΙΑΔΩΝ 14,822 00
ΚΥΜΑ,"


2 Χλμ
",2,,kyma@chi.forthnet.gr,22710-44500,,,22710-44600,,Χίος,Ν.ΠΡΟΚΥΜΑΙΑ,821 00
ΚΥΜΑ,,2,,hotelkyma@yahoo.gr,22530-53555,,,22530-53556,,Σκάλα Ερεσού,,811 00
ΚΥΜΑ,,3,https://kymahotel.gr,samos@kymahotel.gr,22730-31800,22730-37133,,2273037588,,Μαραθόκαμπος,,831 02
ΛΑΙΜΟΣ,"


0.1 Χλμ
",2,www.llsamoshotels.com,hotellemos@gmail.com,22730-92250,22730-92207,,22730-92334,,Κοκκάρι,,831 00
ΛΑΜΠΙΤΩ,"


10 Χλμ
",2,www.labito.gr,labito1@otenet.gr,22730-61086,22730-61087,2273-061086,22730-61085,2273-061085,Πυθαγόρειο,ΠΥΘΑΓΟΡΕΙΟ ΣΑΜΟΥ,831 03
ΛΑΜΠΙΤΩ 2,"


0.3 Χλμ
",2,www.labito.gr,labito1@otenet.gr,22730-61086,22730-61087,2273-061086,22730-61085,2273-061085,Πυθαγόρειο,,831 03
ΛΑΣΙΑ,"


5 Χλμ
",3,www.lasiahotel.gr,lasia123@otenet.gr,22510-61642,22510-61643,,22510-61663,,Νεάπολη,ΝΕΑΠΟΛΗ ΛΕΣΒΟΥ,811 00
ΛΑΣΙΑ,"


0.9 Χλμ
",3,www.lassia.gr,info@lassia.gr,22530-41414,22530-41744,2253-041414,22530-41921,2253-041921,Πέτρα,,811 09
ΛΕΝΟΞ,,2,,,22730-61709,,,22730-61709,,Πυθαγόρειο,ΠΥΘΑΓΟΡΕΙΟ ΣΑΜΟΥ,831 03
ΛΕΣΒΙΟΝ,"


1 Χλμ
",3,www.lesvion.gr,lesvion@otenet.gr,22510-28177,22510-22037,2251-024343,22510-42493,2251042493,Μυτιλήνη,Π. ΚΟΥΝΤΟΥΡΙΩΤΟΥ 27,811 00
ΛΕΣΒΟΣ ΙΝΝ,"


0.5 Χλμ
",3,www.lesvosinn.gr,info@lesvosinn.gr,22510-71781,22510-71784,6936-693823,22510-71711,,Πύργοι Θερμής,ΠΥΡΓΟΙ ΘΕΡΜΗΣ ΛΕΣΒΟΥ,811 00
ΛΗΔΑ,"


16 Χλμ
",3,www.lidamary.gr,stsekouras@hotmail.com,22710-76217,6976629668,21-09602515,22710-76217,21-09602515,Μεστά,ΚΡΙ-ΚΡΙ ΜΕΣΤΑ,821 02
ΛΗΔΑ ΙΙ,"


1 Χλμ
",3,www.leda.gr,ledabiotravel@live.com,22520-32507,,6974-490146,22520-32507,,Πλωμάρι,ΠΛΩΜΑΡΙ ΛΕΣΒΟΥ,812 00
ΛΗΔΡΑ ΣΑΜΟΣ,"


25 Χλμ
",2,www.ledrasamoshotel.gr,savaspe@yahoo.gr,22730-37505,22730 37535,21-06520492,22730-37535,21-06536651,Μαραθόκαμπος,ΜΑΡΑΘΟΚΑΜΠΟΣ ΣΑΜΟΥ,831 02
