Όνομα,Απόσταση από νοσοκομείο,Αστέρια,E-Mail,Τηλέφωνο,Αριθμός Φαξ,Πόλη,Ταχυδρομικός Κώδικας,Ιστοσελίδα,Τηλέφωνο 2,Εναλλακτικό Τηλέφωνο,Διεύθυνση,Εναλλακτικό Φαξ
ΓΙΑΝΝΗΣ Ο ΜΕΛΙΣΣΟΚΟΜΟΣ,,2,crooner@windowslive.com,2242027290,2242027291,Κέφαλος,85301,,,,,
ΓΙΑΝΝΟΥΛΑΚΙ,,4,info@deliancollection.com,2289023539,2289025083,Μύκονος,84600,www.deliancollection.com,2289026838,,ΓΛΑΣΤΡΟΣ,
ΓΙΑΝΝΟΥΛΗΣ,"


1.5 Χλμ
",2,milosgiannoulishotel@gmail.com,22870-22631,22870-28078,Αδάμαντας,848 01,www.milosaccommodations.com,6973955538,,ΑΔΑΜΑΣ ΜΗΛΟΥ,
ΓΙΑΣΕΜΙ,,2,marios73@yahoo.gr,22420-22027,,Κως,853 00,https://www.jasminehotelapartments.com/el-gr,,,Π.ΤΣΑΛΔΑΡΗ 11,
ΓΙΟΥΡΟΒΙΛΑΤΖ ΑΧΙΛΛΕΑΣ,"


7 Χλμ
",4,reservations@eurovillageachilleashotel.com,22420-59160,22420-59161,Μαστιχάρι,853 01,www.eurovillageachilleashotel.com,22420-59163,2242-028731,ΜΑΣΤΙΧΑΡΙ ΚΩΣ,2242-023844
ΓΙΟΥΡΟΒΙΛΑΤΖ ΑΧΙΛΛΕΑΣ ΜΠΗΤΣ,,4,accsupport@atlantishotel-kos.com,2242059160,2242059161,Μαστιχάρι,85300,www.achilleasbeachhotel.com,2242028731,,,
ΓΙΩΡΓΟΣ,"


0.8 Χλμ
",2,yiorgos@kos.forthnet.gr,22420-23297,22420-27710,Κως,853 00,www.yiorgoshotel.com,22420-21630,2242-023297,ΧΑΡΜΥΛΟΥ 9,2242-027710
ΓΚΑΓΙΑ,"


2 Χλμ
",2,gaia@gaia-hotels.com,22420-25804,22420-24683,Κως,853 00,www.gaia-hotels.com,22420-26055,2242-068332,ΛΑΜΠΗ ΚΩ,2242-068312
ΓΚΑΓΙΑ ΠΑΛΛΑΣ,,5,gaiapalace@gaia-hotels.com,22420-42250,22420-24683,Μαστιχάρι,853 02,,,,ΜΑΣΤΙΧΑΡΙ ΚΩΣ,
ΓΚΑΓΙΑ ΡΟΥΑΓΙΑΛ,"


7 Χλμ
",4,gaiaroyal@gaia-hotels.com,22420-42231/2,22420-42233,Μαστιχάρι,853 02,www.gaia-hotels.com,,6947-689323,ΜΑΣΤΙΧΑΡΙ ΚΩ,2242-042233
ΓΚΑΜΠΙΑΝΟΣ,,4,emleonardos@yahoo.gr,2286072107,,Οία,847 00,www.gabbianosantorini.com,,2109331802,ΟΙΑ,2109331802
ΓΚΟΛΦΕΡΣ ΡΗΣΟΡΤ,"


1 Χλμ
",2,dimitcom@otenet.gr,22410-27306,22410-22615,Αφάντου,851 03,,22410-27247,,ΠΑΝΟΡΜΙΤΟΥ ΡΑΜΟΥ 11,2241-022615
ΓΚΡΑΝΤ ΜΠΛΟΥ,,5,manager@grandbluehotel.gr,2242091252,2242091254,Καρδάμαινα,85300,www.atlantishotel-kos.com,,,,
ΓΚΡΑΝΤ ΟΤΕΛ ΠΑΛΛΑΣ,"


0.8 Χλμ
",5,grandhotel.res@mitsishotels.com,22410-54700,22410-35589,Ρόδος,851 00,www.mitsishotels.com/hotels/grand-hotel/,,,ΒΑΣ.ΚΩΝ/ΝΟΥ-ΑΚΤΗ ΜΙΑΟΥΛΗ 1,
ΓΚΡΕΚΟΤΕΛ ΡΟΥΑΓΙΑΛ ΠΑΡΚ,"


0.01 Χλμ
",4,Dimitris.Kotzantapanis@grecotel.com,22420-41488,22420-41373,Μαρμάρι,853 00,www.grecotelroyalpark.com,22420-41736,2242-041488,ΜΑΡΜΑΡΙ ΠΥΛΙΟΥ - ΚΩΣ,2242-041373
ΓΚΡΕΚΟΦΙΛΙΑ,,5,info@grecophilia.com,2289072038,2289072398,Άνω Μερά,84600,www.grecophilia.com,,,,
ΓΚΡΕΤΣΙΑΝ ΦΑΝΤΑΣΙΑ ΡΗΖΟΡΤ,,2,info@fantasiaresort.gr,22410-87711,2241087260,Φαληράκι,851 00,www.fantasiaresort.gr,,,,
ΓΛΑΡΟΝΗΣΙΑ,"


12 Χλμ
",3,glaronisiahotel@gmail.com,2287041468,2287041133,Απολλώνια,848 00,,,6944260422,,22870-41133
ΓΛΑΡΟΣ,"


0.5 Χλμ
",2,info@hotelglaros.com,22850-23101,22850-24877,Νάξος,843 00,www.hotelglaros.com,6944252772,,ΝΑΞΟΣ,
ΓΛΑΡΟΣ,"


0.3 Χλμ
",2,info@hotelglarosios.gr,22860-91876,22860-91876,Ίος,840 01,www.hotelglarosios.gr,,,ΙΟΣ,
ΓΛΑΡΟΣ,"


2 Χλμ
",2,,22470-24358,,Αγία Μαρίνα,854 00,,22470-23438,6942-406710,ΒΡΩΜΟΛΙΘΟΣ ΛΕΡΟΥ,2247-023683
ΓΛΑΡΟΣ,"


8 Χλμ
",3,info@glaros-santorini.com,22860-32601,22860-33442,Καμάρι,847 00,www.glaros-santorini.com,22860-31713,2286-031713,ΚΑΜΑΡΙ ΘΗΡΑΣ,
ΓΛΑΡΟΣ,"


0.01 Χλμ
",2,glaros_hotel@yahoo.gr,22450-51501,22450-51259,Διαφάνι,857 00,https://hglaros.com/,22450-51049,,,
ΓΛΑΣΤΡΟΣ,"


1.5 Χλμ
",2,,6944-579772,,Μύκονος,846 00,,,6944-579772,,
ΓΟΝΔΟΛΑ,"


15 Χλμ
",2,giordamnis@yahoo.gr,22410-87108,22410-87108,Φαληράκι,851 05,,,2241-085365,,2241-087691
ΓΟΡΓΟΝΑ,"


1 Χλμ
",2,gorgona@otenet.gr,22890-24544,22890-24542,Μύκονος,846 00,,22890-25380,2289-024544,ΤΑΓΚΟΥ ΜΥΚΟΝΟΥ,2289-024542
ΓΟΥΑΪΤ ΠΕΡΛ,,5,gplatis@portroyal.gr,2241056020,,Κολύμπια,85102,,2241056333,,,
ΓΟΥΑΪΤ ΡΟΚ ΟΦ ΚΩΣ,,5,info@whiterockofkos.gr,2242307170,,Κέφαλος,85301,,,,,
ΓΟΥΛΙΕΛΜΟΣ,"


0.5 Χλμ
",4,info@hotel-goulielmos.gr,22860-81383,22860-81615,Ακρωτήρι,847 00,www.hotel-goulielmos.gr,,2286-081383,ΑΚΡΩΤΗΡΙ ΘΗΡΑΣ,2286-081615
ΓΡΟΙΚΟΣ,"


5 Χλμ
",2,eleni@grikos.com,22470-31167,22470-31783,Πάτμος,855 00,www.grikos.com,22470-31294,,,
ΓΡΟΤΤΑ,"


1.7 Χλμ
",2,info@hotelgrotta.gr,22850-22215,22850-22000,Νάξος,843 00,www.hotelgrotta.gr,22850-22001,2285-022215,ΧΩΡΑ ΝΑΞΟΥ,2285-022000
ΓΡΥΣΠΟΣ,"


0.03 Χλμ
",3,info@grysposhotel-amorgos.com,22850-73412,211-2686846,Αιγιάλη,840 08,www.grysposhotel-amorgos.com,22850-73502,21-09752228,ΑΙΓΙΑΛΗ ΑΜΟΡΓΟΥ,21-09706845
ΔΑΙΔΑΛΟΣ,"


0.3 Χλμ
",5,daedalus@san.forthnet.gr,22860-22834,22860-22818,Θήρα,847 00,,,2286-022834,ΦΗΡΑ ΘΗΡΑΣ,2286-022818
ΔΑΙΔΑΛΟΣ,"


31 Χλμ
",4,verwaltung.daidalos@robinson.com,22420-58500,22420-58592,Καρδάμαινα,853 02,www.robinson.com,22420-58504,,ΚΑΡΔΑΜΑΙΝΑ ΚΩ,22420-58578
ΔΑΜΙΑΝΟΣ,"


0.05 Χλμ
",1,info@damianoshotel.com,22890-23085,22890-23668,Μύκονος,846 00,www.damianoshotel.com,,,ΠΕΖΟΥΛΑ ΜΥΚΟΝΟΥ,
ΔΑΝΑΗ,"


3 Χλμ
",3,danaehotel1@gmail.com,22410-85969,22410-86130,Φαληράκι,851 05,,22410-23340,2241-023340,ΦΑΛΗΡΑΚΙ ΡΟΔΟΥ,2241-086130
ΔΑΝΙΗΛ,,4,stergos30@gmail.com,2241033103,,Κάλαθος,851 02,,,6973-053796,,
ΔΑΦΝΗ,"


9 Χλμ
",1,maria50leventi@yahoo.gr,22410-85544,22410-85323,Φαληράκι,851 05,,22410-85323,,ΦΑΛΗΡΑΚΙ ΡΟΔΟΥ,
ΔΑΦΝΟΚΗΠΟΣ,"


7 Χλμ
",4,info@rosebay.gr,22860-33650,22860-33653,Καμάρι,841 00,www.rosebay.gr,22860-33651,,ΚΑΜΑΡΙ,
ΔΕ ΓΟΥΑΪΛΝΤ ΜΠΑΪ ΙΝΤΕΡΝΙ,,5,info@thewildhotel.com,2289072500,,Καλαφάτη,84600,http://thewildhotel.com,,,,
ΔΕΓΑΪΤΑΣ ΡΙΖΟΡΤ,,3,degaetasresort@gmail.com,6938186562,2106743087,Αντίπαρος,84007,,,,,
ΔΕΙΛΙΝΑ,,3,dilinastudios@gmail.com,22450-61103,,Αρκάσα,857 00,,,,ΑΡΚΑΣΑ ΚΑΡΠΑΘΟΥ,
ΔΕΙΛΙΝΟ,"


3 Χλμ
",1,dilinonx@otenet.gr,22850-41660,22850-42660,Άγιος Προκόπιος,843 00,,22850-41100,21-06233978,ΑΓ.ΠΡΟΚΟΠΙΟΣ ΝΑΞΟΥ,
ΔΕΚΑ 10ΓΡ ΑΡΤ ΞΕΝΟΔΟΧΕΙΟ,,5,info@hotel10.gr,2241034900,,Ρόδος,85100,www.hotel10.gr,,,ΠΟΛΥΔΩΡΟΥ 16,
ΔΕΛΦΙΝΕΣ,,1,hoteldelphines@gmail.com,22890-22292,22890-27307,Μύκονος,846 00,,,,ΜΥΚΟΝΟΣ,
ΔΕΛΦΙΝΙ,"


0.3 Χλμ
",1,info@delfini-milos.gr,22870-22001,22870-22294,Αδάμαντας,848 01,www.delfini-milos.gr,22870-21756,21-04280573,ΑΔΑΜΑΣ ΜΗΛΟΥ,
ΔΕΛΦΙΝΙ,"


2.5 Χλμ
",2,delfinicenter@hotmail.com,22860-91340,22860-91340,Ίος,840 01,www.delfinicenter.gr,22860-91341,2286-091918,ΜΥΛΟΠΟΤΑΣ ΙΟΥ,2286-091340
ΔΕΛΦΙΝΙ,"


1 Χλμ
",1,info@doronhotel.gr,22850-25713,22850-23876,Νάξος,843 00,www.doronhotel.gr,22850-23102,,ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ ΝΑΞΟΥ,
ΔΕΛΦΙΝΙ,"


2 Χλμ
",2,hoteldelfinipatmos@gmail.com,2247032060,2247032060,Πάτμος,855 00,https://delfini-patmos.gr,2247032298,2247032060,ΣΚΑΛΑ ΠΑΤΜΟΥ,2247032060
ΔΕΛΦΙΝΙ,,2,info@dolphinapts.info,22440-43084,,Γεννάδι,851 09,,,,ΓΕΝΝΑΔΙ ΡΟΔΟΥ,
ΔΕΛΦΙΝΙ,"


0.55 Χλμ
",2,sofi.bertou@gmail.com,22450-22665,22450-22466,Κάρπαθος,857 00,,22450-23363,,,
ΔΕΛΦΙΝΙΑ,"


0.5 Χλμ
",2,info@delfinia-tinos.gr,22830-22288,22830-22989,Τήνος,842 00,www.delfinia-tinos.gr,22830-25289,,ΒΑΣΙΛΕΩΣ ΠΑΥΛΟΥ 10,
ΔΕΛΦΙΝΙΑ,"


0.5 Χλμ
",3,info@dolphins-santorini.gr,22860-31302,22860-31870,Καμάρι,847 00,www.dolphins -santorini.gr,22860-31608,21-06391000,ΚΑΜΑΡΙ ΘΗΡΑΣ,21-06391000
ΔΕΛΦΙΝΙΑ ΡΕΣΟΡΤ,"


5 Χλμ
",4,manpol@hotmail.gr,22410-56601,22410-56603,Κολύμπια,851 03,www.delfinia-resort.com,,2241-056602,ΚΟΛΥΜΠΙΑ ΑΦΑΝΤΟΥ ΡΟΔΟΥ,2241-056603
ΔΕΝΤΡΟ ΤΗΣ ΘΑΛΑΣΣΑΣ,,5,info@tamarix.gr,22860-31809,,Καμάρι,847 00,www.tamarix.gr,,,ΚΑΜΑΡΙ ΘΗΡΑΣ,
ΔΕΣΠΟΙΝΑ,"


8 Χλμ
",2,info@hotel-despina.com,22850-42009,22850-42190,Αγία Αννα,843 00,www.hotel-despina.com,,,ΑΓΙΑ ΑΝΝΑ ΝΑΞΟΥ,
ΔΕΣΠΟΤΙΚΟ,"


1 Χλμ
",3,info@despotikomykonos.com,22890-22009,22890-23462,Μύκονος,846 00,www.despotikomykonos.com,,6973-391557,ΜΥΚΟΝΟΣ,
ΔΕΣΠΟΤΙΚΟ ΙΙ,"


1 Χλμ
",2,info@despotikomykonos.com,22890-22009,22890-23462,Μύκονος,846 00,www.despotikomykonos.com,,6973391557,ΔΕΣΠΟΤΙΚΟ ΜΥΚΟΝΟΥ,
ΔΗΛΙΑΔΕΣ,"


2 Χλμ
",4,reservations@deliades.com,22890-79430,22890-26996,Ορνός,846 00,www.deliades.com,,,ΟΡΝΟΣ ΜΥΚΟΝΟΥ,
ΔΗΛΙΟΝ,"


0.4 Χλμ
",2,info@dilionhotel.com,22840-21479,22840-21181,Πάρος,844 00,www.dilionhotel.com,,231-0257128,ΠΑΡΟΙΚΙΑ ΠΑΡΟΥ,231-0231849
ΔΗΛΟΣ,"


1 Χλμ
",1,deloshot@otenet.gr,22890-22517,22890-22312,Μύκονος,846 00,deloshotel.heliowebs.gr,,6977-830888,ΜΥΚΟΝΟΣ,
ΔΗΜΗΤΡΑ,"


0.1 Χλμ
",2,dimitrahotel@hotmail.com,22410-85309,22410-85254,Φαληράκι,851 05,,,2241-087005,Τ.Θ 210 ΦΑΛΗΡΑΚΙ,2241-085254
ΔΗΜΗΤΡΑ,"


5 Χλμ
",2,info@hotel-dimitra.com,22850-42107,22850-42107,Άγιος Προκόπιος,843 00,,210-9338389,21-09338389,ΑΓΙΟΣ ΠΡΟΚΟΠΗΣ ΝΑΞΟΥ,21-09338389
ΔΗΜΗΤΡΑ ΗΛΙΟΣ ΑΡΧΑΓΓΕΛΟΥ,,1,dim.klad@gmail.com,2244022642,,Αρχάγγελος,851 02,,,,,
ΔΗΜΗΤΡΑ ΜΠΗΤΣ,"


8 Χλμ
",5,manager@dimtrabeachotel.gr,22420-28581/2,22420-28495,Κως,853 00,www.dimitrabeachotel.gr,,2242-028581,ΠΑΛΑΙΟΣΚΑΛΑ ΑΓΙΟΥ ΦΩΚΑ,2242-028495
ΔΗΜΗΤΡΗΣ-ΠΑΡΙΤΣΑ,"


0.8 Χλμ
",2,hotelparitsa@gmail.com,22420-24673,,Κως,853 00,www.dimitrisparitsa.gr,,2242-024673,ΣΠΕΤΣΩΝ  &  ΑΜΕΡΙΚΗΣ,
ΔΗΜΗΤΡΙΟΣ,"


3 Χλμ
",2,,22420-27680,,Κως,853 00,,,,ΛΑΜΠΗ ΚΩΣ,
ΔΗΜΗΤΡΙΟΣ,"


22 Χλμ
",2,gkandimiris@yahoo.com,22440-44380,22440-44382,Πεύκοι,851 09,,22440-44382,2244-044066,,
ΔΙΑΚΟΝΗΣ,,3,info@diakonishotel.com,22450-29081,22450-29081,Κάρπαθος,857 00,http://diakonishotel.com,,,ΖΕΤΕΣ,
ΔΙΑΚΟΠΕΣ,"


0.8 Χλμ
",3,info@naxosholidayshotel.com,2285025790-1,22850-25458,Νάξος,843 00,www.sergishotels.com,22850-24350,6976-912650,ΧΩΡΑ ΝΑΞΟΥ,
ΔΙΑΚΟΠΕΣ ΑΝΔΡΟΥ,"


25 Χλμ
",3,androshol@otenet.gr,22820-71443,22820-71097,Γαύριο,845 01,www.androsholidayhotel.com,22820-71384,2282-071443,ΓΑΥΡΙΟ ΑΝΔΡΟΥ,2282-071097
ΔΙΑΚΟΠΕΣ ΑΣΠΑ,,2,aspahotel@gmail.com,22420-28394,,Κως,853 00,,,,ΝΑΥΑΡΙΝΟΥ  &  ΜΑΝΔΗΛΑΡΑ 11,
ΔΙΑΚΟΠΕΣ ΣΤΟΝ ΗΛΙΟ,"


8 Χλμ
",4,holsun@otenet.gr,22840-91284,22840-91288,Πούντα,844 00,www.holidaysunparos.com,210-9238620,21-09236965,ΠΟΥΝΤΑ ΠΑΡΟΙΚΙΑΣ ΠΑΡΟΥ,21-09234017
ΔΙΑΜΑΝΤΙ,"


2.5 Χλμ
",5,info@diamondhotel.gr,22420-48835,22420-49460,Κως,853 00,www.diamondhotel.gr,,,ΛΑΜΠΗ ΚΩΣ,
ΔΙΑΜΕΡΙΣΜΑΤΑ ΚΑΛΛΙΑ,,2,moikon@otenet.gr,22420-29199,22420-21999,Καρδάμαινα,853 02,,22420-26066,,ΚΑΡΔΑΜΑΙΝΑ ΚΩΣ,
ΔΙΑΜΕΡΙΣΜΑΤΑ ΚΑΛΝΤΕΡΑΣ,"


1.5 Χλμ
",4,giarenti@yahoo.com,22860-25295,22860-23402,Ημεροβίγλι,847 00,www.caldera-apartments.com,,,Τ.Θ.10160,
ΔΙΑΜΕΡΙΣΜΑΤΑ ΚΑΤΕΡΙΝΑΣ,"


0.3 Χλμ
",2,,22430-22532,,Κάλυμνος,852 00,,22430-23873,6939-774815,ΑΓ.ΘΕΟΛΟΓΟΣ ΠΟΘΑΙΑΣ ΚΑΛ.,
ΔΙΑΜΕΡΙΣΜΑΤΑ ΡΟΝΤΙΝΑΣ,"


6 Χλμ
",1,,22410-90081,,Ιαλυσός,851 01,,,2241-036951,ΛΕΩΦ.ΙΑΛΥΣΟΥ,
ΔΙΑΜΟΝΗ,"


5 Χλμ
",5,ipk@laresidencemykonos.com,22890-71349,22890-71898,Καλαφάτη,846 00,www.laresidencemykonos.com,22890-71653,21-07221701,ΟΡΜΟΣ ΚΑΛΑΦΑΤΗ ΜΥΚΟΝΟΥ,21-07221747
ΔΙΑΤΗΡΗΤΕΟΣ ΜΥΛΟΣ,"


1.3 Χλμ
",4,reservations@windmill-villa.gr,22850-74294,210-7293289,Άνω Ποταμιά,843 00,www.windmill-villa.gr,210-7293789,21-07293789,ΠΟΤΑΜΙΑ - ΑΝΩ ΚΟΥΦΟΝΗΣΙ,21-07293289
ΔΙΕΘΝΕΣ,"


0.5 Χλμ
",2,diethnes@otenet.gr,22410-24595,22410-30221,Ρόδος,851 00,,,6972-572178,ΙΩΑΝΝΟΥ ΚΑΖΟΥΛΛΗ 12,2241-030221
ΔΙΕΘΝΕΣ,"


0.4 Χλμ
",1,,22470-31357,,Πάτμος,855 00,,,,,
ΔΙΟΓΕΝΗΣ,"


0.6 Χλμ
",4,contact@diogenishotel.gr,22810-86301,22810-83334,Ερμούπολη,841 00,www.diogenishotel.gr,22810-86305,,ΕΘΝΙΚΗΣ ΑΝΤΙΣΤΑΣΗΣ,
ΔΙΟΝΥΣΗΣ,,1,argyreas89@gmail.com,22870-22117,22870-22118,Αδάμαντας,848 01,http://www.dionisishotel-milos.com,22870-22118,6984285245,ΑΔΑΜΑΣ ΜΗΛΟΥ,22870-22118
ΔΙΟΝΥΣΟΣ,"


1 Χλμ
",4,info@dionysos-hotel.gr,22410-23021/5,22410-34401,Ιαλυσός,851 01,www.dionysos-hotel.gr,210-3635271,,ΦΑΝΕΡΩΜΕΝΗΣ-ΙΞΙΑ ΙΠΠΟΤΩΝ,
ΔΙΟΝΥΣΟΣ,"


2.5 Χλμ
",3,info@dionysoshotel.gr,22890-23313,22890-23402,Ορνός,846 00,www.dionysoshotel.gr,22890-27220,6944-511082,ΟΡΝΟΣ ΜΥΚΟΝΟΥ,2289-023402
ΔΙΟΝΥΣΟΣ ΡΗΖΟΡΤ,"


4.5 Χλμ
",4,dionysos@otenet.gr,22860-91215,22860-91633,Ίος,840 01,www.dionysos-ios.gr,91215,21-04329611,ΜΥΛΟΠΟΤΑ ΙΟΥ,21-04329611
ΔΙΟΣΚΟΥΡΟΙ,"


0.3 Χλμ
",3,info@dioskouri.gr,22860-31464,22860-32704,Καμάρι,847 00,www.dioskouri.gr,,,,
ΔΟΥΚΑΤΟ,,4,info@ducato.gr,2286071030,,Οία,84700,ducato.gr,6944361905,,,
ΔΟΥΚΙΣΣΑ,"


0.05 Χλμ
",2,evakmail@yahoo.gr,22840-22442,22840-25101,Πάρος,844 00,,22840-25100,,ΠΑΡΟΙΚΙΑ ΠΑΡΟΥ,
ΔΡΑΚΟΣ ΤΗΣ ΡΟΔΟΥ,,3,fotiscopyland@gmail.com,000-0000000,,Ρόδος,85100,,,,ΑΛΚΑΙΟΥ  23,
ΔΡΑΦΑΚΙ,"


0.6 Χλμ
",1,drafaki@otenet.gr,22890-22470,22890-22116,Μύκονος,846 00,,22890-22116,6945-208766,,2289-022116
ΔΡΟΣΟΣ,"


3 Χλμ
",4,drossosh@otenet.gr,2286083260,22860-82668,Πέρισσα,847 00,www.familydrossos.gr,,,ΠΕΡΙΣΣΑ ΘΗΡΑΣ ΚΥΚΛΑΔΩΝ,
ΔΡΥΟΣ,"


25 Χλμ
",1,driosparosluxuryhotel@gmail.com,22840-41036,22840-41917,Δρυός,844 00,www.driosparosluxuryhotel.gr,2284041923,2284-041038,ΔΡΥΟΣ ΠΑΡΟΥ,2284-041917
ΔΩΡΑ,"


9 Χλμ
",2,info@dorastudios.gr,22810-42552,22810-43680,Μέγας Γιαλός-Βάρης,841 00,www.dorastudios.gr,6936-649484,21-02913709,ΜΕΓΑΣ ΓΙΑΛΟΣ ΣΥΡΟΥ,
ΔΩΡΙΖΑ ΜΠΑΙΗ,"


0.5 Χλμ
",2,info@dorizabay.com,22470-33123,22470-33175,Πάτμος,855 00,www.dorizabay.com,22470-33125,21-09659965,,
ΔΩΡΙΟΝ,"


2.5 Χλμ
",4,info@dorionmykonos.com,22890-28270/1,22890-28269,Ορνός,846 00,www.dorionmykonos.com,,21-07227305,ΟΡΝΟΣ ΜΥΚΟΝΟΥ,21-07232417
ΔΩΡΙΣ,"


0.5 Χλμ
",4,fos@symitrip.com,22460-71181,22410-70011,Σύμη,856 00,www.dorianhotel-symi.com,71307,2241-071329,ΣΥΜΗ ΔΩΔΕΚΑΝΗΣΟΥ,2241-072292
ΔΩΡΙΣ – ΝΤΟΡΙΑΝ,"


12 Χλμ
",1,dorianpanag@yahoo.com,22410-31756,22410-28303,Ρόδος,851 00,www.dorianhotel.gr,22410-28303,6973-479075,ΚΟΔΡΙΚΤΩΝΟΣ 55,
ΕΒΙΤΑ ΡΕΖΟΡΤ,,4,evita_hotels@yahoo.com,2241085110,2241085211,Φαληράκι,85105,,,,,
ΕΔΕΜ,,2,info@sifnosedem.gr,2284071508,,Απολλωνία,84003,www.sifnosedem.gr,,,,
ΕΙΔΩΛΙΟ ΣΟΥΙΤΕΣ ΚΑΙ ΒΙΛΕΣ,,5,info@eliasuites.com,2289071870,,Μύκονος,84600,,,,,
ΕΙΚΟΣΙ ΟΧΤΩ,"


0.5 Χλμ
",3,info@hotel28santorini.com,22860-32976,22860-32978,Καμάρι,847 00,,,21-08003989,ΚΑΜΑΡΙ ΘΗΡΑΣ,21-08003719
ΕΙΡΗΝΗ,"


0.8 Χλμ
",2,hotelireneparos@gmail.com,22840-21476,22840-22741,Πάρος,844 00,www.hotelirene.gr,22840-22741,2284-021476,ΠΑΡΟΙΚΙΑ ΠΑΡΟΥ,2284-022741
ΕΙΡΗΝΗ,"


0.1 Χλμ
",2,info@tilosholidays.gr,2246044293,22460-44238,Λιβάδια,850 02,www.ilidirock.gr,,,ΛΕΙΒΑΔΙΑ ΤΗΛΟΥ,
ΕΙΡΗΝΗ,,3,,22860-71365,,Οία,847 02,,,,ΟΙΑ ΘΗΡΑΣ,
ΕΙΡΗΝΗ,"


3 Χλμ
",2,hotelireneleros@gmail.com,22470-24164,22470-24170,Αγία Μαρίνα,854 00,http://www.irenehotel.gr/,,22470-24164,ΑΛΙΝΤΑ ΛΕΡΟΥ,22470-24170
ΕΙΡΗΝΗ,"


12 Χλμ
",4,irini_hotel@hotmail.com,22450-91000,22450-91028,Μενέτες,857 00,http://karpathos-windsurfing.gr/Hotel_Irini_Karpathos_Windsurfing/Home.html?fbclid=IwAR1M7FemYPY4gJ7r4pKHrDHYHWZBwKjOrpfBkLCLaiM4eTOQPggPy9HAEDE,,21-04176675,ΜΕΝΕΤΕΣ ΚΑΡΠΑΘΟΥ,21-04176675
ΕΙΡΗΝΗ,"


5 Χλμ
",2,irinekanala@gmail.com,22810-32052,,Κανάλα,840 06,http://www.kithnosisland.gr/irene/?fbclid=IwAR06qTOYUqGAGFvFVQL9IpfCTxgbfXWuc8TfhApZ-w_98-800qGDQlHfSHw,6948-490712,,ΚΑΝΑΛΑ ΚΥΘΝΟΥ,
ΕΙΡΗΝΗ ΠΑΛΛΑΣ,,4,sales@irenepalace.gr,22410-56202,22410-56262,Κολύμπια,851 03,www.irenepalace.gr,22410-56224,2241-026962,ΚΟΛΥΜΠΙΑ ΡΟΔΟΥ,2241-036880
ΕΛ ΓΚΡΕΚΟ,"


1 Χλμ
",2,nkalaphatas@gmail.com,22410-24071,22410-24843,Ρόδος,851 00,,22410-26082,2241-026082,ΓΕΩΡΓΙΟΥ ΕΥΣΤΑΘΙΟΥ 4,
ΕΛ ΓΚΡΕΚΟ,"


0.5 Χλμ
",4,info@elgreco.com.gr,22860-24946/7,22860-25030,Θήρα,847 00,www.elgreco.com.gr,,2286-024946/7,ΦΤΕΛΑΡΙΑ ΦΗΡΩΝ ΘΗΡΑΣ,
ΕΛ ΓΚΡΕΚΟ ΠΑΛΛΑΣ,,5,info@elgreco.com.gr,22860-24946,22860-24945,Θήρα,847 00,,,,ΦΗΡΑ,
ΕΛΑΙΩΝΑΣ,,3,eleonasaparts@gmail.com,22410-94602,22410-94603,Ιαλυσός,851 01,www.eleonas.net,,,ΙΑΛΥΣΟΣ ΡΟΔΟΥ,
ΕΛΑΦΟΣ,"


15 Χλμ
",4,info@elafoshotel.gr,22410-44808,22410-44809,Ρόδος,851 00,www.elafoshotel.gr,22410-44800,22410-44800,ΠΡΟΦΗΤΗ ΗΛΙΑ,
ΕΛΓΑ,"


0.03 Χλμ
",2,hotelelga@hotmail.com,22420-91125,22420-91819,Καρδάμαινα,853 02,,,,ΚΑΡΔΑΜΑΙΝΑ ΚΩ,
ΕΛΕΑΝΑ,"


0.5 Χλμ
",1,eleana.tinos@gmail.com,22830-22561,,Τήνος,842 00,,,21-06122480,ΤΗΝΟΣ,
ΕΛΕΑΝΑ,"


3 Χλμ
",4,info@hoteleleana.gr,22810-42601,,Ποσειδωνία,841 00,,,6942036708,ΠΟΣΕΙΔΩΝΙΑ ΣΥΡΟΥ,22810-42644
ΕΛΕΝ,"


4 Χλμ
",2,parissikaterina@gmail.com,22840-52057,22840-52532,Αμπελάς,844 00,www.elenhotel.gr,,21-08143884,ΝΑΟΥΣΑ-ΑΜΠΕΛΑΣ ΠΑΡΟΥ,21-08143881
ΕΛΕΝΑ,"


0.5 Χλμ
",3,hotelena@otenet.gr,22410-24755,22410-22681,Ρόδος,851 00,,22410-34050,2241-024755,ΓΡΙΒΑ 78,2241-022681
ΕΛΕΝΑ,"


0.3 Χλμ
",1,info@hotelhelena.gr,+306974627726,22860-92276,Ίος,840 01,www.hotelhelena.gr,,21-09569483,ΚΑΜΠΟΣ ΙΟΥ,21-09569483
ΕΛΕΝΑ,"


0.8 Χλμ
",1,info@elenamykonos.gr,22890-23457,22890-23458,Πλατύς Γιαλός,846 00,www.elenamykonos.gr,22890-24112,,ΡΟΧΑΡΗ ΜΥΚΟΝΟΥ,
ΕΛΕΝΑ,"


5 Χλμ
",2,pasimela@gmail.com,22470-22022,22470-22022,Αγία Μαρίνα,854 00,,,,ΑΛΙΝΤΑ ΛΕΡΟΥ,
