Όνομα,Απόσταση από νοσοκομείο,Αστέρια,E-Mail,Τηλέφωνο,Εναλλακτικό Τηλέφωνο,Αριθμός Φαξ,Πόλη,Διεύθυνση,Ταχυδρομικός Κώδικας,Ιστοσελίδα,Τηλέφωνο 2,Εναλλακτικό Φαξ
ΑΝΑΝΙΑΣ,,2,ananiashotel@gmail.com,2662051517,2662051517,,Αργυράδες,ΑΡΓΥΡΑΔΕΣ ΚΕΡΚΥΡΑΣ,490 80,,,
ΑΝΑΣΣΑ,"


0.5 Χλμ
",2,anassahotel@yahoo.gr,26710-83070,21-06841957,26710-83071,Σκάλα,,280 82,www.anassahotel.gr,26710-83115,
ΑΝΑΣΤΑΣΗΣ,,2,m.minetos@yahoo.gr,26710-31559,,,Βλαχάτα,,280 83,,,
ΑΝΑΣΤΑΣΙΑ,"


1 Χλμ
",3,info@AnastasiaBeachHotel.com,26950-51455,,26950-52583,Λαγανάς,ΛΑΓΑΝΑΣ ΖΑΚΥΝΘΟΥ,290 92,http://anastasiabeachhotel.com/,,
ΑΝΑΤΟΛΗ,"


1 Χλμ
",3,info@sunrisecorfu.com,26610-93414,2661-097695,26610-97994,Ύψος,ΥΨΟΣ ΚΕΡΚΥΡΑΣ,490 83,www.sunrisecorfu.com,,2661-097994
ΑΝΑΤΟΛΗ ΙΝ,"


10 Χλμ
",3,info@sunriseinnhotel.com,26710-69014,2671-025237,26710-69621,Κουντουράτα,ΚΟΥΝΤΟΥΡΑΤΑ ΚΕΦΑΛΛΗΝΙΑΣ,280 83,www.sunriseinnhotel.com,26710-69586,2671-069621
ΑΝΓΚΣΑΝΑ ΚΟΡΦΟΥ,"


10 Χλμ
",5,reservations-corfu@angsana.com,+30 210 7257 419,,,Μπενίτσες,,490 84,www.angsana.com,+30 2661 0 22900,
ΑΝΔΡΕΩΛΑΣ ΜΠΗΤΣ,"


1 Χλμ
",2,andreolasbeachhotel@gmail.com,26950-53285,2695-022292,26950-53412,Λαγανάς,,291 00,,26950-53412,2695-052284
ΑΝΕΜΟΜΥΛΟΣ,"


3 Χλμ
",2,sophia@windmillhotelszante.com,+306986915070,2695-028678,26950-22830,Αργάσι,ΑΡΓΑΣΙ ΖΑΚΥΝΘΟΥ,291 00,www.windmillhotelszante.com,+306986915070,
ΑΝΕΜΟΜΥΛΟΣ ΜΠΕΥ,"


0.8 Χλμ
",2,sophia@windmillhotelszante.com,26950-24810,2695-028678,,Αργάσι,ΑΡΓΑΣΙ ΖΑΚΥΝΘΟΥ,291 00,www.windmillhotelszante.com,,
ΑΝΕΜΩΝΑ,,2,,26630-95355,,,Σιδάρι,,490 81,,,
ΑΝΕΤΗΣ,"


3 Χλμ
",2,info@anetishotel.gr,26950-28899,2695-028899,26950-28758,Πλάνος,ΠΛΑΝΟΣ ΤΣΙΛΙΒΗ ΖΑΚΥΝΘΟΥ,291 00,www.anetishotel.gr,26950-44590,2695-028758
ΑΝΝΑΛΙΖΑ,"


0.5 Χλμ
",3,annaliza@otenet.gr,26610-93438,,,Πυργί,ΠΥΡΓΙ ΚΕΡΚΥΡΑΣ,490 83,,26610-93551,
ΑΝΝΙΤΑ,"


8 Χλμ
",1,info@anita-hotel.com,26610-33146,2661021254,26610-41684,Πέραμα,ΠΕΡΑΜΑ ΚΕΡΚΥΡΑΣ,490 84,www.anita-hotel.com,26610-21254,2661041684
ΑΝΤΑΝΙ,"


6 Χλμ
",2,info@adani.gr,26450-97450,2645-025210,26450-25301,Τσουκαλάδες,ΤΣΟΥΚΑΛΑΔΕΣ ΛΕΥΚΑΔΟΣ,311 00,www.adani.gr,26450-97451,2645-025358
ΑΝΤΑΤΖΙΟ,,2,achbht@otenet.gr,26630-63124,2663-063102,26630-63461,Αχαράβη,ΑΧΑΡΑΒΗ ΚΕΡΚΥΡΑΣ,491 00,,26630-63102,
ΑΝΤΖΕΛΑ,"


7 Χλμ
",2,loukrit@yahoo.gr,26610-91336,,26610-90827,Γουβιά,ΓΟΥΒΙΑ ΚΕΡΚΥΡΑΣ,491 00,www.angela-corfuhotel.com,2661091875,
ΑΝΤΖΕΛΑ,,1,antgiatras@gmail.com,26950-51195,,,Λαγανάς,,291 00,,26950-23892,
ΑΝΤΖΕΛΙΚΑ,"


3 Χλμ
",2,info@angelicahotel.com,26610-53310,2661-034605,26610-53100,Άγιος Γόρδιος,,491 00,www.angelicahotel.com,26610-53100,
ΑΝΤΖΕΛΙΝΑ,"


0.2 Χλμ
",2,info@angelinahotel.com,26630-99255,6945334611,26630-99256,Περουλάδες,ΜΕΛΙΤΣΑ ΠΕΡΟΥΛΑΔΩΝ ΚΕΡΚΥΡΑΣ,490 81,www.angelinahotel.com,26630-99256,
ΑΝΤΖΕΛΙΝΑ Ι,,2,info@angelinahotel.com,26630-99256,6945334611,26630-99256,Περουλάδες,,490 81,www.angelinahotel.com,26630-99255,
ΑΝΤΜΙΡΑΛ,"


3.5 Χλμ
",3,giorgos.xenos@xenoshotels.gr,2695044142,2695-042779,26950-45505,Αργάσι,ΑΡΓΑΣΙ ΖΑΚΥΝΘΟΥ,291 00,,,2695-045505
ΑΝΤΜΙΡΑΛ ΤΣΙΛΙΒΗ,"


0.7 Χλμ
",4,info@tsiliviadmiralhotel.gr,2695049405,2695-042779,26950-49405,Πλάνος,ΤΣΙΛΙΒΗ ΖΑΚΥΝΘΟΥ,291 00,www.tsiliviadmiralhotel.gr,2695049406,
ΑΠΟΛΛΩΝ,"


3 Χλμ
",2,info@corfu-apollon-hotel.com,26630-41211,2661-091283,26630-41211,Παλαιοκαστρίτσα,ΠΑΛΑΙΟΚΑΣΤΡΙΤΣΑ ΚΕΡΚΥΡΑΣ,490 83,www.corfu-apollon-hotel.com,,2661-091283
ΑΠΟΛΛΩΝ,"


0.7 Χλμ
",3,hapollo1@otenet.gr,26450-31122,2645-031122,26450-31142,Βασιλική,ΒΑΣΙΛΙΚΗ ΛΕΥΚΑΔΟΣ,310 82,www.hotelapollolefkada.com,26450-31141,2645-031142
ΑΠΟΛΛΩΝ,"


5 Χλμ
",2,info@apollonzante.gr,26950-23503,2695-024381,26950-24382,Πλάνος,,290 92,www.apollonhotel.gr,26950-24381,21-05057334
ΑΠΟΛΛΩΝ ΠΑΛΛΑΣ,"


0.01 Χλμ
",5,accounting@apollopalace-corfu.com,26610-75433,2661-075433,26610-75602,Μεσογγή,ΜΕΣΟΓΓΗ ΚΕΡΚΥΡΑΣ,490 80,https://www.sentidohotels.com/en/hotels/sentido-apollo-palace,26610-75975,2661-075602
ΑΠΟΛΛΩΝΙΟΝ ΡΗΖΟΡΤ,"


6.5 Χλμ
",5,info@apollonionasterias.com,26710-94400,6972778989,26710-91290,Ληξούρι,ΛΗΞΟΥΡΙ ΚΕΦ/ΝΙΑΣ,282 00,www.apollonionasterias.com,,
ΑΠΟΣΤΟΛΑΤΑ,"


2.5 Χλμ
",5,manager@apostolata.gr,26710-83581/2,2671083581,26710-83583,Σκάλα,ΣΚΑΛΑ ΚΕΦΑΛΛΗΝΙΑΣ,280 82,www.apostolata.gr,,2671083583
ΑΠΡΑΟΣ ΜΠΕΥ ΟΤΕΛ,"


2 Χλμ
",3,apraos@otenet.gr,26630-98004,2663-098331,26630-98137,Απραός,ΑΠΡΑΟΙ ΛΟΥΤΣΩΝ ΚΕΡΚΥΡΑΣ,491 00,,6973-790575,2663-081644
ΑΡΓΟΣΤΟΛΙ,"


0.4 Χλμ
",2,argostolihotel@gmail.com,26710-28358,2671-022387,26710-23179,Αργοστόλι,ΒΥΡΩΝΟΣ 21,281 00,,26710-28272,
ΑΡΓΩ,,1,info@argohotelcorfu.gr,26610-39468,,26610-39459,Πέραμα,ΧΡΥΣΙΔΑ-ΚΕΡΚΥΡΑΣ,490 84,www.argohotelcorfu.gr,,
ΑΡΔΑΒΑΝΗ,,4,ardavanihotel@gmail.com,6972010460,,,Λουρδάτα,,28100,,,
ΑΡΙΑΔΝΗ,"


5 Χλμ
",2,info@ariadnehotel.com,26950-24602,,26950-22080,Πλάνος,,291 00,www.ariadnehotel.com,26950-24603,
ΑΡΙΟΝ ΓΚΡΗΝ ΡΙΒΙΕΡΑ,,4,arionhotelzante@gmail.com,2695036051,,,Βασιλικός,,29100,,,
ΑΡΙΩΝ,"


2 Χλμ
",3,info@arioncorfu.gr,26610-37950,2661-037950,26610-38904,Κέρκυρα,ΣΧΕΡΙΑΣ 6,491 00,www.arioncorfu.gr,26610-38905,2661-038904
ΑΡΙΩΝ,"


16 Χλμ
",1,info@hotelarion.gr,2645092257,,,Περιγιάλι,ΠΕΡΙΓΙΑΛΙ ΛΕΥΚΑΔΟΣ,311 00,www.hotelarion.gr,6982923960,
ΑΡΙΩΝ,"


12 Χλμ
",4,arionhotelzante@gmail.com,26950-36020,,26950-36021,Βασιλικός,ΒΑΣΙΛΙΚΟΣ ΖΑΚΥΝΘΟΥ,291 00,www.arion-renaissance.gr,2695035123,
ΑΡΚΑΔΙΑ ΧΟΤΕΛ,"


35 Χλμ
",2,info@arkadiahotel.com,26950-65087,26950-65087,2695061881,Κυψέλη,,291 00,www.arkadiahotel.com,,
ΑΡΚΑΔΙΟΝ,"


8 Χλμ
",3,info@arcadionhotel.com,26610-37670,,2117607860,Κέρκυρα,ΣΤΥΛ.ΒΛΑΣΟΠΟΥΛΟΥ 2,491 00,www.arcadionhotel.com,26610-30104,
ΑΡΜΕΝΟ ΜΠΗΤΣ,"


1 Χλμ
",3,info@armeno.gr,26450-92018,,26450-92341,Περιγιάλι,ΠΕΡΙΓΙΑΛΙ ΛΕΥΚΑΔΑΣ,311 00,www.armeno.gr,26450-92112,21-02529875
ΑΡΜΟΝΙΑ,"


17 Χλμ
",3,congeeee@yahoo.gr,26450-92751,2645-023709,26450-92752,Καλλιθέα-Μεγάλο Αυλάκι,Μ.ΑΥΛΑΚΙ ΛΕΥΚΑΔΑΣ,311 00,www.hotel-armonia-lefkada.gr,,
ΑΡΧΟΝΤΙΚΟ,"


0.2 Χλμ
",3,arxontikolefkas1@gmail.com,2645022785,2107251891,,Λευκάδα,ΑΓΙΩΝ ΑΝΑΡΓΥΡΩΝ 6,311 00,www.arxontikolefkas.gr,,
ΑΣΗΜΕΝΙΟ ΦΕΓΓΑΡΙ-ΣΙΛΒΕΡ ΜΟΥΝ,,2,const-gam@otenet.gr,2663051774,,,Άγιος Στέφανος,,49081,,,
ΑΣΠΡΟΙ ΒΡΑΧΟΙ,"


3.5 Χλμ
",4,reservations@whiterocks.gr,26710-28332,210-3614892,26710-28755,Αργοστόλι,ΠΛΑΤΥΣ ΓΥΑΛΟΣ ΚΕΦΑΛΛΗΝΙΑΣ,281 00,www.whiterocks.gr,26710-23167,210-3614933
ΑΣΤΕΡΙ ΙΟΝΙΟΥ,"


16 Χλμ
",2,info@ionian-star.gr,26950-83416,6947-302959,26950-83173,Καταστάρι,ΑΛΥΚΕΣ ΚΑΤΑΣΤΑΡ.ΖΑΚΥΝΘΟΥ,290 90,www.ionian-star.gr,26950-83658,
ΑΣΤΕΡΙ ΙΟΝΙΟΥ,"


0.6 Χλμ
",4,starionion@gmail.com,26450-24762,,26450-25129,Λευκάδα,ΛΕΥΚΑΔΑ,311 00,http://ionionstar.gr,,
ΑΣΤΕΡΙ ΤΟΥ ΣΙΔΑΡΙΟΥ,"


0.4 Χλμ
",1,info@beachstarhotel.com,2663095276,,2663095976,Σιδάρι,ΣΙΔΑΡΙ ΚΕΡΚΥΡΑΣ,490 81,www.beachstarhotel.com,,
ΑΣΤΕΡΙΑ,"


2 Χλμ
",1,th_roula001@yahoo.gr,26950-83203,2695-083203,26950-26023,Καταστάρι,ΑΛΥΚΕΣ ΖΑΚΥΝΘΟΥ,291 00,,,2695-026023
ΑΣΤΕΡΙΑΣ ΡΗΖΟΡΤ,,5,info@apollonionasterias.com,2671094400,,,Σουλλάροι,XI,28200,www.apollonionasterias.com,,
ΑΣΤΕΡΙΣ,,4,info@asterishotel.gr,000-0000000,,,Σκάλα,ΣΚΑΛΑ ΚΕΦΑΛΛΗΝΙΑΣ,280 82,www.asterishotel.gr,,
ΑΣΤΗΡ,"


6 Χλμ
",3,astirbeach@astirhotels.gr,26950-51730,2695-051730,26950-51734,Λαγανάς,ΛΑΓΑΝΑΣ ΖΑΚΥΝΘΟΥ,290 92,http://www.astirhotels.gr/,,2695-051734
ΑΣΤΗΡ ΠΑΛΛΑΣ,"


4 Χλμ
",4,astirpalace@astirhotels.gr,26950-53300/7,,26950-53308,Λαγανάς,ΛΑΓΑΝΑΣ ΖΑΚΥΝΘΟΥ,290 92,www.astirhotels.gr,,
ΑΣΤΟΡΙΑ,,2,astoriahotelsidari@gmail.com,26630-31315,,,Σιδάρι,ΣΙΔΑΡΙ ΚΕΡΚΥΡΑΣ,490 81,,26630-95315,
ΑΣΤΟΡΙΑ,"


3 Χλμ
",2,astoria2@otenet.gr,26950-83533,2695-083533,26950-83572,Καταστάρι,ΑΛΥΚΕΣ ΖΑΚΥΝΘΟΥ,291 00,,26950-83536,2695-083572
ΑΤΛΑΝΤΙΣ,"


3 Χλμ
",2,info@atlantis-hotel-corfu.com,26610-35560,,26610-46480,Κέρκυρα,ΞΕΝΟΦΩΝΤΟΣ ΣΤΡΑΤΗΓΟΥ 48,491 00,www.atlantis-hotel-corfu.com,,
ΑΤΤΙΚΑ,"


3 Χλμ
",4,attika2@otenet.gr,26620-23990,,26620-23995,Μώλος,ΜΩΛΟΣ ΛΕΥΚΙΜΜΗΣ ΚΕΡΚΥΡΑΣ,490 80,www.attikahotel.gr,,
ΑΥΓΗ,"


2 Χλμ
",2,info@aurorahotelcorfu.com,26610-72644,,,Άγιος Ιωάννης Περιστερών,ΑΓ.ΙΩΑΝΝΗΣ ΠΕΡΙΣΤΕΡΩΝ,490 84,www.aurorahotelcorfu.com,6942573438,
ΑΥΓΗ – ΑΛΜΠΑ,"


2 Χλμ
",3,info@albahotel.gr,26950-26641,,26950-26642,Ζάκυνθος,ΖΗΒΑ 8,291 00,www.albahotel.gr,26950-26642,
ΑΥΡΑ,"


12 Χλμ
",1,eleni_chatzikalogianni@hotmail.com,26610-72424,,26610-72453,Μπενίτσες,ΜΠΕΝΙΤΣΕΣ ΚΕΡΚΥΡΑΣ,490 84,,26610-72453,
ΑΥΡΑ,"


4.5 Χλμ
",2,info@hotelavra.eu,26450-71706,6932-710070,26450-71706,Λυγιά,,311 00,,26450-25779,
ΑΥΡΑ,"


5 Χλμ
",2,info@avrastudios.com,26950-84164,26950-83434,26950-85015,Καταστάρι,,290 90,www.avrastudios.com,,26950-85015
ΑΥΡΑ ΜΠΗΤΣ-ΑΚΤΗ ΑΥΡΑ,"


0.3 Χλμ
",3,avrabeachnidri@gmail.com,6937092055,6937-092055,26450-92742,Νυδρί,ΝΥΔΡΙ ΛΕΥΚΑΔΑΣ,311 00,www.avra-beach.gr,26450-92741,
ΑΥΣΤΡΑΛΙΑ,"


8 Χλμ
",4,gardelliresort@hotmail.com,26950-51071,6936-141784,26950-51857,Λαγανάς,ΛΑΓΑΝΑΣ ΖΑΚΥΝΘΟΥ,290 92,,26950-51073,
ΑΦΡΟΔΙΤΗ,"


3 Χλμ
",2,ghond@otenet.gr,26630-63103,,26630-63125,Ρόδα,ΡΟΔΑ ΚΕΡΚΥΡΑΣ,490 81,,,
ΑΦΡΟΔΙΤΗ,"


9 Χλμ
",2,melpoaf@yahoo.com,26740-61113,,,Αγία Ευφημία,,280 81,,2674061504,
ΑΦΡΟΔΙΤΗ,"


1 Χλμ
",2,afroditehotel@yahoo.com,26950-55132,6945-108445,26950-55135,Λαγανάς,,290 92,,26950-55134,2695-055135
ΑΧΙΛΛΕΥΣ,"


1.5 Χλμ
",3,,26610-72425,2661-072425,,Άγιος Ιωάννης Περιστερών,ΓΑΑΙΝΑ ΚΕΡΚΥΡΑΣ,491 00,www.achilles-corfu.com,26610-72426,2661-072436
ΒΑΛΑΗΣ,"


14 Χλμ
",3,valaishotel@gmail.com,2695083223,2695083223,26950-83748,Αλικανάς,ΑΛΙΚΑΝΑΣ ΖΑΚΥΝΘΟΥ,290 90,www.valais.gr,2695083223,2695-083748
ΒΑΝΕΣΑ,"


4 Χλμ
",2,vanessa@otenet.gr,26950-26713,6979-229821,26950-29607,Καλαμάκι,ΚΑΛΑΜΑΚΙ ΖΑΚΥΝΘΟΥ,291 00,www.hotelvanessa.gr,26950-41113,
ΒΑΡΡΕΣ,"


2 Χλμ
",3,info@hotelvarres.com,26950-28352,2695-028352,26953-00200,Ζάκυνθος,ΒΑΡΡΕΣ,291 00,www.varreshotel.gr,26950-48931,
ΒΑΣΙΛΕΙΑ ΞΕΝ/ΧΕΙΟ ΕΠΙΠΛ/ΝΩΝ Δ/ΤΩΝ,"


0.4 Χλμ
",4,gelina@otenet.gr,26630-64000,21-06845102,26630-63893,Αχαράβη,ΑΧΑΡΑΒΗ ΚΕΡΚΥΡΑΣ,491 00,www.gelina.gr,26630-64007,21-06846781
ΒΑΣΙΛΕΥΣ ΦΙΛΙΠΠΟΣ,,2,info@philipposkassiopi.com,26610-22014,,,Κασσιόπη,,491 00,www.philipposkassiopi.com,,
ΒΑΣΙΛΙΚΑ,,5,ionianstone@yahoo.com,210-8037243,,,Αχαράβη,ΒΑΣΙΛΙΚΑ-ΑΧΑΡΑΒΗ ΚΕΡΚΥΡΑΣ,491 00,,,
ΒΑΣΙΛΙΚΗ ΜΠΕΥ,"


0.5 Χλμ
",3,sklirosp@yahoo.gr,26450-31077,2645-031077,26450-23567,Βασιλική,ΒΑΣΙΛΙΚΗ ΛΕΥΚΑΔΑΣ,310 82,www.hotelvassilikibay.gr,,2645-023567
ΒΑΣΙΛΙΚΟΝ,"


4 Χλμ
",3,info@hotelroyal.gr,26610-35342,2661-037512,26610-38786,Κέρκυρα,ΠΑΛΑΙΟΠΟΛΙΣ 110,491 00,www.hotelroyal.gr,26610-35343,2661-038786
ΒΑΣΙΛΙΚΟΝ,,2,info@hotelvasilikosbeach.gr,26950-35325,,26950-35327,Βασιλικός,ΒΑΣΙΛΙΚΟ ΖΑΚΥΝΘΟΥ,291 00,www.hotelvasilikosbeach.gr,,
ΒΕΖΑΛ,"


3 Χλμ
",2,vezalagro@hotmail.com,26950-51155,2695-051347,,Λαγανάς,ΛΑΓΑΝΑΣ ΖΑΚΥΝΘΟΥ,290 92,,,
ΒΕΝΟΥΣ,"


6 Χλμ
",4,info@venushotel.gr,26950-27459/60,2695-044935,26950-27461,Καλαμάκι,ΚΑΛΑΜΑΚΙ ΖΑΚΥΝΘΟΥ,291 00,www.venushotel.gr,,2695-027461
ΒΕΡΓΙΝΑ ΣΤΑΡ,"


1 Χλμ
",3,INFO@VERGINASTAR.GR,6932293053,2645071380,26450-71380,Νικιάνα,ΝΙΚΙΑΝΑ ΛΕΥΚΑΔΟΣ,311 00,www.verginastar.gr,26450-71339,
ΒΙΒΙΑΝ,"


6 Χλμ
",1,hotelvivian1@hotmail.com,26950-53502,6948-240433,26950-53502,Λαγανάς,ΛΑΓΑΝΑΣ ΖΑΚΥΝΘΟΥ,290 92,,,
ΒΙΒΙΑΝ Ι,"


6 Χλμ
",2,hotelvivian1@hotmail.com,26950-53502,6948-240433,26950-53502,Λαγανάς,,291 00,,,
ΒΙΚΤΩΡΙΑ,,3,ppater@otenet.gr,26950-51617/8,,26950-51911,Λαγανάς,ΛΑΓΑΝΑΣ ΖΑΚΥΝΘΟΥ,290 92,,,
ΒΙΚΤΩΡΙΑ,,2,info@victoria-hill-hotel-corfu.com,26610-93994,,,Γουβιά,ΓΟΥΒΙΑ ΚΕΡΚΥΡΑΣ,491 00,,,
ΒΙΛΛΑ ΒΑΣΙΛΗΣ,"


5.5 Χλμ
",2,basilzante@yahoo.gr,26950-41212,2695-041212,26950-49232,Πλάνος,,291 00,https://www.hotelvillabasil.com/,2695029232,2695-049232
ΒΙΛΛΑ ΒΕΝΕΤΣΙΑΝΟ,,3,reservations@anatoliahotels.gr,2645092313,,2289071663,Περιγιάλι,,311 00,http://anatoliahospitality.com/villa-veneziano,,
ΒΙΛΛΑ ΚΑΛΗΜΕΡΑ,,2,info@renatour.de,2662052133,,,Άγιος Γεώργιος Αργυράδων,,49080,www.renatour.de,,
ΒΙΛΛΑ ΚΑΤΕΡΙΝΑ,"


0.8 Χλμ
",1,info@corfu-villa-caterina.com,26610-93515,,,Πυργί,ΠΥΡΓΙ ΑΓ.ΜΑΡΚΟΥ ΚΕΡΚΥΡΑΣ,490 83,www.corfu-villa-caterina.com,6948-529082,
ΒΙΛΛΑ ΜΑΝΤΑΛΕΝΑ,"


2 Χλμ
",2,mantalen@otenet.gr,26950-83550,2695-083550,26950-83757,Αλικανάς,ΑΛΙΚΑΝΑΣ ΖΑΚΥΝΘΟΥ,291 00,www.mantalena.com,26950-83487,
ΒΙΛΛΑ ΝΤΕ ΛΟΥΛΙΑ,"


2 Χλμ
",4,info@villadeloulia.gr,26630-95394,,26630-95145,Περουλάδες,ΠΕΡΟΥΛΑΔΕΣ ΚΕΡΚΥΡΑΣ,490 81,www.villadeloulia.gr,,
ΒΙΛΛΑ ΧΑΡΑ,,2,,26740-51343,,,Φισκάρδο,ΑΝΤΙΠΑΤΑ ΕΡΙΣΣΟΥ,280 84,,26740-41265,
ΒΙΛΝΤΕ ΡΟΖΕ,"


4 Χλμ
",2,info@wilderose.gr,26610-93000,,26610-93003,Κάτω Κορακιάνα,ΔΑΣΙΑ,491 00,http://wilderose.gr/,,
ΒΙΤΖΑΡΟ – ΚΟΜΨΟ,"


1 Χλμ
",2,reservations@bitzarogrande.com,26950-23644,2695-023644,26950-45506,Ζάκυνθος,ΔΙΟΝ.ΡΩΜΑ 46,291 00,www.bitzarohotels.gr,26950-44065,2695-023493
ΒΙΤΖΑΡΟ ΠΑΛΛΑΣ,"


5 Χλμ
",3,bifiloxe@otenet.gr,26950-45773,2695-023644,26950-23935,Καλαμάκι,ΚΑΛΑΜΑΚΙ ΖΑΚΥΝΘΟΥ,291 00,www.bitzarohotels.gr,22840/1,2695-045507
ΒΛΑΔΙΜΗΡΟΣ,"


6 Χλμ
",2,,26610-52275,2661-052275,,Άγιος Ιωάννης,ΑΓ.ΙΩΑΝΝΗΣ ΚΕΡΚΥΡΑΣ,491 00,,,
ΒΡΕΤΑΝΙΑ,"


1.5 Χλμ
",2,brhotel@otenet.gr,26610-30724,,26610-28027,Κέρκυρα,ΕΘΝ.ΣΤΑΔΙΟΥ 27,491 00,www.corfuhotelbretagne.com,26610-35690,
ΓΑΛΑΖΙΑ ΘΑΛΑΣΣΑ,"


8 Χλμ
",1,,26950-51123,2695-026518,,Λαγανάς,ΛΑΓΑΝΑΣ ΖΑΚΥΝΘΟΥ,290 92,,,
ΓΑΛΑΖΙΑ ΘΑΛΑΣΣΑ,"


6 Χλμ
",2,info@bluesea-hotel.com,26620-51172,26620-51624,26620-51624,Άγιος Γεώργιος Αργυράδων,ΑΓ.ΓΕΩΡΓΙΟΣ ΑΡΓΥΡ.ΚΕΡΚΥΡΑΣ,490 80,www.bluesea-hotel.com,,
ΓΑΛΑΖΙΑ ΚΥΜΑΤΑ,"


7 Χλμ
",2,bluewaveszante@gmail.com,26950-51791,2695-052309,26950-52308,Λαγανάς,ΛΑΓΑΝΑΣ ΖΑΚΥΝΘΟΥ,291 00,www.bluewaveszante.gr,26950-52307,2695-052397
ΓΑΛΑΞΙΑΣ,"


6 Χλμ
",2,reservations@galaxias-adrias.gr,26610-91223,2661-091589,26610-90264,Γουβιά,ΓΟΥΒΙΑ ΚΕΡΚΥΡΑΣ,491 00,www.galaxias-adrias.gr,26610-91566,2661-090264
ΓΑΛΑΞΙΑΣ,"


6 Χλμ
",5,ctetradis@zanteparkhotels.gr,26950-51171,26950-52310,26950-51177,Λαγανάς,,291 00,www.zanteparkhotels.gr,,26950-51177
ΓΑΛΑΞΙΑΣ,"


2.5 Χλμ
",2,galaxy_hotel_kefalonia@hotmail.gr,26710-24096,,26710-24096,Αργοστόλι,ΦΑΝΑΡΙ ΑΡΓΟΣΤΟΛΙΟΥ ΚΕΦΑΛ.,281 00,www.galaxyhotelkefalonia.gr,,
ΓΑΛΗΝΗ,"


1 Χλμ
",1,galiniporokefalonia@gmail.com,26740-72171,,,Πόρος,ΠΟΡΟΣ ΚΕΦΑΛΛΗΝΙΑΣ,280 86,,6987107479,
ΓΑΡΔΕΝΟΣ ΧΟΤΕΛ,,2,,26620-25175,,,Βιταλάδες,ΒΙΤΑΛΑΔΕΣ ΚΕΡΚΥΡΑΣ,490 80,,26620-22108,
ΓΕΜΑΤΟ ΑΠΟ ΘΕΑ,,3,crystalpalaceresort@yahoo.gr,2671083081,,2671083091,Σκάλα,,28082,,,
ΓΕΜΑΤΟ ΑΠΟ ΦΩΣ,,3,crystalpalaceresort@yahoo.gr,2671083081,,2671083091,Σκάλα,,28082,,,
ΓΕΡΑΚΑΣ ΜΠΕΛΒΕΝΤΕΡΕ,"


10 Χλμ
",3,Gerakas.belvedere@gmail.com,26950-36061,2695-048030,26950-36063,Βασιλικός,ΓΛΥΝΕΣ ΒΑΣΙΛΙΚΟ ΖΑΚΥΝΘΟΥ,291 00,www.belvederezante.com,26950-48030,2695-023769
ΓΕΡΑΣΙΜΟΣ – ΚΩΣΤΑΣ,"


3 Χλμ
",3,spirosal56@gmail.com,26740-61590,,26740-61591,Αγία Ευφημία,ΑΓΙΑ ΕΥΦΗΜΙΑ,280 81,www.hotelevagelia.gr,26740-61416,
ΓΕΦΥΡΑ ΚΑΙΖΕΡ,"


9 Χλμ
",3,info@corfuhotelkaiser.com,26610-72190,,26610-72098,Πέραμα,ΓΕΦΥΡΑ ΚΑΙΖΕΡ,490 84,http://corfuhotelkaiser.com/,26610-72096,
ΓΕΩΡΓΙΑ-ΤΑΚΗΣ,,2,,26950-23807,,,Πλάνος,ΠΛΑΝΟΣ ΖΑΚΥΝΘΟΥ,291 00,,,
ΓΕΩΡΓΙΟΣ ΜΟΛΦΕΤΑΣ,"


5 Χλμ
",4,hotel@georgemolfetas.com,26710-84630,,26710-84638,Φαρακλάτα,ΦΑΡΑΚΛΑΤΑ,281 00,www.georgemolfetas.com,26710-84007,
ΓΗ-ΘΑΛΑΣΣΑ,"


3 Χλμ
",2,teramarelix@yahoo.gr,26710-92360,2671-094021,26710-92361,Ληξούρι,ΛΗΞΟΥΡΙ ΚΕΦΑΛΛΗΝΙΑΣ,282 00,www.terramare.gr,26710-93025,2671-092361
ΓΙΑΝΝΗΣ,"


14 Χλμ
",3,info@hotelyannis.gr,26610-93176,2661-093176,26610-97458,Πυργί,ΠΥΡΓΙ ΑΓ.ΜΑΡΚΟΥ ΚΕΡΚΥΡΑΣ,490 83,www.hotelyannis.gr,,2661-097458
ΓΙΑΝΝΟΠΟΥΛΟΣ ΜΠΗΤΣ,"


2 Χλμ
",2,jannobeach@gmail.com,26950-52653,210-4128442,26950-52654,Λαγανάς,,290 92,www.jannobeachhotel.gr,,210-4100022
ΓΙΟΥΛΗ ΛΕΝΑ,,2,,26950-26472,,,Πλάνος,,290 90,,,
ΓΚΛΟΡΙΑ ΜΑΡΙΣ,,4,info@gloriamaris.gr,26950-51219,,26950-52703,Λιθακιά,ΛΙΘΑΚΙΑ ΖΑΚΥΝΘΟΥ,290 92,www.gloriamaris.gr,26950-51546,
ΓΚΟΛΝΤΕΝ ΜΑΡΕ,,4,info@goldenmarecorfu.com,2663091850,,,Σκριπερό,,49083,www.goldenmarecorfu.com,2663091868,
ΓΚΡΑΝΤ ΘΕΟΝΙ,"


0.3 Χλμ
",4,grandtheoni@gmail.com,26450-32070,,2645032072,Βασιλική,ΒΑΣΙΛΙΚΗ ΛΕΥΚΑΔΟΣ,310 82,www.grandtheoni.gr,,
