Όνομα,Απόσταση από νοσοκομείο,Αστέρια,Ιστοσελίδα,E-Mail,Τηλέφωνο,Αριθμός Φαξ,Πόλη,Ταχυδρομικός Κώδικας,Διεύθυνση,Τηλέφωνο 2,Εναλλακτικό Τηλέφωνο,Εναλλακτικό Φαξ
ΑΣΗΜΕΝΙΑ ΑΜΜΟΥΔΙΑ,"


10 Χλμ
",3,,christos@harpinhotels.gr,28250-83078,28250-83029,Κουρνά,730 07,ΚΟΥΡΝΑ ΑΠΟΚΟΡΩΝΟΥ ΧΑΝΙΩΝ,,6973-669226,2825-083029
ΑΣΠΡΗ ΠΕΤΡΑ,"


0.5 Χλμ
",3,www.aspripetra.gr,info@aspripetra.gr,28970-25550,28970-25551,Ανάληψη,700 14,,2810-28970,6977-396316,2897-025550
ΑΣΠΡΟ,"


0.2 Χλμ
",2,www.hotel-aspro.gr,info@hotel-aspro.gr,28970-22894,28970-22632,Λιμένας Χερσονήσου,700 14,ΕΛΕΥΘΕΡΙΟΥ ΒΕΝΙΖΕΛΟΥ,,,
ΑΣΤΑΛΙ,"


0.5 Χλμ
",3,www.astalihotel.gr,info@astalihotel.gr,28310-24721,28310-24723,Ρέθυμνο,741 00,ΚΟΥΝΤΟΥΡΙΩΤΟΥ 172Α,28310-24722,2831-023616,2831-024723
ΑΣΤΕΡΙΑΣ ΒΙΛΑΤΖ,"


0.8 Χλμ
",4,www.asteriasvillage.gr,info@asteriasvillage.gr,2897-024539,2897-021190,Πισκοπιανό,700 14,ΠΙΣΚΟΠΙΑΝΟ ΧΕΡΣΟΝΗΣΟΥ,,6936-647778,
ΑΣΤΕΡΙΩΝ,"


3 Χλμ
",2,www.asterion.gr,info@asterion.gr,2810-241455,2810-241445,Ηράκλειο,716 01,ΝΕΑ ΑΛΙΚΑΡΝΑΣΣΟΣ,2810-823813,,
ΑΣΤΕΡΙΩΝ,"


0.4 Χλμ
",2,www.asterion-panormo.gr,info@asterion-panormo.gr,28340-51081,28340-51081,Πάνορμος,740 57,ΠΑΝΟΡΜΟΣ ΡΕΘΥΜΝΗΣ,,2834-051274,
ΑΣΤΕΡΙΩΝ,"


16 Χλμ
",5,www.asterionhotel.com,info@asterionhotel.com,28210-20947,28210-20948,Πύργος,731 00,ΠΥΡΓΟΣ ΨΗΛΟΝΕΡΟΥ ΧΑΝΙΩΝ ΚΡΗΤΗΣ,,2821-051416,
ΑΣΤΗΡ,,1,,,28320-91229,,Αγία Γαλήνη,740 56,ΑΓΙΑ ΓΑΛΗΝΗ ΡΕΘΥΜΝΟΥ,,,
ΑΣΤΗΡ ΜΠΗΤΣ,"


18 Χλμ
",4,www.astirbeach.gr,ktkt@astirbeach.gr,28970-41141,28970-41143,Γούβες,700 14,ΓΟΥΒΕΣ ΠΕΔΙΑΔΟΣ ΗΡΑΚΛΕΙΟΥ,28970-41142,281-0245227,
ΑΣΤΟΡΙΑ,"


0.3 Χλμ
",4,www.astoriacapsis.gr,info@astoriacapsis.gr,2810-343080,2810-229078,Ηράκλειο,712 01,ΠΛΑΤΕΙΑ ΕΛΕΥΘΕΡΙΑΣ 11,2810-343081,,
ΑΣΤΟΡΙΑ,"


25 Χλμ
",2,www.astoria.agiagalini.com,astoria.agiagalini@gmail.com,28320-91253,28320-91153,Αγία Γαλήνη,740 56,ΜΠΙΖΑΝΙΟΥ 8,28320-91298,28970-31718,28970-31718
ΑΣΤΡΑ,"


3 Χλμ
",2,,astrahotelapartments@gmail.com,28210-32302,,Δαράτσος,731 00,Κ.ΔΑΡΑΤΣΟ ΧΑΝΙΩΝ,28210-32273,2821-052918,
ΑΣΤΡΙΚΑΣ,,2,,,2824091695,,Άστρικας,730 06,,,,
ΑΣΤΡΙΝΟΣ,"


2 Χλμ
",2,,,28920-52700,,Κόκκινος Πύργος,702 00,ΚΟΚΚΙΝΟΣ ΠΥΡΓΟΣ ΤΥΜΠ.ΗΡΑΚΛΕΙΟΥ,,,
ΑΣΤΡΟΝ,"


0.3 Χλμ
",3,www.hotelastron.com,astron@hotelastron.com,2842025114,2842025917,Ιεράπετρα,722 00,Μ.ΚΟΘΡΗ 56,2842025117,,
ΑΤΑΛΙ ΧΩΡΙΟ,,3,,atalivil@otenet.gr,28340-94141,,Μελιδόνι,740 57,ΜΠΑΛΙ,,,
ΑΤΛΑΝΤΙΚΑ ΑΚΤΗ ΖΕΥΣ,"


2 Χλμ
",4,www.atlanticahotels.com,aktizeus@atlanticahotels.com,2810-378900,2810-378929,Λινοπεράματα,715 00,ΛΙΝΟΠΕΡΑΜΑΤΑ ΗΡΑΚΛΕΙΟΥ,,,
ΑΤΛΑΝΤΙΚΑ ΚΑΛΝΤΕΡΑ ΠΑΛΛΑΣ,"


5 Χλμ
",5,www.atlanticahotels.com,accounts_sensatori@atlanticahotels.com,28970-21317,28970-26550,Ανάληψη,700 14,ΜΗΛΙΩ ΚΕΦΑΛΑ,2897026500,2897-021317,2897-026560
ΑΤΛΑΝΤΙΣ,"


0.2 Χλμ
",5,www.aquilahotels.com,roomdiv.at@aquilahotels.com,2818 100100,2810-226265,Ηράκλειο,712 02,ΥΓΕΙΑΣ 4,,,
ΑΤΛΑΝΤΙΣ,"


1 Χλμ
",1,http://www.atlantishotelagn.gr,manos.pagalos@gmail.com,28410-28964,28410-28964,Άγιος Νικόλαος,721 00,ΠΑΡΟΔΟΣ ΚΑΠΕΤΑΝ ΤΑΒΛΑ 4,,,
ΑΤΛΑΝΤΙΣ,,1,,atlantis-apartments@hotmail.com,28320-32053,,Πλακιάς,740 60,ΠΛΑΚΙΑΣ ΡΕΘΥΜΝΟΥ,,,
ΑΤΡΙΟΝ,"


1 Χλμ
",3,www.atrion.gr,account@atrion.gr,2810-246000,2810-223292,Ηράκλειο,712 02,ΧΡΟΝΑΚΗ 9,,,
ΑΤΡΙΟΝ,"


8 Χλμ
",3,www.hotelatrion.com,info@hotelatrion.com,28210-68636,28210-68746,Αγία Μαρίνα,731 00,ΑΓΙΑ ΜΑΡΙΝΑ ΧΑΝΙΩΝ,28210-68780,2821-027746,2821-027707
ΑΤΡΙΟΝ Σ,"


7 Χλμ
",2,www.hotelatrion.com,info@hotelatrion.com,28210-68636,28210-68746,Αγία Μαρίνα,731 00,ΑΓΙΑ ΜΑΡΙΝΑ ΧΑΝΙΩΝ,,2821-027746,2821-027707
ΑΤΡΙΟΥΜ,"


1 Χλμ
",4,www.atriumhotel.com.gr,info@atriumhotel.com.gr,28310-57601,28310-57607,Ρέθυμνο,741 00,Μ.ΠΟΡΤΑΛΙΟΥ 24,28310-57606,,
ΑΥΛΗ,"


0.5 Χλμ
",4,www.avli.gr,info@avli.gr,28310-58250,28310-58255,Ρέθυμνο,741 00,ΠΑΛΑΙΑ ΠΟΛΗ ΡΕΘΥΜΝΟΥ,28310-26213,,
ΑΥΡΑ ΕΛΟΥΝΤΑΣ ΘΕΡΕΤΡΟ,"


10 Χλμ
",4,www.Marissolhotels.gr,eloundamarmin.manager@Marissolhotels.gr,28410-41003,28410-41535,Κάτω Ελούντα,720 53,ΕΛΟΥΝΤΑ ΛΑΣΗΘΙΟΥ,,2841-041003,2841-041535
ΑΥΡΑ ΙΜΠΙΡΙΑΛ,"


7 Χλμ
",5,www.avraimperial.gr,info@avraimperial.gr,28240-84500,28240-84555,Κολυμβάρι,730 06,ΚΟΛΥΜΒΑΡΙ ΠΛΑΤΑΝΙΑΣ ΧΑΝΙΩΝ,,,
ΑΥΡΑ ΠΑΛΜ,,3,,info@avrapalmstudios.com,2842061337,2842061524,Άγιος Ιωάννης,72200,,,,
ΑΥΡΑ ΣΙΤΥ,"


3 Χλμ
",3,www.avracityhotel.gr,info@avracityhotel.gr,28210-27970,28210-27973,Χανιά,731 34,ΤΖΑΝΑΚΑΚΗ 23,28210-27972,,
ΑΥΣΤΡΑΛΙΑ,"


0.5 Χλμ
",1,www.australia-crete.com,info@australia-crete.com,2810-260669,2810-317970,Γάζι,715 00,,,,
ΑΥΤΟΚΡΑΤΟΡΙΚΟ-ΙΜΠΕΡΙΑΛ,,2,www.malemeimperial.com,info@malemeimperial.com,28210-62661,2821062601,Μάλεμε,73014,ΜΑΛΕΜΕ ΧΑΝΙΩΝ,28210-62761,2821-062293,
ΑΦΡΟΓΙΑΛΙΣ,"


1.5 Χλμ
",1,,,28410-22109,28410-22109,Άγιος Νικόλαος,721 00,ΑΓ.ΝΙΚΟΛΑΟΣ ΛΑΣΗΘΙΟΥ,,2841-024156,2841-022753
ΑΦΡΟΔΙΤΗ,"


0.2 Χλμ
",4,www.aphrodite-hotel.gr,aphrodht@otenet.gr,28970-41102,28970-41379,Γούβες,700 14,ΓΟΥΒΕΣ ΗΡΑΚΛΕΙΟΥ ΚΡΗΤΗΣ,,281-0223967,281-0223967
ΑΦΡΟΔΙΤΗ,,2,,,28250-61595,28250-83035,Γεωργιούπολη,730 07,ΓΕΩΡΓΙΟΥΠΟΛΗ ΧΑΝΙΩΝ,,,
ΑΦΡΟΔΙΤΗ,"


1 Χλμ
",2,,laguvardos1@yahoo.gr,28310-22246,28310-22246,Ρέθυμνο,741 00,ΔΑΣΚΑΛΟΓΙΑΝΝΗ 5,28310-25871,,
ΑΧΙΛΛΕΑΣ ΠΛΑΖΑ,"


3 Χλμ
",3,www.achilles-plaza.gr,info@achilles-plaza.gr,28210-60889,28210-60051,Αγία Μαρίνα,731 00,ΑΓΙΑ ΜΑΡΙΝΑ ΧΑΝΙΩΝ,,,
ΑΧΙΛΛΕΙΟΝ,"


2.5 Χλμ
",1,,ppavlakismd@gmail.com,000-0000000,28210-45940,Γαλατάς,731 00,ΚΑΛΑΜΑΚΙ ΚΥΔΩΝΙΑΣ ΧΑΝΙΩΝ,,,
ΑΧΙΛΛΕΙΟΝ ΠΑΛΛΑΣ,"


0.7 Χλμ
",4,www.achillionpalace.gr,info@achillionpalace.gr,28310-54423,28310-51568,Ρέθυμνο,741 00,ΓΙΑΜΠΟΥΔΑΚΗ Κ. 27,28310-51502,2831-051502,2831-051562
ΑΧΛΙΑ,"


15 Χλμ
",2,www.achliaapartments.com,maria.achlia@yahoo.gr,28420-61306,28420-61307,Αχλιά,720 55,ΑΧΛΙΑ ΙΕΡΑΠΕΤΡΑΣ ΛΑΣΗΘΙΟΥ,2842061756,2842-061306,2842-061307
ΑΧΤΙΔΑ ΤΟΥ ΤΕΟ,"


0.2 Χλμ
",3,,info@hoteltheo.gr,28210-60960,28210-68038,Αγία Μαρίνα,731 00,ΑΓΙΑ ΜΑΡΙΑ ΧΑΝΙΩΝ,,,
ΒΑΒΟΥΛΕΣ,"


3 Χλμ
",2,,archit1@otenet.gr,28210-20842,28210-20843,Δαράτσος,731 00,ΧΡΥΣΗ ΑΚΤΗ ΝΕΑΣ ΚΥΔΩΝΙΑΣ ΧΑΝΙΩΝ,,2821-090184,
ΒΑΓΙΑ ΜΑΡΕ,"


15 Χλμ
",2,www.vagiamare.com,vagiamare@vagiamare.com,28210-61752,28210-61753,Γεράνι,731 00,ΓΕΡΑΝΙ ΚΥΔΩΝΙΑΣ ΧΑΝΙΩΝ,,6973-431612,
ΒΑΛΕΗ ΧΩΡΙΟ,"


15 Χλμ
",3,www.valleyvillage.gr,vall@otenet.gr,28920-45776,28920-45445,Μάταλα,702 00,ΜΑΤΑΛΑ ΗΡΑΚΛΕΙΟΥ,28920-45444,,
ΒΑΝΙΣΚΟ,"


1 Χλμ
",3,www.vanisko.gr,info@vanisko.gr,2810-261403,2810-251011,Γάζι,714 14,ΑΝΔΡΕΑ ΠΑΠΑΝΔΡΕΟΥ 7,2810-261425,,
ΒΑΡΔΗΣ,"


17 Χλμ
",2,www.vardishotel.gr,info@vardishotel.gr,28250-61334,28250-61136,Ασπρουλιάνοι,730 07,ΑΣΠΡΟΥΛΙΑΝΟΣ ΓΕΩΡΓ.ΧΑΝΙΩΝ,28250-61494,6932-467766,
ΒΑΡΜΥ,"


0.3 Χλμ
",2,www.varmy.gr,vardasg100@gmail.com,28420-89375,28410-83080,Ιεράπετρα,722 00,ΙΕΡΑΠΕΤΡΑ ΛΑΣΗΘ.ΚΡΗΤΗΣ,,28410-28069,28410-83080
ΒΑΡΟΥΞΑΚΗΣ,,2,,varouxakisapp@yahoo.gr,28210-68760,28210-68740,Πλατανιάς,730 14,ΠΛΑΤΑΝΙΑΣ ΚΥΔΩΝΙΑΣ ΧΑΝΙΩΝ ΚΡΗΤΗΣ,,,
ΒΑΣΙΑ ΜΠΟΥΛΕΒΑΡΝΤ,"


0.03 Χλμ
",5,www.maragakis.gr,info@maragakis.gr,28970-22405,28970-21290,Λιμένας Χερσονήσου,700 14,ΜΙΝΩΟΣ 17,22568,2897-022405,2897-021290
ΒΑΣΙΑ ΟΡΜΟΣ,"


0.8 Χλμ
",4,,info@vasiahotels.gr,28415-01112,,Άγιος Νικόλαος,721 00,ΟΡΜΟΣ(ΝΗΣΙ ΑΜΜΟΥΔΙ),,2841071001,2841071015
ΒΑΣΙΑ ΟΡΜΟΣ ΑΝΕΞ,"


0.8 Χλμ
",2,www.vasiahotels.gr,info@vasiahotels.gr,2841501112,,Άγιος Νικόλαος,721 00,ΝΗΣΙ,,2841071001,2841071015
ΒΑΣΙΑ ΡΟΓΙΑΛ,"


2 Χλμ
",4,www.girdi.gr,info@vasiahotels.gr,2810-245412,,Γούρνες,715 00,ΓΟΥΡΝΕΣ ΗΡΑΚΛΕΙΟΥ,761234/5,281-0245412,281-0245411
ΒΑΣΙΑΝΥ,,2,,,28310-71662,,Πηγιανός Κάμπος,741 00,ΠΗΓΙΑΝΟΣ ΚΑΜΠΟΣ ΡΕΘΥΜΝΟΥ,,,
ΒΑΣΙΛΙΚΟ ΚΑΚΤΟΥΣ ΘΕΡΕΤΡΟ,"


2 Χλμ
",5,www.kaktusbeach.gr,account1@cactusbeach.gr,28970-31587,,Σταλίδα,700 07,ΣΤΑΛΙΔΑ ΗΡΑΚΛΕΙΟΥ ΚΡΗΤΗΣ,31984,28970-31587,
ΒΑΣΙΛΙΚΟ ΚΡΗΤΙΚΟ ΟΝΕΙΡΟ,"


4 Χλμ
",4,www.cretandreamroyal.gr,info@cretandreamroyal.gr,28210-36800,28210-36811,Σταλός,731 00,,28210-36810,,
ΒΑΣΩ,,2,,,28970-22047,,Λιμένας Χερσονήσου,700 14,ΛΙΜΕΝΑΣ ΧΕΡΣΟΝΗΣΟΥ,,,
ΒΑΦΕΣ,"


3 Χλμ
",3,,sp.voutsadakis@gmail.com,28250-51361,28250-51367,Βαφές,730 07,ΒΑΦΕΣ ΧΑΝΙΩΝ,69720-21791,,
ΒΕΚΙΟ,"


0.2 Χλμ
",3,www.vecchio.gr,vecchio@otenet.gr,28310-54985,28310-54986,Ρέθυμνο,741 00,ΝΤΑΛΙΑΝΗ 4,,2831-054985,2831-054986
ΒΕΛΑΝΙ,,2,www.countryhotel.gr,info@countryhotel.gr,28970-51079,2897051020,Αβδού,700 05,,28970-51080,,
ΒΕΛΙΣΣΑΡΙΟΣ,,2,www.velissarioshotel.gr,info@velissarioshotel.gr,2897023811,,Λιμένας Χερσονήσου,700 14,ΕΛΕΥΘΕΡΙΟΥ ΒΕΝΙΖΕΛΟΥ 184,,,
ΒΕΝΕΤΟ,"


0.6 Χλμ
",4,www.veneto.gr,info@veneto.gr,28310-56634,28310-56635,Ρέθυμνο,741 00,ΕΠΙΜΕΝΙΔΟΥ 4,,,
ΒΕΝΟΥΣ,,2,,,28210-32110,,Γαλατάς,731 00,Κ.ΓΑΛΑΤΑΣ ΚΥΔΩΝΙΑΣ ΧΑΝΙΩΝ,,,
ΒΕΝΟΥΣ,"


4 Χλμ
",2,www.venusmare.gr,venmare@otenet.gr,28970-24716,2810-331480,Ανάληψη,700 14,ΑΝΑΛΗΨΗ ΧΕΡΣΟΝΗΣΟΥ ΚΡΗΤΗΣ,28970-24717,281-0331420,2897-024716
ΒΕΝΟΥΣ,"


1.5 Χλμ
",2,www.venusbeach.gr,info@venusbeach.gr,28210-61580,28210-61634,Γεράνι,731 00,,,2821-074069,2821-061634
ΒΕΝΟΥΣ ΜΕΛΕΝΑ,"


1 Χλμ
",3,,info@venusmelena.gr,28970-22892,,Λιμένας Χερσονήσου,700 14,ΕΛ.ΒΕΝΙΖΕΛΟΥ 134,,2897-024524,2897-023166
ΒΕΡΓΑΣ,"


0.1 Χλμ
",2,www.vergashotel.com,hotelvergas@gmail.com,28970-32153,28970-31696,Μάλια,700 07,ΓΡΑΜΜΑΤΙΚΑΚΗ 311,,2897-031696,2897-031696
ΒΕΡΓΙΝΑ,"


2 Χλμ
",3,https://www.verginahotelcrete.gr/,verginahotelcrete@gmail.com,28210-60052,28210-68673,Αγία Μαρίνα,730 14,ΑΓΙΑ ΜΑΡΙΝΑ Ν.ΚΥΔΩΝΙΑΣ ΧΑΝΙΩΝ,69780-07653,2821-053903,
ΒΕΡΓΙΝΑ,"


1.5 Χλμ
",2,,,28310-52632,,Ρέθυμνο,741 00,ΑΡΗ ΒΕΛΟΥΧΙΩΤΗ 46,28310-57115,2831-057115,
ΒΕΡΟΝΙΚΑ,,3,www.veronica-hotel.gr,info@veronica-hotel.gr,28210-33760,28210-33060,Δαράτσος,731 00,,,,
ΒΙΓΛΑ,"


5 Χλμ
",2,,,28210-32770,,Γαλατάς,731 00,ΚΑΤΩ ΓΑΛΑΤΑΣ ΧΑΝΙΩΝ,210-8044679,21-08044679,2821-033044
ΒΙΚΤΩΡΙΑ,"


0.5 Χλμ
",1,www.victoria-hotel.gr,hotel_victoria@hotmail.com,28410-22731,28410-22266,Άγιος Νικόλαος,721 00,ΑΚΤΗ ΣΤΥΛΙΑΝΟΥ ΚΟΥΝΔΟΥΡΟΥ 34,,,2841-022266
ΒΙΚΥ,"


1 Χλμ
",2,,villavicky@otenet.gr,28970-23084,28970-25237,Λιμένας Χερσονήσου,700 14,ΠΕΖΟΥΛΙΑ ΑΓΙΟΥ ΚΩΝΣΤΑΝΤΙΝ0Υ,,281-0312542,
ΒΙΛΑ ΑΡΧΟΝΤΙΚΟ,,3,,,28310-55289,,Ίμπρος,730 11,,,,
ΒΙΛΑ ΒΕΡΓΙΑΝΑ-ΚΩΣΤΗΣ,,3,,,6974021236,,Βεργιανά,74052,,,,
ΒΙΛΑ ΜΑΞΙΝ,,3,,info@villamaxine.com,2832091530,2832091530,Αγία Γαλήνη,74056,,,,
ΒΙΛΑ ΟΛΙΒΑ,"


7 Χλμ
",3,www.grecotel.gr,info@aquilahotels.com,28310-71002,28310-71668,Αδελιανός Κάμπος,741 00,6ο ΧΛΜ ΡΕΘΥΜΝΟΥ ΗΡΑΚΛΕΙΟυ,28310-71003,2831-071013,
ΒΙΛΑΤΖΙΟ,,4,,marinatsikala@gmail.com,6944314867,,Χερσόνησος,70014,,,,
ΒΙΛΕΛΜΙΝΗ,"


3 Χλμ
",3,www.vilelmine.gr,info@vilelmine.gr,28210-46048,28210-46048,Χανιά,731 32,ΜΠΕΤΟΛΟ 32,,,
ΒΙΛΛΑ ΑΝΔΡΟΜΕΔΑ,"


4.5 Χλμ
",3,www.villandromeda.gr,vilandro@otenet.gr,28210-28300,28210-28303,Χανιά,731 33,ΕΛΕΥΘ.ΒΕΝΙΖΕΛΟΥ 150,28210-28301,,
ΒΙΛΛΑ ΑΝΝΑ,"


3 Χλμ
",2,www.villamary-anna.gr,ipahiadakis@yahoo.gr,28970-31506,28970-31985,Σταλίδα,700 07,ΤΑΧ.ΘΥΡΙΔΑ 29,,281-0230019,281-0230019
ΒΙΛΛΑ ΕΛΕΥΑ,,3,,,28310-81269,,Αργυρούπολη,740 55,ΑΡΓΥΡΟΥΠΟΛΗ ΡΕΘΥΜΝΟΥ,,,
ΒΙΛΛΑ ΙΠΠΟΚΑΜΠΟΙ,"


1 Χλμ
",2,www.ippocampi.gr,info@ippocampi.gr,28970-22316,28970-22292,Κουτουλουφάρι,700 14,ΚΟΥΤΟΥΛΟΥΦΑΡΙ,6944889836,,
ΒΙΛΛΑ ΙΩΑΝΝΑ,,4,www.villa-ioanna.gr,nikos.vatsakis@gmail.com,28210-78566,28210-78566,Φουρνές,730 05,ΦΟΥΡΝΕΣ ΧΑΝΙΩΝ,,,
ΒΙΛΛΑ ΚΑΝΤΙΣ,,4,www.villacandice.com,info@villacandice.com,2831050883,,Μαρουλάς,741 00,,,,
ΒΙΛΛΑ ΚΕΡΑΣΙΑ,,3,,info@villa-kerasia.gr,2810-791021,,Κεράσια,700 11,ΚΕΡΑΣΙΕΣ ΚΡΗΤΗΣ,,,
ΒΙΛΛΑ ΚΟΝΤΗΣ,,4,,kontisvillage@hotmail.com,28250-51603,,Μάζα,730 07,ΜΑΖΑ ΑΠΟΚΟΡΩΝΟΥ ΧΑΝΙΩΝ,,,
ΒΙΛΛΑ ΜΑΛΛΙΑ,"


3 Χλμ
",1,www.villa-malia.gr,info@villa-malia.gr,28970-31002,28970-31068,Μάλια,700 07,ΜΑΛΛΙΑ ΗΡΑΚΛ. ΚΡΗΤΗΣ,,2897-031002,2897-031068
ΒΙΛΛΑ ΜΑΡΓΑΡΙΤΑ,,1,www.palatia.gr,logpapevi@gmail.com,28970-22610,28970-23917,Λιμένας Χερσονήσου,700 14,ΛΙΜ.ΧΕΡΣΟΝΗΣΟΥ ΗΡΑΚΛΕΙΟΥ,,,
ΒΙΛΛΑ ΜΑΡΙΑ,"


3 Χλμ
",2,www.villamary-anna.gr,ipahiadakis@yahoo.gr,28970-31450,28970-31985,Σταλίδα,700 07,ΣΤΑΛΙΔΑ ΗΡΑΚΛΕΙΟΥ,,281-0230019,281-0230019
ΒΙΛΛΑ ΜΑΡΙΑ,,1,,mdettoraki@gmail.com,2897041931,2810224355,Κάτω Γούβες,700 14,,2897041931,,
ΒΙΛΛΑ ΜΕΔΟΥΣΑ,"


2.5 Χλμ
",1,www.villamedusa.gr,info@villamedusa.gr,28970-22624,28970-21080,Λιμένας Χερσονήσου,700 14,,,2897-022624,2897-021080
ΒΙΛΛΑ ΝΤΙ ΠΟΡΤΟ,,5,www.portoplatanias.gr,info@portoplatanias.gr,28210-38800,28210-60641,Πλατανιάς,731 00,ΠΛΑΤΑΝΙΑΣ ΧΑΝΙΩΝ,,,
ΒΙΛΛΑ ΠΛΑΤΑΝΙΑΣ,"


12 Χλμ
",2,www.chania-holidays.gr,mxanioths@yahoo.gr,28210-83733,28210-60839,Πλατανιάς,730 14,ΠΛΑΤΑΝΙΑ ΚΥΔΩΝΙΑΣ ΧΑΝΙΩΝ,28210-68963,28210-68970,28210-68910
ΒΙΛΛΑ ΡΑΦΑΗΛ,,3,,,28210-55022,,Πλάκα,730 08,,,,
ΒΙΛΛΑ ΡΙΤΣΑ,"


0.5 Χλμ
",2,www.villaritsa.gr,relax@villaritsa.gr,28970-31492,28970-29713,Σταλίδα,700 07,ΕΙΡΗΝΗΣ 54,2810-281091,281-0281091,2897-029713
ΒΙΛΛΕΣ ΕΣΠΕΡΙΔΕΣ,"


1.5 Χλμ
",4,www.esperides-villas.gr,info@esperides-villas.gr,28970-22322,28970-24412,Λιμένας Χερσονήσου,700 14,ΛΙΜ.ΧΕΡΣΟΝΗΣΟΥ ΚΡΗΤΗΣ,28970-22323,,
ΒΙΛΛΕΣ ΚΑΡΜΗ,"


7 Χλμ
",5,www.carmevillas.gr,info@carmevillas.gr,28310-72661,28310-73973,Αδελιανός Κάμπος,741 00,ΑΔΕΛΙΑΝΟΣ ΚΑΜΠΟΣ ΡΕΘΥΜΝΟΥ,6978786900,,
ΒΙΛΛΕΣ ΜΙΚΑ,"


1 Χλμ
",3,,mikavila@otenet.gr,28970-22983,28970-21186,Πισκοπιανό,700 14,ΠΙΣΚΟΠΙΑΝΟ Λ.ΧΕΡΣΟΝΗΣΟΥ,28970-21185,281-0237933,
ΒΙΛΛΕΣ ΣΤΟΝ ΚΟΛΠΟ ΕΛΟΥΝΤΑΣ,"


2.5 Χλμ
",5,www.eloundavillas.com,reservations@eloundavillas.com,6944285611,2810-227811,Κάτω Ελούντα,720 53,ΕΛΟΥΝΤΑ ΛΑΣΗΘΙΟΥ ΚΡΗΤΗΣ,28410-41279,281-0227132,281-0227811
ΒΙΛΛΙΑ ΧΩΡΙΟ,"


2 Χλμ
",3,www.villeavillage.com,villeavillage@yahoo.com,28430-51697,28430-51702,Ανάληψη,720 55,ΑΝΑΛΗΨΗ ΠΕΥΚΩΝ ΣΗΤΕΙΑΣ ΚΡ,,2843-051697,2843-051702
ΒΙΟΛΕΤΑ,"


0.05 Χλμ
",2,www.violettahotel.gr,info@violettahotel.gr,2810-251251,,Γάζι,715 00,ΑΝΔΡΕΑ ΠΑΠΑΝΔΡΕΟΥ 195,2810-227264,,
ΒΙΟΥ ΣΤΑΛΙΣ ΜΠΕΫ,"


0.5 Χλμ
",3,www.ourios.gr,info@ourios.gr,28970-31370,2810-242558,Σταλίδα,700 14,ΣΤΑΛΙΔΑ ΗΡΑΚΛΕΙΟΥ,2810-282977,,
ΒΟΥΛΑ,"


0.5 Χλμ
",2,www.voulahotel.com,info@voulahotel.gr,28970-22097,,Λιμένας Χερσονήσου,700 14,ΔΑΣΚΑΛΟΓΙΑΝΝΗ 7,,,
ΒΡΑΧΟΣ ΤΗΣ ΕΔΕΜ,"


15 Χλμ
",3,www.edenrock.gr,edenrock@edenrock.gr,28420-61370,28420-61734,Αγία Φωτιά,722 00,ΑΓ.ΦΩΤΙΑ-ΦΕΡΜΑ ΛΑΣΗΘΙΟΥ,28420-61723,28420-61723,28420-61734
ΒΡΙΤΟΜΑΡΤΗΣ,"


1 Χλμ
",3,www.vritomartis.gr,info@vritomartis.gr,28250-91112,28250-91222,Χώρα Σφακίων,730 11,ΧΩΡΑ ΣΦΑΚΙΩΝ - ΧΑΝΙΑ,,,
ΒΥΖΑΝΤΙΟ,,4,,info@hotelbyzantine.com,28310-55609,,Ρέθυμνο,741 00,ΒΟΣΠΟΡΟΥ 26,,,
Γ.ΤΡΟΥΛΗΣ,"


1 Χλμ
",2,www.troulis-apartments.com,troulisa@otenet.gr,28340-94289,28340-94189,Μπαλί,740 57,ΜΠΑΛΙ ΡΕΘΥΜΝΟΥ,28340-94509,281-0282454,2834-094189
ΓΑΛΑΖΙΟ ΑΙΓΑΙΟ,"


1 Χλμ
",4,www.blue-aegean.gr,info@blue-aegean.gr,28970-43200,28970-43201,Κάτω Γούβες,700 14,Κ.ΓΟΥΒΕΣ ΗΡΑΚΛΕΙΟΥ ΚΡΗΤΗΣ,,281-0213125,
ΓΑΛΑΖΙΟ ΑΣΤΕΡΙ,"


5 Χλμ
",4,www.dessolehotels.com,accounting.bluestar@dessolehotel.com,28420-25060,28420-25090,Άγιος Ιωάννης,722 00,ΚΑΘΑΡΑΔΕΣ ΛΑΣΙΘΙΟΥ,28420-25061,,
ΓΑΛΑΖΙΟ ΝΗΣΙ,"


1 Χλμ
",2,www.blueislandhotel.gr,customers@blueislandhotel.gr,6972513101,,Λιμένας Χερσονήσου,700 14,ΕΛΕΥ8. ΒΕΝΙΖΕΛΟΥ150,,2897-021106,
ΓΑΛΑΖΙΟΣ ΚΟΛΠΟΣ,"


1 Χλμ
",4,www.bluebay.gr,info@bluebay.gr,2810811072,2810811071,Αγία Πελαγία,713 05,ΚΥΛΛΗΝΗΣ 8,,,
ΓΑΛΑΖΙΟΣ ΚΟΛΠΟΣ ΑΝΕΞ,"


2 Χλμ
",4,www.bluebay.gr,manager@bluebay.gr,2810811072,2810811071,Αγία Πελαγία,715 00,ΑΓ.ΠΕΛΑΓΙΑ ΗΡΑΚΛ.ΚΡΗΤΗΣ,2810812220,,
