Όνομα,Απόσταση από νοσοκομείο,Αστέρια,Ιστοσελίδα,E-Mail,Τηλέφωνο,Τηλέφωνο 2,Αριθμός Φαξ,Πόλη,Διεύθυνση,Ταχυδρομικός Κώδικας,Εναλλακτικό Τηλέφωνο,Εναλλακτικό Φαξ
ΑΠΟΣΠΕΡΙΔΕΣ,"


4 Χλμ
",2,aposperidehotel.gr,aposperides@gmail.com,27360-31656,27360-31790,27360-31301,Λιβάδι,ΛΕΙΒΑΔΙ ΚΥΘΗΡΩΝ,801 00,,
ΑΡΓΩ,"


1 Χλμ
",2,www.hotelargonita.com,argoanita@hotmail.com,210-4121795,,210-4122420,Πειραιάς,ΝΟΤΑΡΑ 23,185 31,,
ΑΡΓΩ,,3,www.argohotel.com,argo@suncruiser.org,22970-32266,2297032541,,Αγία Μαρίνα,ΑΓ.ΜΑΡΙΝΑ ΑΙΓΙΝΑΣ,180 10,2297-032266,
ΑΡΓΩ,"


0.2 Χλμ
",1,www.hostelargo.gr,argohotelathens@yahoo.gr,210-5225939,,210-5220682,Αθήνα,ΒΙΚΤΩΡΟΣ ΟΥΓΚΩ 25,104 37,,
ΑΡΓΩ,"


6 Χλμ
",2,,drivateo@gmail.com,210-5576105,,210-5579421,Σκαραμαγκάς,Β.ΕΛΛΑΔΟΣ 50,124 62,,
ΑΡΕΤΗ,"


0.2 Χλμ
",2,www.hotelsaegina.gr,ad.economics@gmail.com,2297022472,,22970-22472,Αίγινα,ΚΑΖΑΝΤΖΑΚΗ 3,180 10,,
ΑΡΕΤΟΥΣΣΑ,"


2 Χλμ
",3,www.arethusahotel.gr,info@arethusahotel.gr,210-3229431/8,3229438,210-3229439,Αθήνα,ΜΗΤΡΟΠΟΛΕΩΣ  &  ΝΙΚΗΣ 12,105 63,,
ΑΡΗΣ,,2,www.ares-athens-hotel.gr,manager@ares-athens-hotel.gr,210-5247099,,210-5247599,Αθήνα,ΠΕΙΡΑΙΩΣ 7,105 52,,
ΑΡΙΣΤΟΝ,,3,www.aristonhotel.gr,desk@aristonhotel.gr,210-8253111,,210-8253427,Αθήνα,ΔΙΛΗΓΙΑΝΝΗ 50 & ΜΕΤΑΞΑ 35,104 39,,
ΑΡΙΣΤΟΤΕΛΗΣ,"


1 Χλμ
",3,www.aristoteleshotel.gr,info@aristoteleshotel.gr,210-5228126,210-5241904,210-5231138,Αθήνα,ΑΧΑΡΝΩΝ 15,104 38,,
ΑΡΙΩΝ,"


25 Χλμ
",2,,anbotsi@hotmail.com,22630-22253,,,Βίλια,ΣΑΚΕΛΛΑΡΙΟΥ 39,190 12,,
ΑΡΙΩΝ ΑΘΕΝΣ,"


2 Χλμ
",3,www.arionhotel.gr,arion@tourhotel.gr,210-3240415,210-3240417,210-3216779,Αθήνα,ΑΓ.ΔΗΜΗΤΡΙΟΥ 18,105 54,,
ΑΡΙΩΝ ΑΣΤΗΡ ΠΑΛΛΑΣ,"


5 Χλμ
",5,www.astir-palace.com,reservations.athens@fourseasons.com,210-8902000,210 890 1051,210-8902010,Βουλιαγμένη,ΑΠΟΛΛΩΝΟΣ 40,166 71,,
ΑΡΜΑ,"


1 Χλμ
",1,www.hotelarma.gr,armahotel@gmail.com,210-9816319,210-9853175,210-9831223,Παλαιό Φάληρο,ΣΕΙΡΗΝΩΝ 9 & ΕΣΠΕΡΟΥ 48,175 61,,
ΑΡΜΑΤΑ ΜΠΟΥΤΙΚ,,3,www.armatahotel.gr,info@boutiquehotelsgreece.gr,22980-72683,,22980-75403,Σπέτσες,ΣΠΕΤΣΕΣ (ΑΓΙΟΣ ΑΝΤΩΝΙΟΣ),180 50,,
ΑΡΤ ΓΚΑΛΛΕΡΥ- ΣΤΟΑ ΤΕΧΝΗΣ,"


1.5 Χλμ
",1,www.artgalleryhotel.gr,artgalleryhotel@gmail.com,210-9238376,210-9231933,210-9233025,Αθήνα,ΕΡΕΧΘΕΙΟΥ 5,117 42,,
ΑΡΤ ΟΤΕΛ ΑΘΕΝΣ,"


0.5 Χλμ
",4,www.arthotelathens.gr,info@arthotelathens.gr,210-5240501,,210-5243384,Αθήνα,ΜΑΡΝΗ 27,104 32,,
ΑΡΤΑ,"


0.5 Χλμ
",1,www.artahotel.gr,,210-3827753,,,Αθήνα,ΝΙΚΗΤΑΡΑ 12,106 78,,
ΑΡΤΕΜΙΣ,,1,,,22970-25195,,,Αίγινα,ΚΑΝΑΡΗ 20,180 10,,
ΑΡΤΕΜΙΣ,"


0.15 Χλμ
",1,,marvel.dim@gmail.com,22970-91309,22970-91141,,Μεγαλοχώρι-Αγκίστρι,ΣΚΑΛΑ ΑΓΚΙΣΤΡΙΟΥ,180 10,6972-938015,
ΑΡΤΕΜΙΣΙΟΝ,"


0.5 Χλμ
",1,,hotelartemission@gmail.com,210-5230036,210-5249443,210-5234959,Αθήνα,ΒΕΡΑΝΖΕΡΟΥ 20,104 32,,
ΑΣΤΟΡ,"


1.5 Χλμ
",4,www.astorhotel.gr,astor@astorhotel.gr,210-3351000,,210-3255115,Αθήνα,ΚΑΡΑΓΕΩΡΓΗ ΣΕΡΒΙΑΣ 16,105 62,,
ΑΣΤΡΟΝ,"


3 Χλμ
",1,www.star-hotel.gr,info@star-hotel.gr,210-8071474,210-08142939,210-8076921,Κηφισιά,ΕΛΕΥΘΕΡΩΝ 20,145 64,,
ΑΤΛΑΝΤΙΚ,"


1 Χλμ
",2,www.atlantic-hotel.gr,atlantickallithea@gmail.com,210-9484375,2109484365,210-9483051,Καλλιθέα,ΠΕΙΣΙΣΤΡΑΤΟΥ 99,176 75,2109484365,2109483051
ΑΤΛΑΝΤΙΣ,"


0.2 Χλμ
",2,,atlantis_138@yahoo.gr,210-4293834,210-4293835,210-4293834,Πειραιάς,ΝΟΤΑΡΑ 138,185 36,,
ΑΤΤΑΛΟΣ,"


2 Χλμ
",3,www.attaloshotel.com,info@attaloshotel.com,210-3212801/3,,210-3243124,Αθήνα,ΑΘΗΝΑΣ 29,105 54,,
ΑΤΤΙΚΑ ΜΠΗΤΣ,"


3 Χλμ
",3,www.atticabeach.gr,attbeach@otenet.gr,22940-33712,22940-33734,22940-33790,Νέα Μάκρη,ΠΟΣΕΙΔΩΝΟΣ 32,190 05,21-03236256,
ΑΤΤΙΚΗ,,1,www.attikihotel.gr,attikihotel@gmail.com,210-3626206,,210-9911544,Αθήνα,ΤΣΙΜΙΣΚΗ 37,114 72,,
ΑΥΡΑ,"


3 Χλμ
",2,,,210-9814064,,,Παλαιό Φάληρο,ΝΗΡΕΩΣ 3,175 61,,
ΑΥΡΑ,"


5 Χλμ
",4,www.hotelavra.gr,hotelavra@gmail.com,22940-22780,22940-22781,22940-23320,Ραφήνα,ΡΑΦΗΝΑ ΑΤΤΙΚΗΣ,190 09,28210-38250,
ΑΥΡΑ,"


0.2 Χλμ
",2,,hotelavra@hotmail.com,22970-22303,,22970-28489,Αίγινα,ΚΑΖΑΝΤΖΑΚΗ 2,180 10,,
ΑΥΡΑ,"


10 Χλμ
",3,https://www.avra-hotel.gr/,skamagam@yahoo.gr,22980-92550,22980-92382,,Μέθανα,ΑΚΤΗ ΣΑΡΩΝΙΚΟΥ 24,180 30,,
ΑΦΑΙΑ,"


16 Χλμ
",2,www.hotelafea.gr,hotelafea@hotelafea.gr,22970-32227,,22970-32622,Αγία Μαρίνα,ΑΓ.ΜΑΡΙΝΑ ΑΙΓΙΝΑΣ,180 10,2297-071207,
ΑΦΡΟΔΙΤΗ,"


2 Χλμ
",1,www.hotel-afrodite.gr,jkalligeros@gmail.com,27360-31328,27360-39068,27360-31903,Καψάλι,ΚΑΨΑΛΙ ΚΥΘΗΡΩΝ,801 00,2735-031247,2736-034337
ΑΧΑΡΝΗΣ,"


5 Χλμ
",2,www.acharniskavallari.gr,info@acharniskavallari.gr,210-2467961,210-2462259,,Αχαρνές,20 ΧΛΜ ΛΕΩΦ.ΠΑΡΝΗΘΟΣ,136 71,,
ΑΧΙΛΛΕΑΣ,"


2 Χλμ
",3,www.achilleashotel.gr,achilleas@tourhotel.gr,210-3233197,210-3225826,210-3216779,Αθήνα,ΛΕΚΚΑ 21,105 62,,
ΑΧΙΛΛΕΙΟΝ,"


0.15 Χλμ
",3,www.achillionhotel.com,achilion@otenet.gr,210-5225618,,210-5236326,Αθήνα,ΑΓΙΟΥ ΚΩΝΣΤΑΝΤΙΝΟΥ 32 -ΝΙΚΗΦΟΡΟΥ,104 37,,
ΑΧΙΛΛΕΙΟΝ,"


1 Χλμ
",1,www.hotel-achillion.gr,info@hotel-achillion.gr,210-4124029,,210-4112950,Πειραιάς,ΝΟΤΑΡΑ 63,185 35,,
Β4Β ΑΘΕΝΣ ΣΙΓΚΝΑΤΣΟΥΡ ΧΟΤΕΛ,,4,http://b4bhotels.com/,reservations@b4bhotels.com,2114111016,,,Αθήνα,ΘΕΟΦΙΛΟΠΟΥΛΟΥ 18,11743,,
ΒΑΓΙΑ,"


1 Χλμ
",1,www.vagiahotel.gr,chaldaios@gmail.com,+306951708121,,,Βαΐα,ΒΑΓΙΑ ΑΙΓΙΝΑΣ,180 10,2297-024614,2297-071179
ΒΑΡΒΑΡΑ,"


0.07 Χλμ
",1,,hotelbarbara1@gmail.com,22970-32293,,,Αγία Μαρίνα,ΑΓ.ΜΑΡΙΝΑ ΑΙΓΙΝΑΣ,180 10,2297-026989,
ΒΑΣΙΛΙΚΟΝ,,1,,,210-5228133,210-5247750,,Αθήνα,ΙΚΤΙΝΟΥ 5,105 52,,
ΒΕΝΑΡΔΟΣ,"


7 Χλμ
",3,www.venardos-hotels.gr,venardos@otenet.gr,27360-34205,27360-34100,27360-33850,Αγία Πελαγία,ΑΓΙΑ ΠΕΛΑΓΙΑ ΚΥΘΗΡΩΝ,802 00,,2736-033850
ΒΕΝΕΤΙΑ ΙΙ,"


8 Χλμ
",3,www.venetia.gr,info@venetia.gr,22970-61341,22970-61,22970-61083,Πέρδικα,,180 10,2297-061443,2297-061083
ΒΕΡΓΙΝΑ,,1,,verginahotelathens@gmail.com,210-5246160,,,Αθήνα,ΜΑΡΝΗΣ 48,104 38,,
ΒΕΡΓΙΝΑ,"


15 Χλμ
",4,www.hotelvergina.gr,hotelvergina@yahoo.gr,+3022910-26349,+302102113537,22910-26349,Καλύβια Θορικού,41 χιλιόμετρο Αθηνών Σουνίου,190 10,21-02113537,21-02113532
ΒΕΡΟΡΗ,"


25 Χλμ
",2,,giatimos@otenet.gr,22630-22291,,22630-23661,Βίλια,ΣΑΚΕΛΛΑΡΙΟΥ 69,190 12,,
ΒΙΓΛΑ,,2,,manolis_kastrisios@hotmail.com,27360-33701,6974754852,27360-33701,Καστρισιάνικα,,801 00,,
ΒΙΕΝΝΗ,"


0.1 Χλμ
",2,www.viennahotel.gr,info@viennahotel.gr,210-5249143,,210-5225605,Αθήνα,ΠΕΙΡΑΙΩΣ 20,104 31,,
ΒΙΚΤΟΡΥ,,2,www.victoryhotels.gr,,210-8839811,210-8839813,,Αθήνα,ΜΟΝΗΣ ΠΡΟΔΡΟΜΟΥ 12,104 34,,
ΒΙΚΤΟΡΥ ΙΝ,,2,www.victory-inn.gr,info@victory-inn.gr,210-8251351,210-8251353,210-8816695,Αθήνα,ΤΡΟΙΑΣ 20,112 57,,
ΒΙΚΤΩΡ ΟΥΓΚΩ,"


2 Χλμ
",0,,info@athens-international.com,210-5232540,210-5202549,210-5232540,Αθήνα,ΒΙΚΤΩΡΟΣ ΟΥΓΚΩ 16,104 38,,
ΒΙΛΛΑ ΑΝΕΣΙΣ,"


0.25 Χλμ
",2,www.anesis-spetses.gr,spetses.anesis@gmail.com,2298072474,22980-73395,,Σπέτσες,ΣΠΕΤΣΕΣ,180 50,21-04532302,
ΒΙΛΛΑ ΜΑΚΡΑ,,3,,,27360-33150,,,Μητάτα,,802 00,,
ΒΙΛΛΑ ΜΑΡΘΑ,"


0.5 Χλμ
",2,www.villamartha.gr,vimartha@otenet.gr,22980-72147,,22980-73750,Σπέτσες,ΑΓΙΑ ΜΑΡΙΝΑ ΣΠΕΤΣΩΝ,180 50,21-08947017,21-08947264
ΒΙΛΛΑ ΧΡΙΣΤΙΝΑ,"


0.2 Χλμ
",3,www.villachristinahotel@gmail.com,villachristinahotel@gmail.com,22980-72218,22980-74228,22980-74228,Σπέτσες,ΣΠΕΤΣΕΣ,180 50,21-08077382,21-08077382
ΒΟΤΣΑΛΑΚΙΑ,"


7 Χλμ
",1,,parismassaros@gmail.com,210-4671334,,210-4671432,Σελήνια,ΑΚΤΗ ΘΕΜΙΣΤΟΚΛΕΟΥΣ 64,189 02,,
ΒΟΥΛΙΑΓΜΕΝΗ ΣΟΥΙΤΕΣ,"


5 Χλμ
",4,www.vouliagmenisuites.com,reservations.vs@grecotel.com,210-8964901,,210-9674100,Βουλιαγμένη,ΠΑΝΟΣ 8 ΚΑΙ ΧΛΟΗΣ,166 71,,
ΒΡΑΖΙΛΙΑ,"


1 Χλμ
",2,www.athensbrazilhotel.com,athensbrazilhotel@gmail.com,210-8815889,,,Αθήνα,ΦΥΛΗΣ 62,104 34,,
ΒΥΡΩΝ,"


1 Χλμ
",2,www.hotel-byron.gr,byron@hotel-byron.gr,210-3253554,210-3230327,210-3220276,Αθήνα,ΒΥΡΩΝΟΣ 19,105 58,,
ΓΑΛΑΖΙΑ ΘΑΛΑΣΣΑ,"


4 Χλμ
",4,www.bluesea.com.gr,info@bluesea.com.gr,210-9826066,2109835438,2109835438,Καλαμάκι,ΘΕΜΙΣΤΟΚΛΕΟΥΣ 49-51,174 55,,
ΓΑΛΑΖΙΟΣ ΟΥΡΑΝΟΣ,"


2 Χλμ
",2,www.hotelbluesky.gr,bluesky@otenet.gr,210-8947722,,210-8985672,Γλυφάδα,ΕΛΕΥΘΕΡΙΑΣ 26,166 74,,
ΓΑΛΑΞΙΑΣ,"


2 Χλμ
",3,www.galaxy-hotel.gr,reception@galaxy-hotel.gr,210-9818603,210-9853138,210-9844020,Καλαμάκι,ΛΕΩΦ.ΠΟΣΕΙΔΩΝΟΣ 39,174 55,,
ΓΑΛΑΞΙΑΣ,"


3 Χλμ
",2,www.hotelgalaxy-aegina.gr,nikosaxiotis@yahoo.gr,2297052944,2297022823,22970-53820,Βαθύ,ΣΟΥΒΑΛΑ ΑΙΓΙΝΑΣ,180 10,22970-22823,
ΓΑΛΗΝΗ,"


0.1 Χλμ
",2,www.galinihotelaegina.com,info@galinihotel.gr,22970-32203,,22970-32216,Αγία Μαρίνα,,180 10,6979553098,
ΓΑΛΗΝΗ,"


2 Χλμ
",3,www.galinipalace.gr,reservations@galinipalace.gr,210-8959175,210-8992850,210-8992852,Βούλα,ΚΩΝ.ΚΑΡΑΜΑΝΛΗ 95,166 73,,
ΓΑΛΗΝΗ,"


2 Χλμ
",1,,galiniotel@hotmail.com,210-4123078,210-4110442,210-4130585,Πειραιάς,ΦΙΛΙΠΠΟΥ 28,185 33,,
ΓΑΛΗΝΗ,,2,http://galini-agistri.gr,mpanou@ymail.com,6977210746,,22970-91530,Μεγαλοχώρι-Αγκίστρι,ΣΚΑΛΑ,180 10,2297091219,
ΓΙΑΝΝΑ,"


0.15 Χλμ
",1,www.holidaysinagistri.com,pannek@aig.forthnet.gr,22970-91356,,22970-91342,Μεγαλοχώρι-Αγκίστρι,ΣΚΑΛΑ ΑΓΚΙΣΤΡΙΟΥ ΑΙΓΙΝΑΣ,180 10,2297-091356,2297-091342
ΓΙΩΡΓΟΣ,,2,www.hotelgiorgio.com,info@hotelgiorgio.com,210-2323587,,210-2323588,Αχαρνές,ΣΑΜΟΥ  &  ΚΗΠΟΥΠΟΛΕΩΣ 4-6,136 71,,
ΓΚΟΛΝΤΕΝ ΣΙΤΥ,"


0.1 Χλμ
",3,www.goldencity.com.gr,goldencity@kollfam.gr,210-5226571,210-5226572,210-5233851,Αθήνα,ΜΑΡΝΗ 46 &  ΦΑΒΙΕΡΟΥ,104 38,,
ΓΚΟΛΝΤΕΝ ΣΤΑΡ,"


0.1 Χλμ
",2,,tr.lemonis@gmail.com,22970-29600,6931579963,,Αγία Μαρίνα,,180 10,6931579963,
ΓΚΡΑΝΤ ΧΑΪΑΤ ΑΘΕΝΣ,"


4 Χλμ
",5,https://www.hyatt.com/en-US/hotel/greece/grand-hyatt-athens/athgh?src=corp_lclb_gmb_seo_eame_athgh,dufourg_aurelie@hotmail.com,2144021234,,,Αθήνα,ΣΥΓΓΡΟΥ 113-115,117 45,,
ΓΚΡΕΚΟ,"


0.3 Χλμ
",3,www.grecohotel.gr,grecohotelhydra@gmail.com,22980-53200,,22980-53511,Ύδρα,ΥΔΡΑ,180 40,21-03212477,21-03251808
ΓΚΡΕΚΟΤΕΛ ΠΑΛΛΑΣ ΑΘΗΝΑ,"


0.05 Χλμ
",4,www.grecotel.gr,stavros.stavropoulos@grecotel.com,210-3250900,,210-3250920,Αθήνα,ΑΘΗΝΑΣ & ΛΥΚΟΥΡΓΟΥ,105 52,,
ΓΚΡΙΝ ΣΟΥΙΤΣ,,5,,takiskolivas@hotmail.com,6937704847,,,Αθήνα,ΜΑΚ ΜΙΛΑΝ 8,11144,,
ΓΛΑΡΟΣ,"


1 Χλμ
",2,www.glaros-hotel.gr,glaros@glaros-hotel.gr,210-4515421,,210-4537889,Πειραιάς,ΧΑΡ.ΤΡΙΚΟΥΠΗ 4,185 36,,
ΓΛΑΡΟΣ,"


4 Χλμ
",2,,info@hotel-delfini.com,210-5574871,210-5574872,210-5573459,Σκαραμαγκάς,Λ.ΣΧΙΣΤΟΥ 560,124 62,,
ΓΛΥΚΟ ΣΠΙΤΙ,,1,www.sweethomehotel.gr,info@sweethomehotel.gr,210-3229029,,210-3229028,Αθήνα,ΠΑΤΡΩΟΥ 5,105 57,2103229029,2103229028
ΓΛΥΦΑΔΑ ΡΙΒΙΕΡΑ,"


3 Χλμ
",5,www.glyfadarivierahotel.com,info@glyfadarivierahotel.com,210-8944081,210-8944106,210-8985068,Γλυφάδα,Λ.ΠΟΣΕΙΔΩΝΟΣ 40,166 75,,
ΓΟΥΙΝΤΑΜ ΑΘΕΝΣ ΡΕΖΙΝΤΕΝΣ,,4,,architect1@zeusintl.com,2103614923,,,Αθήνα,ΑΧΙΛΛΕΩΣ 2-4,10437,,
ΓΟΥΙΝΤΑΜ ΓΚΡΑΝΤ ΑΘΕΝΣ,"


1 Χλμ
",5,https://www.wyndhamgrandathens.com/el/,gm@wyndhamgrandathens.com,216-8009900,,216-8009901,Αθήνα,ΑΧΙΛΛΕΩΣ KAI ΜΕΓΑΛΟΥ ΑΛΕΞΑΝΔΡΟΥ 2-4-6,104 37,,
ΔΑΝΑΗ,"


1 Χλμ
",3,www.danaehotel.gr,danae@aig.forthnet.gr,22970-22424/5,22914,22970-26509,Αίγινα,ΑΙΓΙΝΑ,180 10,2297-022424,2297-026509
ΔΑΣΚΑΛΙΟ ΜΠΙΤΣ,"


8 Χλμ
",2,www.daskaliobeach.gr,daskaliobeach@gmail.com,22990-28350,,22990-28350,Δασκαλειό,,190 01,2299028350,2299028350
ΔΕ ΤΣΙΛΛΕΡΣ,,4,www.thezillersathenshotel.com,acc@thezillersathenshotel.com,2103222277,,2103222277,Αθήνα,ΜΗΤΡΟΠΟΛΕΩΣ 54,105 63,,
ΔΕΚΕΛΕΙΑ,"


1.5 Χλμ
",3,www.dekeliahotel.gr,sales@dekeliahotel.gr,210-6207351,210-6207354,210-6207820,Αχαρνές,ΛΕΩΦ.ΔΕΚΕΛΕΙΑΣ,136 71,,
ΔΕΛΤΑ,"


1 Χλμ
",2,,info@athensdeltahotel.com,210-5224706,,210-5224026,Αθήνα,ΚΕΡΑΜΕΩΝ 27,104 37,,
ΔΕΛΦΙΝΙ,"


0.1 Χλμ
",2,delfinihotel.gr,georgesaitis7@hotmail.gr,22980-52082,,22980-53828,Ύδρα,ΥΔΡΑ,180 40,21-04825247,2298-053828
ΔΕΛΦΙΝΙ,"


3 Χλμ
",2,www.hoteldelfini.eu,Contact@hoteldelfini.eu,210-9415364,210-9415373,210-9415520,Μοσχάτο,ΧΡΥΣΟΣΤΟΜΟΥ ΣΜΥΡΝΗΣ 12,183 44,,
ΔΕΛΦΙΝΙ,"


0.15 Χλμ
",1,,delfinihotel@hotmail.com,22970-32451,,22970-32451,Αγία Μαρίνα,ΑΓ.ΜΑΡΙΝΑ ΑΙΓΙΝΑΣ,180 10,2297-032451,2297-032451
ΔΕΛΦΙΝΙ,"


1.5 Χλμ
",2,www.hotel-delfini.com,info@hotel-delfini.com,210-4173110,,210-4173510,Πειραιάς,ΛΕΩΧΑΡΟΥΣ 7,185 31,,
ΔΕΛΦΙΝΙΑ,"


20 Χλμ
",3,www.dolphinhotel.gr,reservations@dolphinhotel.gr,22950-85560,,22950-85563,Άγιοι Απόστολοι,ΑΓ.ΑΠΟΣΤΟΛΟΙ ΑΤΤΙΚΗΣ,190 14,,
ΔΕΛΦΟΙ ΑΡΤΟΤΕΛ,"


0.3 Χλμ
",3,www.delphiarthotel.com,sales@delphiarthotel.com,210-5244004,210-5239503,210-5239564,Αθήνα,ΑΓΙΟΥ ΚΩΝΣΤΑΝΤΙΝΟΥ 27,104 37,,
ΔΗΜΗΤΡΑ,"


0.05 Χλμ
",1,www.dimitrahotelporos.gr,info@dimitrahotelporos.gr,22980-22697,22980-25901,,Πόρος,ΠΟΡΟΣ ΤΡΟΙΖΗΝΙΑΣ,180 20,2298-022697,
ΔΙΑΚΟΠΕΣ,"


8 Χλμ
",3,,,210-8970915,210-8970916,,Βάρη,Λ.ΠΟΣΕΙΔΩΝΟΣ 22  &  ΛΗΤΟΥΣ,166 72,,
ΔΙΒΑΝΗ ΑΠΟΛΛΩΝ ΠΑΛΛΑΣ ΚΑΒΟΥΡΙ,"


3 Χλμ
",5,www.divanis.gr,sdivanis@divanis.com,210-7207000,,210-9658010,Βουλιαγμένη,ΑΓΙΟΥ ΝΙΚΟΛΑΟΥ 10,166 71,,
ΔΙΒΑΝΗ ΚΑΡΑΒΕΛ,"


0.02 Χλμ
",5,www.divanis.gr,info@divanicaravel.gr,210-7207000,,210-7236683,Αθήνα,ΒΑΣ.ΑΛΕΞΑΝΔΡΟΥ 2,161 21,,
ΔΙΒΑΝΗ ΠΑΛΛΑΣ ΑΚΡΟΠΟΛΙΣ,"


2 Χλμ
",5,www.divanis.gr,divanis@divaniacropolis.gr,210-9280100,,210-9214993,Αθήνα,ΠΑΡΘΕΝΩΝΟΣ 19-25,117 42,,
ΔΙΕΘΝΕΣ,"


3 Χλμ
",2,www.diethneshotel.gr,reservations@diethneshotel.gr,210-8836855,210-8230496,210-8230582,Αθήνα,ΠΑΙΩΝΙΟΥ 52,104 40,,
ΔΙΟΝΥΣΟΣ,"


2 Χλμ
",1,,thakis.nightwolf@gmail.com,210-8834570,,210-8815022,Αθήνα,ΦΥΛΗΣ 91,104 34,,
ΔΙΟΝΥΣΟΣ,"


0.1 Χλμ
",3,www.hoteldionysos.eu,hoteldionysos@yahoo.com,22980-23511,22980-22530,22980-24503,Πόρος,Ι.ΠΑΠΑΔΟΠΟΥΛΟΥ 78,180 20,6975773996,2298024503
ΔΙΟΣΚΟΥΡΟΙ,"


1 Χλμ
",1,,hoteldioskouros@gmail.com,210-3248165,210-3233359,210-3233359,Αθήνα,ΠΙΤΤΑΚΟΥ 6,105 58,,
ΔΙΡΟΣ,"


0.05 Χλμ
",3,,diroshotel@gmail.com,210-5248112,,210-5246796,Αθήνα,ΑΓ.ΚΩΝ/ΝΟΥ 21,104 31,,
ΔΡΥΑΔΕΣ,"


1 Χλμ
",2,www.orion-dryades.com,reservations@orion-dryades.com,210-3302387,210-3827116,210-3805193,Αθήνα,ΔΡΥΑΔΩΝ 4,114 73,,
ΔΩΔΩΝΗ,"


1 Χλμ
",1,,dodonihotel@gmail.com,210-5235472,,,Αθήνα,ΜΑΓΙΕΡ 17 & ΜΑΙΖΩΝΟΣ,104 38,,
ΕΙΔΥΛΛΙΟΝ,"


0.5 Χλμ
",2,www.idillionvilia.com,hotel_idillion@yahoo.gr,22630-22262,22630-22302,22630-22302,Βίλια,ΒΙΛΛΙΑ ΑΤΤΙΚΗΣ,190 12,,
ΕΚΘΕΣΗ ΖΩΗΣ,"


10 Χλμ
",5,www.lifegallery.gr,miranda@bluegr.com,211-1067400,,210-6229353,Εκάλη,ΘΗΣΕΩΣ 103,145 78,,
ΕΛ ΣΟΛ,"


25 Χλμ
",2,www.elsolhotel.gr,info@elsolhotel.gr,27360-31629,27360-31766,,Καψάλι,ΚΑΨΑΛΙ ΚΥΘΗΡΩΝ,801 00,,
ΕΛΑΦΟΣ,"


13 Χλμ
",2,,info@skoliosis.gr,22950-82180,210-6548341,210-6527293,Άγιοι Απόστολοι,ΑΓΙΟΙ ΑΠΟΣΤΟΛΟΙ ΑΤΤΙΚΗΣ,190 14,21-06527293,21-06527293
ΕΛΕΝΗ,,2,https://www.helenhotelporos.com/indexGR.html,sofiadouzina@hotmail.com,22980-25601,,22980-23633,Πόρος,ΑΣΚΕΛΙ ΠΟΡΟΥ,180 20,22980-25601,22980-23633
ΕΛΕΥΣΙΝΑ,"


1 Χλμ
",4,www.elefsinahotel.gr,info@elefsinahotel.gr,210-5589700,,210-5562924,Ελευσίνα,ΔΗΜΗΤΡΟΣ & ΡΗΓΑ ΦΕΡΑΙΟΥ,192 00,,
ΕΛΙΑ ΕΡΜΟΥ ΑΘΕΝΣ ΧΟΤΕΛ,,4,https://www.eliaermouhotel.com,account@eliaermouhotel.com,2103250100,,,Αθήνα,,10563,,
ΕΛΙΖΑΜΠΕΘ,"


0.2 Χλμ
",2,www.hotel-elizabeth.gr,info@hotel-elizabeth.gr,210-7774379,210-7759412,210-7759411,Αθήνα,ΑΡΚΑΔΙΑΣ 46 - ΑΜΠΕΛΟΚΗΠΟΙ,115 27,6936584738,
ΕΛΙΚΩΝ,"


0.5 Χλμ
",2,,elikonhotel@gmail.com,210-5221695,210-5228428,22260-23572,Αθήνα,ΔΩΡΟΥ 3,104 31,,
ΕΛΙΤ,"


0.05 Χλμ
",2,,elite_athens@yahoo.com,210-5242111,210-5242112,210-5242111,Αθήνα,ΠΕΙΡΑΙΩΣ 23,105 52,,
ΕΛΛΗΝΙΣ,"


1 Χλμ
",3,www.hellinis.gr,hellinis@hellinis.gr,210-9311494/8,,210-9349616,Νέα Σμύρνη,ΛΕΩΦΟΡΟΣ ΣΥΓΓΡΟΥ 177,171 21,,
ΕΜΜΑΝΤΙΝΑ,"


3 Χλμ
",4,www.emmantina.gr,info@emmantina.gr,210-8980683,,210-8948110,Γλυφάδα,ΛΕΩΦ.ΠΟΣΕΙΔΩΝΟΣ 33,166 75,,
ΕΜΠΑΣΥ,"


0.1 Χλμ
",4,www.embassyhotel.gr,info@embassyhotel.gr,210-6415000,,210-6466361,Αθήνα,ΤΙΜ.ΒΑΣΣΟΥ 22,115 21,,
ΕΜΠΟΡΙΚΟΝ,,4,www.emporikonathenshotel.com,info@emporikonathenshotel.com,6930161566,,,Αθήνα,ΑΙΟΛΟΥ 27Α,10551,,
ΕΝΝΕΑ ΜΟΥΣΕΣ,"


7 Χλμ
",2,www.9museskithira.gr,ninemuky@otenet.gr,2736033155,6977247469,27360-33637,Αγία Πελαγία,,801 00,6977247469,2736033637
ΕΝΤΙΤΟΡ,,4,,j.nikolinakos@gmail.com,6937387942,,,Αθήνα,ΒΟΡΕΟΥ 5-7,10551,,
ΕΞΑΡΧΕΙΟΝ,"


0.5 Χλμ
",2,www.exarchion.com,info@exarchion.com,210-3800731,210-3801256,210-3803296,Αθήνα,ΘΕΜΙΣΤΟΚΛΕΟΥΣ 55,106 83,,
