Όνομα,Απόσταση από νοσοκομείο,Αστέρια,Ιστοσελίδα,E-Mail,Τηλέφωνο,Αριθμός Φαξ,Πόλη,Διεύθυνση,Ταχυδρομικός Κώδικας,Τηλέφωνο 2,Εναλλακτικό Τηλέφωνο,Εναλλακτικό Φαξ
ΒΙΚΤΩΡ-ΕΛΕΝΗ,"


20 Χλμ
",2,www.victor-eleni.com,info@victor-eleni.com,2374061100,,Χανιώτης,ΧΑΝΙΩΤΗ ΧΑΛΚΙΔΙΚΗΣ,630 85,2310472132,231-0472132,
ΒΙΚΤΩΡΙΑ,"


7 Χλμ
",1,www.hotel-viktoria.net,info@hotel-viktoria.gr,23510-64326,23510-62593,Παραλία,Γ.ΟΛΥΜΠΟΥ 5,601 00,,2351064326,
ΒΙΚΤΩΡΙΑ,"


4 Χλμ
",1,,nikoseleftheriou@gmail.com,23520-82111,23520-84584,Λιτόχωρο,ΑΓΙΟΥ ΝΙΚΟΛΑΟΥ 120,602 00,,,
ΒΙΚΤΩΡΙΑ,,1,,,23510-63001,,Ολυμπιακή Ακτή,ΘΑΛΕΙΑΣ 2,601 00,,,
ΒΙΚΤΩΡΙΑ,,3,www.hotelkilkisvictoria.gr,hotel_victoria@otenet.gr,23410-29700,23410-25400,Κιλκίς,Τ.Θ. 23,611 00,,,
ΒΙΚΤΩΡΙΑ ΙΝ,"


0.02 Χλμ
",1,,info@hotel-viktoria.gr,23510-64326,23510-62593,Παραλία,Γ.ΟΛΥΜΠΟΥ 11,601 00,,,
ΒΙΚΥ,"


0.3 Χλμ
",2,,vickyhotelhanioti@yahoo.com,2374052510,2374052510,Χανιώτης,ΧΑΝΙΩΤΗ ΧΑΛΚΙΔΙΚΗΣ,630 85,,6976998293,
ΒΙΛΑ ΘΑΛΑΣΣΑ,"


8 Χλμ
",1,www.villa-thalassa.gr,thalassa2008@hotmail.com,2351063384,,Παραλία,ΙΩΑΝΝΟΥ ΜΕΤΑΞΑ,601 00,,2351-039087,
ΒΙΛΛΑ ΑΝΘΕΜΙΑ,"


2 Χλμ
",2,www.villaanthemia.gr,info@villaanthemia.gr,23320-43480,23320-42808,Νάουσα,ΘΕΣΗ ΚΑΜΑΡΑ,592 00,,,
ΒΙΛΛΑ ΓΑΛΗΝΗ,"


4 Χλμ
",5,www.portocarras.com,xzhkos@techol.gr,23750-77000,23750-71229,Νέος Μαρμαράς,ΝΕΟΣ ΜΑΡΜΑΡΑΣ ΧΑΛΚΙΔΙΚΗΣ,630 81,,,
ΒΙΛΛΑ ΓΙΟΥΛΗ,"


0.6 Χλμ
",1,https://www.villagiuli.com/,info@villagiuli.com,2377022115,2310-278479,Ιερισσός,ΙΕΡΙΣΣΟΣ ΧΑΛΚΙΔΙΚΗΣ,630 75,6978327770,2310912820,
ΒΙΛΛΑ ΔΡΟΣΟΣ,"


5 Χλμ
",2,www.villa-drosos.com,info@villa-drosos.com,23520-84561,,Λιτόχωρο,ΑΡΧΕΛΑΟΥ 20,602 00,,,
ΒΙΛΛΑ ΕΛΗΑ,"


1 Χλμ
",3,www.hotel-villaelia.gr,eliaver@otenet.gr,2331026800,2331021880,Βέροια,ΕΛΗΑΣ 10,591 00,2331026801,,
ΒΙΛΛΑ ΕΞΑΡΧΟΣ,"


20 Χλμ
",1,www.villaexarhos.gr,villaexarhos@villaexarhos.gr,23510-64166,23510-64232,Παραλία,ΚΥΠΡΟΥ 16,601 00,,2351-064222,
ΒΙΛΛΑ ΕΥΡΩΠΗ,"


7 Χλμ
",1,https://hotel-villa-europe.business.site/,villa.europe.paralia@gmail.com,23510-62530,,Παραλία,Β ΠΑΡΟΔΟΣ ΑΘΗΝΑΣ 6,601 00,,2351-062530,
ΒΙΛΛΑ ΚΑΡΑΒΙΤΣΙ,"


1.5 Χλμ
",2,,info@karavitsi.gr,23750-72197,,Νέος Μαρμαράς,Ν.ΜΑΡΜΑΡΑΣ ΧΑΛΚΙΔΙΚΗΣ,630 81,23750-72305,231-0311570,231-0531545
ΒΙΛΛΑ ΚΑΡΥΑΤΙΣ,"


0.8 Χλμ
",2,https://www.hotelcariatis.gr/,info@hotelcariatis.gr,6907223329,,Νέα Καλλικράτεια,,630 80,,6907223329,
ΒΙΛΛΑ ΚΟΛΩΝΑ,"


1 Χλμ
",1,,nikolaoskotidis@gmail.com,23520-33423,,Λεπτοκαρυά,ΛΕΠΤΟΚΑΡΥΑ ΠΙΕΡΙΑΣ,600 63,2351078175,2351078175,
ΒΙΛΛΑ ΜΠΕΛΛΕΣ,"


15 Χλμ
",3,www.villabelles.gr,info@villabelles.gr,23230-71200,23230-71206,Ακριτοχώριο,ΑΚΡΙΤΟΧΩΡΙ Ν. ΣΕΡΡΩΝ,620 43,,,
ΒΙΛΛΑ ΠΑΝΘΕΟΝ,"


5 Χλμ
",3,,vpantheon@gmail.com,2352083931,2352083932,Λιτόχωρο,ΛΙΤΟΧΩΡΟ ΠΙΕΡΙΑΣ,602 00,,,
ΒΙΛΛΑ ΣΕΒΑΣΤΗ,"


2 Χλμ
",3,www.villasevasti.com,info@villasevasti.com,23510-72262,23510-72261,Σεβαστή,ΣΕΒΑΣΤΗ Ν.ΠΙΕΡΙΑΣ,601 00,,,
ΒΙΛΛΑΣ,,1,,,23740-51243,,Πολύχρονο,Τ.Θ 160,630 85,,,
ΒΙΟΑΓΡΟΚΤΗΜΑ ΛΕΥΚΟ,,2,,,23710-42243,,Πολύγυρος,ΛΕΥΚΟ,631 00,,,
ΒΙΟΛΕΤ ΤΖΙ ΑΡ,,1,,jim1506@otenet.gr,23510-64070,,Παραλία,ΕΛΕΥΘΕΡΙΟΥ ΒΕΝΙΖΕΛΟΥ 35,601 00,,,
ΒΙΡΑΓΓΑΣ,"


11 Χλμ
",3,www.viraggas.gr,info@viraggas.gr,23710-71429,23710-71472,Βράσταμα,ΠΟΛΥΓΥΡΟΣ ΧΑΛΚΙΔΙΚΗΣ,631 00,2371071472,,
ΒΙΡΓΙΝΙΑ,"


10 Χλμ
",2,www.hotels-in-greece.com,virginia@hal.forthnet.gr,23750-22022,23750-81283,Ελιά-Νικήτη,ΑΚΤΗ ΕΛΗΑΣ-ΝΙΚΗΤΗ ΧΑΛΚ/ΚΗ,630 88,23750-81281,2375-022022,2375-023751
ΒΙΣΙΟΝ,"


6 Χλμ
",1,,lmaramenos@hotmail.gr,000-0000000,,Παραλία,ΕΛ.ΒΕΝΙΖΕΛΟΥ 19,601 00,,2351-062283,
ΒΟΖΙΝΑ,"


25 Χλμ
",1,www.vozina.gr,info@vozina.gr,23750-61108,,Μεταμόρφωση,ΜΕΤΑΜΟΡΦΩΣΗ ΧΑΛΚΙΔΙΚΗΣ,630 78,,6945156599,23740-20277
ΒΟΡΑΣ ΚΑΙΜΑΚΤΣΑΛΑΝ,"


14 Χλμ
",2,www.hotelvoras.gr,info@hotelvoras.gr,23810-31496,23810-39893,Άγιος Αθανάσιος,,580 02,,,
ΒΟΡΕΑΣ,,3,,,6945-669222,,Λουτράκι,ΛΟΥΤΡΑΚΙ ΑΡΙΔΑΙΑΣ,584 00,6944-464084,,
ΒΟΥΡΒΟΥΡΟΥ,"


6 Χλμ
",2,www.hotelvourvourou.gr,info@hotelvourvourou.gr,23750-91261,23750-91261,Βουρβουρού,ΒΟΥΡΒΟΥΡΟΥ ΧΑΛΚΙΔΙΚΗΣ,630 78,,,
ΒΥΖΑΝΤΙΟ,"


0.7 Χλμ
",3,www.byzantio.com,byzhotel@otenet.gr,2310-690000,2310-681222,Πολίχνη,ΔΥΤ.ΠΕΡΙΦ.ΟΔΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,565 32,,,
ΒΥΖΑΝΤΙΟ,"


8 Χλμ
",3,www.hotel-vizantio.gr,villa@hotel-vizantio.gr,23510-63173,23510-63150,Παραλία,ΘΡΑΚΗΣ 10,601 00,,,
ΒΥΖΑΝΤΙΟΝ,"


17 Χλμ
",1,,,23230-31014,,Νέο Πετρίτσι,28ΗΣ ΟΚΤΩΒΡΙΟΥ 1,620 43,6972-712418,,
Γ.Κ.Ε.Ε.Α,"


0.3 Χλμ
",1,www.hotelgkeea.gr,info@hotelgkeea.gr,23770-22533,23770-24141,Ιερισσός,ΙΕΡΙΣΣΟΣ ΧΑΛΚΙΔΙΚΗΣ,630 75,2377041422,,
Γ.Λ.-ΝΤΖΙ ΕΛ,"


6.5 Χλμ
",3,www.hotel-gl.gr,info@hotel-gl.gr,23510-62571,23510-64511,Παραλία,ΘΡΑΚΗΣ 2,601 00,23510-64312,,
ΓΑΙΑ ΚΑΪΜΑΚΤΣΑΛΑΝ,"


4 Χλμ
",3,www.gaiakaimaktsalan.gr,gaiakaimaktsalan@hotmail.com,2384-022858,,Πιπεριές,ΠΙΠΕΡΙΑ ΠΕΛΛΑΣ,584 00,2384-300888,,
ΓΑΛΑΖΙΟ ΔΕΛΦΙΝΙ-ΣΑΡΓΚΑΝΙ,"


7 Χλμ
",4,www.bluedolphinhotel.eu/,info@bluedolphinhotel.eu,23750-61334,23750-61421,Μεταμόρφωση,ΜΕΤΑΜΟΡΦΩΣΗ ΧΑΛΚΙΔΙΚΗΣ,630 78,23750-61483,2375-061334,2375-061241
ΓΑΛΑΖΙΟ ΟΝΕΙΡΟ,"


8 Χλμ
",1,,bluedreamhotel@yahoo.gr,23510-23530,23510-64200,Ολυμπιακή Ακτή,ΑΘΗΝΑΣ 9,601 00,6979006183,2351-023530,23510-64200
ΓΑΛΑΖΙΟΣ ΚΟΛΠΟΣ,"


7 Χλμ
",4,www.bluebayhalkidiki.gr,info@bluebayhalkidiki.gr,23740-91644/5,23740-91646,Άφυτος,ΑΦΥΤΟΣ ΧΑΛΚΙΔΙΚΗΣ,630 77,,231-0419310,231-0419310
ΓΑΛΑΝΗΣ,"


0.05 Χλμ
",1,,galanisast@gmail.com,23520-44701,23520-43009,Πλαταμώνας,ΕΓΝΑΤΙΑΣ 17,600 65,,,
ΓΑΛΑΞΙΑΣ,"


2 Χλμ
",3,,info@galaxyarthotel.gr,2310-696142,2310-696142,Ωραιόκαστρο,ΓΑΒΡΑ 2,570 13,2310-697588,,
ΓΑΛΑΞΙΑΣ,"


0.7 Χλμ
",2,www.hotelgalaxynet.gr,galaxyhotel@hotmail.com,23520-31531,23520-31914,Λεπτοκαρυά,ΛΕΠΤΟΚΑΡΥΑ-ΠΙΕΡΙΑΣ,600 63,23520-31878,2465-021617,
ΓΑΛΑΞΙΑΣ,"


1 Χλμ
",2,,galaxy@ser.forthnet.gr,23210-99650,23210-99669,Σέρρες,ΜΕΡΑΡΧΙΑΣ 24 & Π.ΤΣΑΛΔ.1,621 23,23210-99660,,
ΓΑΛΑΞΙΑΣ,,1,,nikgalaxidis@gmail.com,23510-63243,,Παραλία,ΑΓΙΟΥ ΝΙΚΟΛΑΟΥ 33,601 00,,,
ΓΑΛΑΞΙΑΣ,,3,,lepitkas19@gmail.com,23840-91547,,Λουτράκι,,584 00,,,
ΓΑΛΑΞΙΑΣ ΙΝΝ,"


0.5 Χλμ
",1,www.hotelgalaxynet.gr,galaxyhotel@hotmail.com,23520-31878,23520-31914,Λεπτοκαρυά,ΛΕΠΤΟΚΑΡΥΑ ΠΙΕΡΙΑΣ,600 63,23520-31531,2465-021617,
ΓΑΛΗΝΗ,"


9 Χλμ
",1,,sevatina@hotmail.com,6944316379,23510-61917,Κατερίνη,ΕΣΤΙΑΣ 1,601 00,23510-61917,23510-21932,
ΓΑΛΗΝΗ,,1,,,23410-97326,,Δροσάτο,ΔΡΟΣΑΤΟ ΚΙΛΚΙΣ,610 03,23410-97512,,
ΓΕΡΑΚΙΝΑ,"


1 Χλμ
",3,,,23220-23045,,Νιγρίτα,ΑΘΑΝ.ΑΡΓΥΡΟΥ,622 00,23220-24043,,
ΓΕΡΑΝΙΟΝ,"


8 Χλμ
",4,www.geranionvillage.gr,reception@geranionvillage.gr,23750-22693,23750-22813,Νικήτη,ΝΙΚΗΤΗ ΧΑΛΚΙΔΙΚΗΣ,630 88,23750-23294,2375-022693,2375-022813
ΓΕΡΜΑΝΙΑ,"


0.4 Χλμ
",2,www.hotel-germany.gr,germany.olympiada@gmail.com,23760-51362,23760-51255,Ολυμπιάδα,ΜΙΧΑΗΛ ΓΕΩΡΓΙΑΔΗ,570 14,23760-51255,6973-690178,
ΓΕΡΜΑΝΙΑ,"


0.2 Χλμ
",2,,Tsavdaridis.Kostas@yahoo.gr,23510-61508,,Παραλία,ΡΗΓΑ ΦΕΡΑΙΟΥ 14,601 00,,,
ΓΕΡΟΜΙΧΑΛΟΣ,"


1.5 Χλμ
",2,www.hotelgeromihalos.com,hotelgeromih@yahoo.gr,23520-91130,23520-91130,Παραλία Σκοτίνης,ΠΑΡΑΛ.ΣΚΟΤΙΝΑΣ ΠΙΕΡΙΑΣ,600 63,6942615977,241-0613893,2352-091130
ΓΕΩΡΓΑΛΑΣ,"


3 Χλμ
",2,www.hotelgeorgalas.gr,info@hotelgeorgalas.gr,23990-35001,23990-33425,Νέα Καλλικράτεια,,630 80,23990-35002,,
ΓΕΩΡΓΙΟΣ,"


10 Χλμ
",4,,evalena.ts@hotmail.com,23740-51544,23740-52303,Κρυοπηγή,ΚΡΥΟΠΗΓΗ ΧΑΛΚΙΔΙΚΗΣ,630 77,23740-52325,,
ΓΕΩΡΓΙΟΣ,"


40 Χλμ
",1,www.chalkidiki-now.com/hotelgeorge,sarti@otenet.gr,23750-94501,23750-94381,Σάρτη,,630 75,2375094055,6942054338,
ΓΕΩΡΓΙΟΣ,"


2.05 Χλμ
",1,www.hotelgiorgio.gr,hgkallithea@gmail.com,2374-025630,,Καλλιθέα,ΚΑΛΛΙΘΕΑ ΚΑΣΣΑΝΔΡΑΣ ΧΑΛΚΙΔΙΚΗΣ,630 77,,6937182192,
ΓΗ ΤΟΥ ΟΡΦΕΑ,"


21 Χλμ
",3,www.orpheusland.gr,info@orpheusland.gr,23247-70790,,Κορμίστα,ΚΟΡΜΙΣΤΑ ΣΕΡΡΩΝ,62047,23247-72778,,
ΓΙΑΝΝΕΛΗΣ,,1,,,23750-31402,,Όρμος Παναγίας,,630 78,,,
ΓΙΑΝΝΗΣ,"


7 Χλμ
",1,,kostopouloul@gmail.com,23510-62726,,Παραλία,ΘΡΑΚΗΣ 17,601 00,,,
ΓΙΑΝΝΗΣ & ΦΩΤΕΙΝΗ,"


5 Χλμ
",1,www.gfhotel.gr,info@gfhotel.gr,23740-91475,23740-91475,Άφυτος,,630 77,,6945430248,23740-91715
ΓΙΑΝΝΗΣ-ΜΑΡΙΑ,"


0.25 Χλμ
",2,,info@summerdream.com.gr,23740-52541,23740-52176,Πολύχρονο,ΠΟΛΥΧΡΟΝΟ ΧΑΛΚΙΔΙΚΗΣ,630 85,,,
ΓΙΑΝΝΙΚΟΣ,"


20 Χλμ
",3,www.giannikos.gr,info@giannikos.gr,23740-92150,23740-92392,Παλιούρι,ΠΑΛΙΟΥΡΙ ΧΑΛΚΙΔΙΚΗΣ,630 85,,2374-092150,2374-092392
ΓΙΑΝΝΟΥΛΗΣ,,3,www.giannoulishotel.gr,info@giannoulishotel.gr,23510-63160,2351063191,Περίσταση,ΠΕΡΙΣΤΑΣΗ Ν. ΠΙΕΡΙΑΣ,601 00,,6972806363,
ΓΚΑΤΟΣ,"


0.15 Χλμ
",1,,dgatos@hotmail.com,23740-61375,23920-73187,Πευκοχώρι,ΠΕΥΚΟΧΩΡΙ ΧΑΛΚΙΔΙΚΗΣ,630 85,2310-203923,231-0203923,2392-073187
ΓΚΕΡΝΤΗ,"


2 Χλμ
",3,,,23740-63068,23740-63068,Πευκοχώρι,,630 85,,2374-063068,2374-063068
ΓΚΙΡΝΗ,"


0.3 Χλμ
",2,,hotelgirni@yahoo.com,23510-64361,23510-64361,Παραλία,Θ.ΚΟΛΟΚΟΤΡΩΝΗ 24,601 00,,6978553773,
ΓΚΛΑΒΑ,"


0.2 Χλμ
",2,www.glavashotel.webs.com,glavahotel@hotmail.com,23710-24222,23710-24279,Πολύγυρος,ΠΟΛΥΓΥΡΟΣ ΧΑΛΚΙΔΙΚΗΣ,631 00,6973982507,,
ΓΚΛΑΒΑΣ ΙΝΝ,"


15 Χλμ
",3,www.glavasinn.gr,hello@glavasinn.gr,23710-51708,23710-54154,Πολύγυρος,ΓΕΡΑΚΙΝΗ ΧΑΛΚΙΔΙΚΗΣ,631 00,23710-51401,2371-024965,2371-054154
ΓΚΟΥΝΟΣ,"


0.1 Χλμ
",2,www.hotel-gounos.gr,info@hotel-gounos.gr,23520-33425,23520-33424,Λεπτοκαρυά,ΛΕΠΤΟΚΑΡΥΑ ΠΙΕΡΙΑΣ,600 63,,,
ΓΚΡΑΝΤ ΠΛΑΤΩΝ,"


8 Χλμ
",4,www.grandplaton-hotel.gr,info@grandplaton-hotel.gr,23510-62525,23510-62498,Ολυμπιακή Ακτή,ΟΛΥΜΠΙΑΚΗ ΑΚΤΗ ΚΑΤΕΡΙΝΗΣ,601 00,62547,,
ΓΛΑΡΟΣ,"


8 Χλμ
",1,,yannis@siriostravel.gr,23510-61661,,Παραλία,ΝΙΚΗΣ 20,601 00,,,
ΓΛΑΡΟΣ,"


0.3 Χλμ
",2,http://hotel-glaros.com/,info@hotel-glaros.com,23750-71205,23750-71252,Νέος Μαρμαράς,Ν.ΜΑΡΜΑΡΑΣ ΧΑΛΚΙΔΙΚΗΣ,630 81,,,
ΓΛΥΚΟ ΣΠΙΤΙ,,2,http://hotelsweethome.gr/,hotel_sweet_home@yahoo.gr,23750-71664,23750-71828,Νέος Μαρμαράς,Ν.ΜΑΡΜΑΡΑΣ ΧΑΛΚΙΔΙΚΗΣ,630 81,,,
ΓΟΡΓΟΝΕΣ,,1,,,2373-043122,,Νέα Ποτείδαια,,632 00,,,
ΓΟΥΕΛΝΕΣ ΣΑΝΤΑ ΡΙΖΟΡΤ,,5,,info@santahotel.gr,2392022291,2392110271,Αγία Τριάδα,,57019,2392022292,,
ΓΡΕΚΑ ΑΝΝΑ,"


15 Χλμ
",1,,mimiveliaka@gmail.com,23520-43079,,Νέοι Πόροι,ΟΛΥΜΠΟΥ 12,600 65,,2352-043079,
ΓΡΕΚΑΣ,"


15 Χλμ
",1,www.hotelgrekas.gr,nikosgrekas@gmail.com,2352041857,23520-44535,Νέοι Πόροι,ΜΕΓΑΛΟΥ ΑΛΕΞΑΝΔΡΟΥ 42,600 65,6974372300,6974372300,
ΔΑΪΟΣ,"


0.7 Χλμ
",5,www.daioshotels.com,info@daioshotels.com,2310-250220,2310-250900,Θεσσαλονίκη,ΛΕΩΦ.ΝΙΚΗΣ 59,546 22,,,
ΔΑΝΑΗ,"


7 Χλμ
",4,www.hoteldanai.gr,info@hoteldanai.gr,23510-63830,23510-63833,Ολυμπιακή Ακτή,ΘΑΛΕΙΑΣ  &  ΕΣΤΙΑΣ,601 00,23510-63831,,
ΔΑΝΑΗ ΜΠΗΤΣ,"


40 Χλμ
",5,www.dbr.gr,acc@danairesort.com,23750-20406,23750-22591,Νικήτη,ΝΙΚΗΤΗ ΧΑΛΚΙΔΙΚΗΣ,630 88,,,
ΔΑΦΝΗ,,1,www.hoteldafni.gr,hoteldafni@hoteldafni.gr,23520-31327,,Λεπτοκαρυά,ΛΕΠΤΟΚΑΡΥΑ ΠΙΕΡΙΑΣ,600 63,,,
ΔΑΦΝΗ ΠΛΑΣ,,2,dafniplus@gmail.com,dafniplus@gmail.com,23520-31327,,Λεπτοκαρυά,ΛΕΠΤΟΚΑΡΥΑ ΠΙΕΡΙΑΣ,600 63,2352031355,,
ΔΑΦΝΗ ΧΟΛΙΝΤΕΗ ΚΛΑΜΠ,"


85 Χλμ
",3,www.daphneholidayclub.gr,daphni1@otenet.gr,23740-52003,23740-52251,Χανιώτης,ΧΑΝΙΩΤΗ ΧΑΛΚΙΔΙΚΗΣ,630 85,23740-62464,231-0543313,231-0533325
ΔΕ ΜΕΤ,"


3 Χλμ
",5,www.themethotel.gr,themethotel@chandris.gr,2310-017000,2310-017100,Θεσσαλονίκη,26ΗΣ ΟΚΤΩΒΡΙΟΥ 48,546 27,,,
ΔΕ ΜΟΝΤΕΡΝΙΣΤ,,4,https://www.themodernist.gr/,thessaloniki@themodernist.gr,2316 009990,,Θεσσαλονίκη,,54623,,,
ΔΕΛΦΙΝΙ,,2,,,23740-22355,,Καλλιθέα,ΚΑΛΛΙΘΕΑ ΚΑΣΑΝΔΡΑΣ,630 77,23740-22567,,
ΔΕΛΦΙΝΙ,,2,,,000-0000000,,Πλαταμώνας,,600 65,,,
ΔΕΝΗΣ,"


2.5 Χλμ
",2,www.hotel-denis.gr,denisdimitris1978@gmail.com,6936513967,,Παραλία Κορινού,,600 62,2351041090,2351-041746,
ΔΕΣΠΟΤΙΚΟ,"


14 Χλμ
",3,www.hoteldespotiko.gr,info@hoteldespotiko.gr,6936122072,23750-51105,Συκιά,ΤΡΙΣΤΙΝΙΚΑΧΑΛΚΙΔΙΚΗΣ,632 72,2310-344331,231-0344331,231-0344331
ΔΕΥΚΑΛΙΩΝ,"


1.7 Χλμ
",1,,lalosath@otenet.gr,2374092080,2374092151,Παλιούρι,,630 85,,,
ΔΗΜΑΤΗΣ,"


33 Χλμ
",2,www.dimatis.eu,info@dimatis.eu,6972033111,23510-84350,Άγιος Δημήτριος,ΑΓ.ΔΗΜΗΤΡΙΟΣ ΠΙΕΡΙΑΣ,601 00,23510-84202,,
ΔΗΜΗΤΡΑ,"


3 Χλμ
",1,,argie.13@hotmail.com,23730-22448,23730-21359,Παραλία Διονυσίου,ΠΑΡΑΛΙΑ ΔΙΟΝΥΣΙΟΥ ΧΑΛΚ/ΚΗ,632 00,23730-23111,,
ΔΗΜΗΤΡΑ,"


15 Χλμ
",1,,,23520-43133,,Πλαταμώνας,ΠΙΕΡΙΑΣ 21,600 65,23520-41241,6944-568135,
ΔΗΜΗΤΡΑ,"


5 Χλμ
",3,,hoteldimitravergina@gmail.com,23310-92900,23310-92901,Βεργίνα,ΒΕΡΓΙΝΑ ΗΜΑΘΙΑΣ,590 31,2331092901,,
ΔΗΜΗΤΡΑ-ΖΕΥΣ,,1,,,23520-31298,,Λεπτοκαρυά,ΛΕΠΤΟΚΑΡΥΑ ΠΙΕΡΙΑΣ,600 63,,,
ΔΗΜΗΤΡΙΑ,,1,www.hoteldimitria.gr,hotel_dimitria@yahoo.gr,23520-21026,23520-33080,Λεπτοκαρυά,ΛΕΠΤΟΚΑΡΥΑ ΠΙΕΡΙΑΣ,600 63,23520-33080,,
ΔΗΜΟΣΘΕΝΗΣ,"


0.5 Χλμ
",3,www.dimosthenis.gr,info@dimosthenis.gr,23430-41302,23430-43371,Γουμένισσα,ΚΟΥΝΤΟΥΡΙΩΤΗ 17,613 00,,,
ΔΙΑΜΕΡΙΣΜΑΤΑ ΔΙΑΣ,"


0.7 Χλμ
",1,www.hoteldiasapartment.com,hoteldiasapartment@gmail.com,2353041372,23530-41371,Μακρύγιαλος,ΟΛΥΜΠΙΑΔΟΣ 25,600 64,,0036309462936,
ΔΙΑΝΑ,"


0.2 Χλμ
",1,,diana_hotel@hotmail.com,23740-61372,23740-61372,Πευκοχώρι,ΠΕΥΚΟΧΩΡΙ ΧΑΛΚΙΔΙΚΗΣ,630 85,,,
ΔΙΑΠΟΡΟΣ,"


11 Χλμ
",3,www.hotel-diaporos.com,info@hotel-diaporos.com,2375091484,,Βουρβουρού,ΒΟΥΡΒΟΥΡΟΥ ΧΑΛΚΙΔΙΚΗΣ,630 78,,,
ΔΙΑΣ,"


0.2 Χλμ
",3,www.dias-hotel.gr,sak_dias@otenet.gr,23520-41267,23520-41467,Πλαταμώνας,Κ.ΚΑΡΑΜΑΝΛΗ 91,600 65,23520-41467,,
ΔΙΑΣ,"


8 Χλμ
",3,www.likidishotels.gr,dias@likidishotels.gr,23510-64354,23510-64320,Ολυμπιακή Ακτή,ΚΑΛΛΙΟΠΗΣ 5,601 00,,,
ΔΙΑΣ,"


10 Χλμ
",1,,,23520-31346,23520-31992,Λεπτοκαρυά,ΘΕΜΙΔΟΣ,600 63,23520-31040,6945-915861,2352-031992
ΔΙΟΝ,,3,www.dionhotel.gr,dionhotel@otenet.gr,23510-62580,23510-62680,Παραλία,ΑΓ.ΝΙΚΟΛΑΟΥ 17,601 00,,,
ΔΙΟΝ ΠΑΛΑΣ ΡΕΣΟΡΤ,"


5 Χλμ
",5,www.dionpalace.com,info@dionpalace.com,23520-61431,23520-61435,Λιμένας Λιτοχώρου,ΓΡΙΤΣΑ ΛΙΤΟΧΩΡΟΥ,602 00,23520-61434,,
ΔΙΟΝΥΣΙΟΝ,"


0.2 Χλμ
",1,www.hoteldionysion.gr,dionhtl@hotmail.com,23520-44289,23520-44289,Νέοι Πόροι,ΠΟΣΕΙΔΩΝΟΣ 28,600 65,,6972285198,2410-550244
ΔΙΟΝΥΣΟΣ,,1,,info@hotel-dionisos.gr,23520-31330,23520-31330,Λεπτοκαρυά,ΛΕΠΤΟΚΑΡΥΑ ΠΙΕΡΙΑΣ,600 63,23520-33730,,
ΔΙΟΝΥΣΟΣ,"


15 Χλμ
",2,www.hotel-dionysos.gr,v1976m@yahoo.gr,23740-51631,23740-52189,Χανιώτης,ΧΑΝΙΩΤΗ ΚΑΣΣΑΝΔΡ.ΧΑΛΚ/ΚΗΣ,630 85,2310-553190,231-0553190,231-0553190
ΔΙΟΝΥΣΟΣ,"


5 Χλμ
",2,www.dionisos-hotel.gr,info@dionisos-hotel.gr,23520-41711,23520-41960,Νέοι Πόροι,ΝΕΟΙ ΠΟΡΟΙ ΠΙΕΡΙΑΣ,600 65,23520-43026,2352-043026,2352-043026
ΔΙΟΝΥΣΟΣ,"


0.4 Χλμ
",2,www.zum-griechen-in-norderstedt.de,info@zum-griechen-in-norderstedt.de,23740-20119,23740-20119,Πολύχρονο,ΤΑΧ.ΘΥΡΙΔΑ 62,630 85,69420-32272,2374-051197,
ΔΙΟΝΥΣΟΣ ΙΝΝ,"


15 Χλμ
",3,www.hotel-dionysos.gr,v1976m@yahoo.gr,23740-51631,23740-52189,Χανιώτης,ΧΑΝΙΩΤΗ ΧΑΛΚΙΔΙΚΗΣ,630 85,2310-553190,231-0553190,231-0553190
ΔΙΩΝΗ,"


8 Χλμ
",1,,ikonomik@otenet.gr,23510-62168,23510-63788,Παραλία,ΟΛΥΜΠΟΥ 21,601 00,23510-63787,,
ΔΟΒΗΡΟΣ,"


25 Χλμ
",2,,olga_ntenta@hotmail.com,23410-97707,23410-97707,Δοϊράνη,ΔΟΙΡΑΝΗ ΚΙΛΚΙΣ,610 03,,,
ΔΟΜΝΑ,"


7 Χλμ
",2,,nikos@central-hotel.gr,23510-61120,23510-63889,Παραλία,ΝΙΚΗΣ 1,601 00,23510-61125,,
ΔΟΥΚΑΣ,"


0.5 Χλμ
",3,,,23740-23440,,Κασσάνδρεια,ΚΑΣΑΝΔΡΕΙΑ ΧΑΛΚΙΔΙΚΗΣ,630 77,23740-23740,231-0606231,
ΔΡΟΣΙΑ,"


10 Χλμ
",1,,drosiahotel@gmail.com,23840-91525,23840-91516,Λουτράκι,ΛΟΥΤΡΑΚΙ ΑΡΙΔΑΙΑΣ ΠΕΛΛΑΣ,584 00,,,
ΔΡΥΑΔΕΣ,"


2.5 Χλμ
",2,,dryades@dryadessiviri.gr,23740-41406,2310-247966,Σίβηρη,ΣΙΒΗΡΗ ΚΑΣΣΑΝΔΡ.ΧΑΛΚ/ΚΗΣ,630 77,,231-0245515,231-0247966
ΔΡΥΑΔΕΣ,,3,www.driades-naoussa.gr,info@driades-naoussa.gr,2332020009,23320-20097,Νάουσα,,592 00,,,
