Όνομα,Απόσταση από νοσοκομείο,Αστέρια,Ιστοσελίδα,E-Mail,Τηλέφωνο,Αριθμός Φαξ,Πόλη,Διεύθυνση,Ταχυδρομικός Κώδικας,Τηλέφωνο 2,Εναλλακτικό Τηλέφωνο,Εναλλακτικό Φαξ
ΓΑΛΑΞΙΑΣ,"


1 Χλμ
",2,www.metsovo.com/galaxyhotel,galaxias.hotel@gmail.com,26560-41202,26560-41124,Μέτσοβο,,442 00,26560-41123,,
ΓΑΛΑΞΙΑΣ,"


2 Χλμ
",3,,,26510-25432,26510-30724,Ιωάννινα,ΠΛ. ΠΥΡΡΟΥ,452 21,26510-25032,,
ΓΑΛΗΝΗ,"


0.3 Χλμ
",2,,kdrak@online.no,26840-31581,26840-32221,Πάργα,ΠΑΡΓΑ,480 60,,2684-031581,2684-032221
ΓΑΛΗΝΗ,"


0.05 Χλμ
",2,,photel.galini@gmail.com,26850-22135,,Βουργαρέλι,,470 45,,2685-022380,
ΓΑΛΗΝΗ,"


12 Χλμ
",2,www.studios-galini.gr,info@studios-galini.gr,26840-41250,26840-41160,Αμμουδιά,ΑΜΜΟΥΔΙΑ ΦΑΝΑΡΙΟΥ ΠΡΕΒΕΖΑΣ,481 00,,6938-501049,
ΓΕΦΥΡΙ,"


2 Χλμ
",3,www.gefyri.gr,info@gefyri.gr,26550-23780,26550-22783,Κόνιτσα,ΚΟΝΙΤΣΑ ΙΩΑΝΝΙΝΩΝ,441 00,,,
ΓΕΦΥΡΙ ΠΛΑΚΑΣ,"


7 Χλμ
",3,www.gefiriplakas.gr,info@gefiriplakas.gr,26850-31220,,Μονολίθι,ΜΟΝΟΛΙΘΙ ΙΩΑΝΝΙΝΩΝ,440 13,,,
ΓΙΩΡΑΛΔΗ,,3,www.gioraldi.gr,info@gioraldi.gr,2653071813,,Άνω Πεδινά,,44007,,,
ΓΙΩΤΗΣ,"


6 Χλμ
",4,www.hotel-giotis.gr,info@hotel-giotis.gr,2651093833,2651093373,Νεοκαισάρεια,11 XΛM Ε.Ο.ΙΩΑΝΝΙΝΩΝ-ΑΘΗΝΩΝ,455 00,,,
ΓΚΟΛΝΤΕΝ ΜΠΗΤΣ,"


2.5 Χλμ
",3,www.goldenbeachpreveza.gr,prevezagolden@mail.com,26820-51111,26820-51728,Καστροσυκιά,ΚΑΣΤΡΟΣΥΚΙΑ ΠΡΕΒΕΖΗΣ,481 00,2682051728,2682-051728,2682-051728
ΓΚΟΛΝΤΕΝ ΣΟΥΙΤΕΣ,,4,www.goldensuitesandspa.gr,info@goldensuitesandspa.gr,2651040205,2651040205,Νεοχωρόπουλο,ΠΑΝΕΠΙΣΤΗΜΙΟΥ 10,455 00,6936160994,2651040205,
ΓΚΡΑΝΤ ΟΤΕΛ ΔΕΝΔΡΟ,"


0.5 Χλμ
",3,www.grandhoteldentro.gr,info@grandhoteldentro.gr,26550-29365,26550-29366,Κόνιτσα,Ν.ΖΕΡΒΑ 30,441 00,,,
ΓΚΡΑΝΤ ΣΕΡΑΪ -ΞΕΝΙΑ,"


4 Χλμ
",5,www.grandserai.com,manager@grandserai.com,26510-90550,26510-90557,Ιωάννινα,ΔΩΔΩΝΗΣ 33,45332,26510-42884,,
ΓΛΑΡΟΣ,"


15 Χλμ
",2,http://hotelglaros-ammoudia.gr,info@hotelglaros-ammoudia.gr,26840-41300,26840-41180,Αμμουδιά,ΑΧΕΡΩΝ 1,480 62,,2684-041300,
ΔΑΦΝΗ,"


1 Χλμ
",3,www.hotelfilyra.gr,info@hotelfilyra.gr,6932601240,,Ιωάννινα,ΙΟΥΣΤΙΝΙΑΝΟΥ 12 ΚΑΣΤΡΟ,452 21,26510-83560,,
ΔΕΜΙΡΗΣ,,3,www.demirishotel.gr,mihalisnikiforos@yahoo.gr,2665093428,,Σύβοτα,,46100,,,
ΔΗΜΗΤΡΑ,"


25 Χλμ
",3,www.hoteldimitra.gr,info@hoteldimitra.gr,6974374901,26820-56566,Λυγιά,,481 00,26820-29282,6974374901,2682056565
ΔΙΑΣ,"


10 Χλμ
",4,,,26530-41257,26530-41892,Πάπιγκο,ΠΑΠΙΓΚΟ (ΝΕΟ) ΙΩΑΝΝΙΝΩΝ,440 04,26530-41892,2653-041257,
ΔΙΑΣΕΛΟ,"


3 Χλμ
",4,,mcc@forthnet.gr,26560-41719,26560-42320,Μέτσοβο,ΜΕΤΣΟΒΟ,442 00,41895,,
ΔΙΟΝΥΣΟΣ,"


5 Χλμ
",2,,hotel-dionisos@hotmail.com,26820-41247,26820-41248,Μύτικας,ΜΥΤΙΚΑΣ ΠΡΕΒΕΖΑΣ,481 00,,2682-021010,
ΔΙΩΝΗ,"


4 Χλμ
",2,www.dionihotel.com,info@dionihotel.com,26510-27032,26510-27864,Ιωάννινα,ΤΣΙΡΙΓΩΤΗ 10,454 44,,,
ΔΙΩΝΗ,"


0.5 Χλμ
",3,www.masthotels.gr/boutiquehoteldioni,info@boutiquehoteldioni.gr,26820-27381,26820-27384,Πρέβεζα,ΙΩΑΝ.ΚΑΛΟΥ 4,481 00,26820-27382,,
ΔΟΥΚΑΤΟ,,4,,,2106186000,,Καπέσοβο,,44010,,,
ΔΡΑΚΟΛΙΜΝΗ,"


45 Χλμ
",3,www.drakolimni.com,info@drakolimni.com,26530-81318,26530-81311,Τσεπέλοβο,ΤΣΕΠΕΛΟΒΟ ΙΩΑΝΝΙΝΩΝ,440 10,26530-81150,,
ΔΡΑΚΟΣ,,3,www.dracos.eu,drakos80@icloud.com,2684032866,2684032706,Πάργα,,48060,,,
ΔΡΥΑΔΕΣ,"


40 Χλμ
",3,www.dryades.gr,info@dryades.gr,26530-71843,,Νεγάδες,,440 07,6974565780,,
ΔΡΥΟΦΥΛΛΟ,"


20 Χλμ
",3,,info@driofillo.gr,26530-71077,26510-67676,Ελάτη,ΕΛΑΤΗ ΙΩΑΝΝΙΝΩΝ,440 07,,,
ΕΓΝΑΤΙΑ,"


4 Χλμ
",2,www.hotel-egnatia.gr,egnatiahotel@yahoo.gr,26510-25667,26510-75060,Ιωάννινα,ΔΑΓΚΛΗ 2  &  ΑΡΑΒΑΝΤΙΝΟΥ,454 44,26510-24886,,
ΕΓΝΑΤΙΑ,"


1.5 Χλμ
",3,www.hotelegnatia.gr,info@hotelegnatia.gr,26560-41263,26560-41485,Μέτσοβο,ΤΟΣΙΤΣΑ 19,442 00,26560-41900,,
ΕΓΝΑΤΙΑ,"


1 Χλμ
",1,,gianlam@otenet.gr,26650-23455,2665021229,Ηγουμενίτσα,ΕΛΕΥΘΕΡΙΑΣ 2,461 00,2665025789,,
ΕΛ ΓΚΡΕΚΟ,"


5 Χλμ
",2,,,2651041142,,Ιωάννινα,ΤΣΙΡΙΓΩΤΗ 8,454 44,,,
ΕΛ ΓΚΡΕΚΟ,"


0.5 Χλμ
",2,www.el-greco.gr,info@el-greco.gr,26650-22245,26650-25073,Ηγουμενίτσα,ΕΘΝ.ΑΝΤΙΣΤΑΣΕΩΣ 86,461 00,26650-25070,,
ΕΛΑΤΟΦΙΛΗΤΟ,"


5 Χλμ
",2,,hotelelatofilito@gmail.com,26850-22979,,Αθαμάνιο,ΑΘΑΜΑΝΙΟ ΑΡΤΑΣ,471 00,,,
ΕΛΕΑΤΑΝ,"


4 Χλμ
",2,http://www.eleatan.gr/,eleatan@yahoo.gr,26660-23019,26660-29187,Χρυσαυγή,,462 00,2666025050,,
ΕΛΕΑΤΙΣ ΡΗΖΟΡΤ,,3,https://eleatis.wordpress.com,empeiria.perdika@gmail.com,26650-94256,,Μαργαρίτι,ΜΑΡΓΑΡΙΤΙ,460 30,,,
ΕΛΕΝΑ,,2,,vangelis1957@yahoo.gr,26650-93525,26650-93528,Σύβοτα,ΣΥΒΟΤΑ ΘΕΣΠΡΩΤΙΑ,461 00,,,
ΕΛΕΝΗ,,2,www.hotelparadies-eleni.com,info@hotelparadise-eleni.com,26840-41167,26840-41634,Αμμουδιά,,480 62,,,
ΕΛΙΝΑ,"


45 Χλμ
",3,,info@hotel-elina.gr,26650-91558,26650-91203,Καραβοστάσι,ΚΑΡΑΒΟΣΤΑΣΙ ΠΕΡΔ.ΘΕΣΠΡΩΤ.,460 30,091559,2665-091698,2665-091696
ΕΛΛΑΣ,"


12 Χλμ
",1,http://www.tzovarashotel.gr/el/,info@tzovarashotel.gr,26650-93227,,Σύβοτα,ΣΥΒΟΤΑ ΘΕΣΠΡΩΤΙΑΣ,461 00,,2665-093227,2665-093294
ΕΛΛΟΠΙΑ ΠΟΪΝΤ,,3,https://ellopiapoint.gr/,info@ellopiapoint.gr,2651094554,2651094560,Ιωάννινα,ΠΕΔΙΝΗ ΣΤΕΦΑΝΟΥ ΜΠΑΛΤΟΓΙΑΝΝΗ 12,45500,6937779686,,
ΕΛΠΙΣ,"


2.5 Χλμ
",1,,,26510-26209,,Ιωάννινα,ΝΕΟΠΤΟΛΕΜΟΥ 10,454 44,,,
ΕΝ ΧΩΡΑ ΒΕΖΙΤΣΑ,"


35 Χλμ
",2,www.vezitsa-zagori.com,info@vezitsa-zagori.com,26530-71449,26530-71564,Βίτσα,,440 07,2651038091,,
ΕΝΕΤΙΚΟ,,4,www.enetikoresort.com,enetico@otenet.gr,2684032900,2684032901,Πάργα,ΡΗΓΑ ΦΕΡΡΑΙΟΥ,48060,,6946502742,
ΕΞΟΧΗ,"


3 Χλμ
",3,www.hotel-exohi.gr,info@hotel-exohi.gr,26510-81160,26510-81061,Πέραμα,ΠΕΡΑΜΑ ΙΩΑΝΝΙΝΩΝ,455 00,,,
ΕΣΕΝΣ,,4,www.essencehotel.gr,info@essencehotel.gr,2651023999,2651023001,Ιωάννινα,,455 00,,,
ΕΣΠΕΡΑΝΤΖΑ,"


13 Χλμ
",3,www.hotelesperanza.gr,info@hotelesperanza.gr,26820-51451,26820-51060,Κανάλι,,481 00,,,
ΕΥΗ,"


24 Χλμ
",1,,,26650-93307,,Σύβοτα,ΣΥΒΟΤΑ ΘΕΣΠΡΩΤΙΑΣ,461 00,26650-93488,2665-093307,2665-093127
ΕΦΥΡΑ,"


0.5 Χλμ
",1,,,26840-22128,,Καναλλάκι,ΠΕΝΤΕΛΕΗΜΩΝΟΣ 6,480 62,,,
ΖΑΓΟΡΙ ΣΟΥΙΤΕΣ,,4,www.zagorisuites.gr,info@zagorisuites.gr,2653071076,,Βίτσα,,440 07,,,
ΖΑΓΟΡΙΟΥ ΦΙΛΟΞΕΝΙΑ,"


10 Χλμ
",3,www.zagoriphiloxenia.gr,info@zagoriphiloxenia.gr,26530-71040,26530-71049,Μονοδένδρι,ΜΟΝΟΔΕΝΤΡΙ ΙΩΑΝΝΙΝΩΝ,440 07,,,
ΖΕΦΗ,"


24 Χλμ
",3,www.hotelzefi.com,info@hotelzefi.com,26650-93470,26620-32253,Σύβοτα,ΣΥΒΟΤΑ ΘΕΣΠΡΩΤΙΑΣ,461 00,2665093054,6973-282641,2662-032253
ΖΗΚΑΣ,"


0.02 Χλμ
",3,www.zikashotel.gr,enjoy@zikashotel.gr,26820-27505,26820-27509,Πρέβεζα,ΣΕΛΕΥΚΕΙΑΣ 47,481 00,,,
ΖΗΣΗΣ,"


0.1 Χλμ
",2,www.zissishotel.com,info@zissishotel.com,26530-41147,,Αρίστη,ΑΡΙΣΤΗ ΖΑΓΟΡΙΟΥ,440 04,26530-41088,2651-075114,2651-022607
Η ΓΚΟΥΡΑ,,3,,,26510-53622,,Συρράκο,,440 01,,,
Η ΘΕΑΣΗ,,3,www.theviewhotel.gr,info@theviewhotel.gr,2665091121,,Πέρδικα,,46100,,,
Η ΛΙΜΝΗ,,5,www.thelakehotel.gr,info@thelakehotel.gr,26510241000,,Ιωάννινα,ΑΧΕΡΟΝΤΟΣ 4,45445,,,
ΗΛΙΑΣ,,2,,,26530-41880,,Αρίστη,ΑΡΙΣΤΗ ΖΑΓΟΡΙΟΥ ΙΩΑΝΝΙΝΩΝ,440 07,,,
ΗΛΙΟΒΑΣΙΛΕΜΑ,"


3 Χλμ
",2,www.iliovasilema-preveza.gr,iliovasilema.preveza@gmail.com,26820-41868,,Μύτικας,ΜΥΤΙΚΑΣ ΠΡΕΒΕΖΗΣ,481 00,6946512844,,
ΗΛΙΟΒΑΣΙΛΕΜΑ,,4,,info@epirokatac.gr,2651075515,,Ηγουμενίτσα,,46100,,,
ΗΠΕΙΡΟΣ ΠΑΛΛΑΣ,"


1 Χλμ
",5,www.epiruspalace.gr,info@epiruspalace.gr,26510-93555,26510-92595,Ιωάννινα,7 ΧΛΜ Ε.Ο.ΑΘΗΝ.-ΙΩΑΝΝ.,452 21,,,
ΗΡΑΚΛΗΣ,"


7 Χλμ
",2,,iraklishotel@yahoo.com,26820-42008,26820-42009,Μύτικας,,481 00,,,
ΘΑΛΑΣΣΑ ΙΟΝΙΟΥ,,2,,,26650-91305,,Πέρδικα,,460 30,26650-91720,,
ΘΕΑΣΙΣ ΠΑΡΑΜΥΘΙΑ,,4,,info@theasishotel.gr,26660-29229,26660-29222,Παραμυθιά,ΚΑΡΑΜΑΝΛΗ 169,462 00,,,
ΘΟΥΚΥΔΙΔΗΣ,"


7 Χλμ
",4,www.thoukididis.gr,joannasterna@yahoo.gr,6979-983798,,Καπέσοβο,ΚΑΠΕΣΟΒΟ ΖΑΓΟΡΙΟΥ,440 18,26510-33570,,
ΙΖΟΛΑ ΒΕΡΝΤΕ,,4,,isolaverde.sivota@gmail.com,2665 440940,,Σύβοτα,,46100,,,
ΙΛΙΑΝΑ,"


0.1 Χλμ
",3,www.hoteliliana.gr,info@hoteliliana.gr,26830-23511,26830-22530,Φιλιππιάδα,28ΗΣ ΟΚΤΩΒΡΙΟΥ 1,482 00,,,
ΙΟΝΙΑΝ ΘΕΟΞΕΝΙΑ,,4,,ion.theoxenia@gmail.com,26820-51860,,Κανάλι,ΠΑΡΑΛΙΑ ΚΑΝΑΛΙΟΥ,471 00,,,
ΙΟΝΙΟ ΣΙ,"


7 Χλμ
",4,,,26650-91720,26650-91690,Καραβοστάσι,ΚΑΡΑΒΟΣΤΑΣΙ ΘΕΣΠΡΩΤΙΑΣ,461 00,,2665-091069,2665-091069
ΙΟΝΙΟΝ,"


0.1 Χλμ
",2,,basiliskatsanos2@yahoo.gr,26650-93636,26650-93366,Σύβοτα,ΣΥΒΟΤΑ,461 00,,,
ΙΟΝΙΟΝ ΣΤΑΡ,,4,http://ionionstarhotel.gr,info@ionionstarhotel.gr,26820-89112,26820-89115,Πρέβεζα,ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ ΛΕΥΚΑΔΙΤΙΚΑ,481 00,,,
ΙΤΣ ΚΑΛΕ,,3,itskale-hotel.gr,welcome@itskale-hotel.gr,2651044727,2651032707,Ιωάννινα,ΑΝΔΡ. ΠΑΛΑΙΟΛΟΓΟΥ,45221,,,
ΚΑΙΣΑΡΕΙΑ,,4,https://hotelcezaria.com/,cezaria07@hotmail.com,26510-93661,26510-93662,Νεοκαισάρεια,ΝΕΟΚΑΙΣΑΡΕΙΑ ΙΩΑΝΝΙΝΩΝ,455 00,26510-93400,,
ΚΑΙΤΗ,,2,www.epirus.com/hotelkaiti,kleonikipapakosta@gmail.com,26530-41118,26530-41422,Πάπιγκο,ΠΑΠΙΓΚΟ ΙΩΑΝΝΙΝΩΝ,440 04,,,
ΚΑΛΑΜΙΤΣΙ,"


3 Χλμ
",3,www.kalamitsihotel.gr,ntolazas@otenet.gr,26820-25445,26820-29976,Πρέβεζα,ΠΡΕΒΕΖΑ,481 00,,,
ΚΑΛΑΡΗ,,5,,,000-0000000,,Ιωάννινα,ΚΑΛΑΡΗ 21,454 44,,,
ΚΑΛΛΙΘΕΑ,"


20 Χλμ
",2,,,26580-22933,,Ζίτσα,,440 03,,,
ΚΑΛΛΙΟΠΗ,,3,https://kalliopismelathron.gr,kalliopismelathron@gmail.com,2104617038,,Δαφνωτή,,47046,,,
ΚΑΛΥΨΩ,"


0.6 Χλμ
",1,www.hotel-rezi.gr,hotelrezi@otenet.gr,26840-31316,26840-31627,Πάργα,ΑΓΙΟΥ ΑΘΑΝΑΣΙΟΥ 1,480 60,26840-31417,2684-031968,2684-031627
ΚΑΜΑΡΕΣ,"


3 Χλμ
",3,www.hotelkamares.gr,info@hotelkamares.gr,26510-79348,26510-79432,Ιωάννινα,ΖΑΛΟΚΩΣΤΑ 74,452 21,26510-79448,,
ΚΑΝΑΛΙ ΜΠΗΤΣ ΟΤΕΛ,"


15 Χλμ
",3,www.hotelkanali.gr,info@hotelkanali.gr,26820-51100,26820-51115,Κανάλι,Τ.Θ.80,481 00,26820-52312,2682-051100,2682-051115
ΚΑΡΑΒΟΣΤΑΣΙ ΜΠΗΤΣ,"


5 Χλμ
",3,www.hotel-karavostasi.gr,karavostasi@hotmail.com,26650-91104,26650-91568,Καραβοστάσι,ΠΕΡΔΙΚΑ,460 30,26650-91569,,
ΚΑΣΣΑΡΟΣ,"


1 Χλμ
",2,www.hotelkassaros.gr,hotel@kassaros.gr,26560-41662,26560-41262,Μέτσοβο,Τ.ΤΖΟΥΜΑΚΑ 6,442 00,26560-41346,,
ΚΑΣΣΙΩΠΗ,"


15 Χλμ
",2,hotelkassopi.gr,kassopihotel@gmail.com,26820-51501,26820-51822,Καστροσυκιά,ΚΑΣΤΡΟΣΥΚΙΑ ΠΡΕΒΕΖΗΣ,481 00,,2682-051501,2682-051822
ΚΑΣΤΑΝΙΑΝΗ,,2,,,26550-31700,,Καστανιά,ΚΑΣΤΑΝΕΑ ΚΟΝΙΤΣΑΣ,451 00,26550-31237,,
ΚΑΣΤΡΟ,"


4 Χλμ
",3,www.hotelkastro.gr,info@hotelkastro.gr,2651022866,26510-22780,Ιωάννινα,ΑΝΔΡ.ΠΑΛΑΙΟΛΟΓΟΥ 57,452 21,,2651024687,
ΚΑΣΤΡΟ,"


2 Χλμ
",2,,kastro.preveza@gmail.com,26820-27745,26820-27745,Πρέβεζα,ΑΓΙΟΥ ΓΕΩΡΓΙΟΥ 54,481 00,,,
ΚΑΤΑΦΥΓΙΟ,,4,,retreat.generalmanager@neilson.com,26650-93270,26650-97517,Σύβοτα,ΣΥΒΩΤΑ ΘΕΣΠΡΩΤΙΑΣ,461 00,26650-93119,,
ΚΑΤΕΡΙΝΑ,"


1 Χλμ
",2,www.katerina-hotel.gr,info@katerina-hotel.gr,26820-51051,26820-51052,Κανάλι,ΠΑΡΑΛΙΑ ΚΑΝΑΛΙΟΥ ΠΡΕΒΕΖΗΣ,481 00,26820-51897,2682-026468,2682-026820
ΚΑΤΩ ΜΑΧΑΛΑΣ,"


8 Χλμ
",3,www.katomachalas.gr,info@katomachalas.gr,26510-72287,,Δικόρυφο,ΙΩΑΝΝΙΝΩΝ,440 07,,,
ΚΑΤΩΓΙ,"


1 Χλμ
",4,www.katogiaveroffhotel.gr,hotel@katogiaveroff.gr,26560-42505,26560-42397,Μέτσοβο,ΜΕΤΣΟΒΟ ΙΩΑΝΝΙΝΩΝ,442 00,,,
ΚΕΝΤΡΙΚΟΝ,"


1 Χλμ
",4,www.hotel-kentrikon.gr,info@hotel-kentrikon.gr,26510-71771,26510-71945,Ιωάννινα,ΚΩΛΕΤΗ 5Α,454 44,,,
ΚΗΠΟΙ ΑΓΓΕΛΩΝ,"


38 Χλμ
",4,www.aggelon-kipi.gr,contact@aggelon-kipi.gr,26530-71080,26510-73265,Κήποι,ΚΗΠΟΙ ΖΑΓΟΡΙΟΥ ΙΩΑΝΝΙΝΩΝ,440 04,26530-71410,,
ΚΗΠΟΙ ΣΟΥΙΤΕΣ,,4,,kipisuites@ariahotels.gr,26530-71995,,Κήποι,ΚΗΠΟΙ ΖΑΓΟΡΙΟΥ ΙΩΑΝΝΙΝΩΝ,440 10,,,
ΚΛΕΟΠΑΤΡΑ,"


3 Χλμ
",2,www.hotel-kleopatra.eu,cleopatra.axeron@gmail.com,26660-49003,26660-49002,Γλυκή,,460 31,26660-41492,2666-049003,2666-049002
ΚΟΛΠΟΣ ΤΗΣ ΑΜΜΟΥ,"


15 Χλμ
",3,www.ammosbay.eu,info@ammosbay.eu,26840-41182,26840-41119,Αμμουδιά,ΑΜΜΟΥΔΙΑ ΠΡΕΒΕΖΗΣ,480 62,6945-631762,0049-7116079313,
ΚΟΝΑΚΙ,"


15 Χλμ
",3,,,26510-71567,,Νεοχώρι,,455 00,6944642848,,
ΚΟΡΑΛΛΙ,,4,www.corallihotel.gr,corallihotel@otenet.gr,26650-91380,26650-91378,Καραβοστάσι,ΚΑΡΑΒΟΣΤΑΣΙ ΠΕΡΔΙΚΑΣ ΘΕΣΠΡΩΤΙΑΣ,461 00,,,
ΚΟΡΕΣ,,5,www.koreshotel.gr,info@koreshotel.gr,2653071888,2653071888,Βίτσα,ΒΙΤΣΑ ΖΑΓΟΡΙΟΥ,44007,,2651117077,2651073863
ΚΟΣΤΑ ΣΜΕΡΑΛΔΑ,,4,http://costasmeralda.gr,info@costasmeralda.gr,2665093493,2665093446,Σύβοτα,,46100,,,
ΚΟΤΡΙΖΑ,"


1.5 Χλμ
",2,,info@filiates.gr,26640-22522,26640-22667,Φιλιάτες,,461 00,,,
ΚΟΥΡΟΣ,"


20 Χλμ
",2,www.kouroshotel.eu,info@kouroshotel.eu,26820-56192,26820-56193,Βράχος,,481 00,6946387293,2684-051672,
ΚΟΦΕΡΙΤΑ,,3,www.koferitahotel.gr,koferitahotel@gmail.com,2659063909,,Μελισσουργοί,,471 31,,,
ΚΡΙΚΩΝΗΣ,"


0.5 Χλμ
",3,www.krikonis-hotel.gr,tkrikonis@yahoo.gr,26510-44633,26510-45437,Ιωάννινα,ΛΕΩΦ.Σ.ΝΙΑΡΧΟΥ 10,455 00,26510-44634,,
ΚΡΟΝΟΣ,"


0.2 Χλμ
",3,www.hotelcronos.gr,hotelcronos@gmail.com,26810-22211,26810-73795,Άρτα,ΑΡΤΑ,471 00,26810-22212,,
ΚΩΝΣΤΑΝΤΙΝΟΥ ΚΑΙ ΕΛΕΝΗΣ,,2,,m_tsouri@hotmail.com,26530-71328,,Μονοδένδρι,ΜΟΝΟΔΕΝΤΡΙ ΙΩΑΝΝΙΝΩΝ,440 07,,,
ΚΩΣΤΑΝΑ,,2,,,26640-22585,,Μηλέα,,440 17,,,
ΛΑ ΣΟΥΙΤ,,4,,lpapagelis@yahoo.gr,6944898374,,Αμφιθέα,ΑΡΓΥΡΙΝΩΝ 18,45500,,,
ΛΑΚΚΑΣ,"


0.2 Χλμ
",2,,,26510-81741,26510-81942,Πέραμα,ΤΕΡΜΑ 25ΗΣ ΜΑΡΤΙΟΥ 46,455 00,,,
ΛΑΚΜΟΣ,,3,www.lakmos.gr,info@lakmos.gr,26510-53444,,Προσήλιο,ΠΡΟΣΗΛΙΟ,440 01,6947835952,2651053444,
ΛΕΪΚΣΠΙΡΙΤ,,4,www.lakespirit.gr,info@lakespirit.gr,2651025250,,Ιωάννινα,ΧΑΤΖΗΠΕΛΛΕΡΕΝ  3Α,45221,,,
ΛΙΘΟΧΤΙΣΤΟ,"


0.3 Χλμ
",3,www.lithoktisto.gr,lithoxtisto@gmail.com,6978-885565,26550-22112,Κόνιτσα,,441 00,26550-22687,,
ΛΟΝΓΚ ΣΑΜΜΕΡ,,3,,gogolosioannis@gmail.com,26650-93260,26650-93261,Σύβοτα,ΣΥΒΩΤΑ ΘΕΣΠΡΩΤΙΑΣ,461 00,26650-93276,,
ΛΟΥΚΑΣ,"


30 Χλμ
",2,www.hotelloukas.gr,info@hotelloukas.gr,26820-56166,26820-56618,Βράχος,ΠΑΡΑΛΙΑ ΒΡΑΧΟΥ ΠΡΕΒΕΖΑΣ,480 62,,26820-56166,26820-56618
ΛΟΦΟΣ ΦΡΟΝΤΖΟΥ,"


2 Χλμ
",4,www.frontzupolitia.gr,info@frontzupolitia.gr,26510-21011,26510-21012,Ιωάννινα,ΛΟΦΟΣ ΑΓΙΑΣ ΤΡΙΑΔΟΣ,445 33,,,
ΛΩΤΟΣ ΦΑΡΜ,,4,,lotosfarm@yahoo.com,2655022436,2104015615,Κόνιτσα,,44100,6346861331,,
ΜΑΓΔΑ,"


0.5 Χλμ
",2,www.magdas-apartments.parga.com,magdas@otenet.gr,6979989615,26840-31690,Πάργα,ΣΠ.ΛΙΒΑΔΑ 47,480 60,26840-31728,6979-989617,2684-031690
ΜΑΪ ΣΟΥΙΤ,,3,,nikostsovilis@hotmail.com,6946658503,,Πάργα,,48060,,,
ΜΑΪΣΤΡΑΛΙ,,2,https://hotelmaistrali.gr,info@hotelmaistrali.gr,2684031275,2684032885,Πάργα,ΡΗΓΑ ΦΕΡΑΙΟΥ 4,48060,2684032565,,
ΜΑΟΥΝΤΓΚΡΕΪΣ ΣΟΥΙΤΕΣ,,4,,gontos@otenet.gr,2651039605,2651039544,Μονοδένδρι,,44007,,,
ΜΑΟΥΝΤΕΝ ΡΙΖΟΡΤ,"


48 Χλμ
",4,www.aristi.eu,info@aristi.eu,26530-41330,26530-41311,Αρίστη,ΑΡΙΣΤΗ ΙΩΑΝΝΙΝΩΝ,440 10,,,
ΜΑΡΑΘΙΑ,,3,,k.karapanos10@gmail.com,2681085197,,Βλαχέρνα,,48200,,,
ΜΑΡΓΑΡΙΤΑ,,2,Www.hotel-margarita.gr,margaritahotelparga@yahoo.gr,6942800131,,Πάργα,ΠΑΡΓΑ ΠΡΕΒΕΖΗΣ,480 60,,6942800131,
ΜΑΡΓΑΡΩΝΑ,"


0.5 Χλμ
",3,www.amaliahotels.com,amalia@amaliahotels.com,26820-24360/3,26820-24369,Πρέβεζα,ΠΡΕΒΕΖΑ,481 00,,,
ΜΑΡΙΑ,"


1 Χλμ
",2,www.wix.com/hotelmarimetsovo/marihotel,hotelmarimetsovo@gmail.com,26560-41451,26560-41595,Μέτσοβο,ΜΕΤΣΟΒΟ,442 00,,,
ΜΑΡΜΠΕΛΑ ΕΛΙΞ,"


5 Χλμ
",5,,,26650-97200,26650-91118,Πέρδικα,,461 00,,,2665-091118
ΜΑΡΟΥΣΙΩ,"


20 Χλμ
",2,www.marousio.gr,mariapap@otenet.gr,26830-71131,26830-22901,Ροδαυγή,,470 46,26830-22685,,
ΜΑΣΤ,,3,www.musthotel.gr,info@musthotel.gr,2682052221,2682052221,Κανάλι,,48100,6980726807,2682052221,2682052221
ΜΑΤΖΑΤΟ,,2,,hotelmatzato@gmail.com,26530-71997,26530-71997,Μονοδένδρι,,440 07,,,
ΜΕΓΑ ΑΜΜΟΣ,"


25 Χλμ
",3,www.hotel-megaammos.gr,ma@hotel-megaammos.gr,26650-93447,26650-93305,Σύβοτα,ΣΥΒΟΤΑ ΘΕΣΠΡΩΤΙΑΣ,461 00,26650-93552,21-07299360,
ΜΕΓΑΛΟ ΔΑΣΟΣ ΜΕΤΣΟΒΟ,,5,www.grand-forest.gr,info@grand-forest.gr,26560-29001,,Μέτσοβο,ΜΕΤΣΟΒΟ,442 00,26560-29002,,
ΜΕΛΙΝΑ,,2,,johndervas@gmail.com,26530-71674,,Κήποι,ΚΗΠΟΙ ΖΑΓΟΡΙΟΥ ΙΩΑΝΝΙΝΩΝ,440 10,26530-71125,,
ΜΕΛΙΤΕΙΟΝ,"


30 Χλμ
",2,,nikiferendinou@gmail.com,26530-22659,26530-22659,Ασπράγγελοι,ΑΣΠΡΑΓΓΕΛΟΙ ΖΑΓΟΡΙΟΥ ΙΩΑΝΝΙΝΩΝ,440 07,6946-473284,,
ΜΕΣΟΓΕΙΟΣ 2000,"


20 Χλμ
",3,www.hotel-mesogeios.com,mesogeios2000@yahoo.gr,26820-56124,26820-56121,Λυγιά,,480 62,,231-0465113,231-0465113
