Όνομα,Απόσταση από νοσοκομείο,Αστέρια,Ιστοσελίδα,E-Mail,Τηλέφωνο,Αριθμός Φαξ,Πόλη,Διεύθυνση,Ταχυδρομικός Κώδικας,Εναλλακτικό Τηλέφωνο,Εναλλακτικό Φαξ,Τηλέφωνο 2
ΑΡΧΟΝΤΙΚΟ ΡΕΠΑΝΑ,"


3 Χλμ
",4,,repanaki@gmail.com,24280-99067,24280-99548,Μακρινίτσα,ΜΑΚΡΥΝΙΤΣΑ ΠΗΛΙΟΥ,370 11,,,
ΑΡΧΟΝΤΙΚΟ ΣΑΚΑΛΗ,"


23 Χλμ
",5,www.sakalihotel.gr,info@sakalihotel.gr,24230-86560,210-4615765,Πινακάτες,ΠΙΝΑΚΑΤΕΣ ΒΟΛΟΥ,370 10,6932-429150,21-04615765,210-9657584
ΑΡΧΟΝΤΙΚΟ ΣΑΛΤΗ,"


6 Χλμ
",3,www.arhontikasalti.com,info@arhontikasalti.com,24280-99873,24280-99873,Μακρινίτσα,,370 11,,,
ΑΡΧΟΝΤΙΚΟ ΣΑΝΤΙΚΟΣ,"


1.5 Χλμ
",4,www.santikosmansion.com,nikos.santikos@santikoscollection.com,2424065212,24230-86045,Βυζίτσα,ΒΥΖΙΤΣΑ ΠΗΛΙΟΥ,370 10,,,
ΑΡΧΟΝΤΙΚΟ ΣΑΡΑΤΣΗ,,3,,info@saratsi.gr,2421023748,2421023747,Ανακασιά,,38500,2421023748,2421023747,
ΑΡΧΟΝΤΙΚΟ ΣΙΣΙΛΙΑΝΟΥ,"


0.01 Χλμ
",5,www.arhontiko-sisilianou.gr,sisilianou@gmail.com,24280-99556,24280-99958,Μακρινίτσα,ΜΑΚΡΥΝΙΤΣΑ ΠΗΛΙΟΥ,370 11,,,
ΑΡΧΟΝΤΙΚΟ ΣΤΑΜΟΥ,"


0.03 Χλμ
",4,www.stamouhotel.com,stamouhotel@gmail.com,24260-23880,24260-23881,Ζαγορά,ΖΑΓΟΡΑ ΜΑΓΝΗΣΙΑΣ,370 01,,,
ΑΡΧΟΝΤΙΚΟ ΤΑΦΥΛΛΗ 1891,,4,,,24210-49844,,Ιωλκός,ΑΓΙΑ ΤΡΙΑΔΑ ΙΩΛΚΟΥ ΒΟΛΟΥ,385 00,,,
ΑΡΧΟΝΤΙΚΟ ΤΕΡΠΟΥ,"


15 Χλμ
",4,,fidodido2233@gmail.com,2428093000,,Άγιος Βλάσιος,ΑΓΙΟΣ ΒΛΑΣΙΟΣ ΜΑΓΝΗΣΙΑΣ,385 00,,,
ΑΡΧΟΝΤΙΚΟ ΤΗΣ ΜΕΛΛΙΩΣ,,4,www.archontikomellio.com,zopas.alex@gmail.com,24280-96292,24280-96292,Άγιος Λαυρέντιος,ΑΓΙΟΣ ΛΑΥΡΕΝΤΙΟΣ ΜΑΓΝΗΣΙΑΣ,383 00,,,
ΑΡΧΟΝΤΙΚΟ ΤΣΑΚΝΑΚΗ-ΜΑΝΩΛΙΑ,"


12 Χλμ
",4,www.archontiko-tsaknaki.gr,archontikotsaknaki@gmail.com,24280-93517,24280-93517,Άνω Λεχώνια,ΑΡΤΕΜΙΔΑ ΜΑΓΝΗΣΙΑΣ,373 00,,,6974232583
ΑΡΧΟΝΤΙΚΟ ΤΣΙΜΠΩΝΗ,"


0.5 Χλμ
",2,www.arhontiko-tsimponi.gr,arhontikotsimponi@gmail.com,24340-71300,24340-71300,Ελάτη,ΕΛΑΤΗ ΤΡΙΚΑΛΩΝ,420 32,,,24340-71422
ΑΡΧΟΝΤΙΚΟ ΤΣΟΠΕΛΑ,,4,,,24270-23773,,Σκιάθος,ΦΙΛΟΚΛΕΟΥΣ ΓΕΩΡΓΙΑΔΟΥ,370 02,6982850201,,
ΑΡΧΟΝΤΙΚΟ ΦΙΛΙΠΠΙΔΗ,"


0.1 Χλμ
",4,,foitoulas@gmail.com,24230-22937,,Μηλιές,ΜΗΛΙΕΣ ΠΗΛΙΟΥ,370 10,,,24230-86204
ΑΡΧΟΝΤΙΚΟ ΧΑΤΖΗΓΑΚΗ,"


15 Χλμ
",5,www.chatzigaki.gr,info@chatzigaki.gr,6982299742,24340-91166,Περτούλι,ΠΕΡΤΟΥΛΙ ΤΡΙΚΑΛΩΝ,420 32,6982299742,24310-26633,24340-91147
ΑΡΧΟΝΤΙΚΟ ΧΡΙΣΤΟΔΟΥΛΟΥ,,2,,arhontikochristodoulou@yahoo.gr,24340-71771,,Βροντερό,,420 32,2434071771,,6974723442
ΑΡΧΟΝΤΙΚΟΝ ΕΛΛΗΝΟΠΥΡΓΟΥ,"


15 Χλμ
",5,www.xenonas-archontikon.gr,info@xenonas-archontikon.gr,24410-33000,24410-33034,Μουζάκι,ΕΛΛΗΝΟΠΥΡΓΟΣ,430 60,,,
ΑΣΚΟΥΡΙΣ,,2,,,24950-96300,,Καλλιπεύκη,,400 04,,,
ΑΣΤΕΡΑΣ,"


1 Χλμ
",3,www.asterashotel.gr,asterashotellarisa@gmail.com,2410-534772/5,2410-536414,Λάρισα,ΚΟΥΜΑ  &  ΑΣΚΛΗΠΙΟΥ 22,412 22,,,
ΑΣΤΟΡΙΑ,"


7 Χλμ
",2,www.astoriahotel.gr,info@astoriahotel.gr,24270-49385,24270-49361,Σκιάθος,ΣΚΙΑΘΟΣ,370 02,6974-399703,,24270-49386
ΑΣΤΡΟΒΟΛΙΑ,"


35 Χλμ
",3,www.astrovolia.com,fptravel@otenet.gr,24320-41435,2103637639,Χρυσομηλιά,ΧΡΥΣΟΜΗΛΙΑ ΤΡΙΚΑΛΩΝ,421 00,2103628836,2103637639,
ΑΣΤΡΟΜΕΡΙΑ,,3,www.astromeria-hotel.gr,info@astromeria-hotel.gr,2426032085,2310900390,Μακρυρράχη,,37001,,,
ΑΣΤΡΟΝ,"


1 Χλμ
",2,,astronkarditsa@yahoo.com,24410-23552,24410-23551,Καρδίτσα,ΙΕΖΕΚΙΗΛ 47,431 00,,,24410-23553
ΑΤΛΑΝΤΙΚ,"


0.5 Χλμ
",2,,tkalyvas@yahoo.com,2410-287711,2410-230022,Λάρισα,ΑΛ. ΠΑΝΑΓΟΥΛΗ 1  &  ΚΥΠΡΟΥ,412 23,,,2410-287714
ΑΤΡΑΠΟΣ,"


0.05 Χλμ
",2,www.atrapos-pelion.com,info@atrapos-pelion.com,24260-31291,24260-32182,Κισσός,,370 12,,,
ΑΥΡΑ,"


0.5 Χλμ
",2,www.myavra.gr,avradulac@yahoo.gr,24410-21523,24410-72144,Καρδίτσα,ΚΑΡΑΙΣΚΑΚΗ 42,431 00,,,24410-40863
ΑΥΡΑ,"


1 Χλμ
",2,,avravolos@yahoo.gr,24210-25370,24210-28980,Βόλος,ΣΟΛΩΝΟΣ 5,383 33,2421025370,,24210-76550
ΑΥΡΑ,"


0.2 Χλμ
",2,,,24240-33550,,Γλώσσα,ΛΟΥΤΡΑΚΙ,370 04,231-0303464,231-0326300,24240-33526
ΑΥΣΤΡΑΛΙΑ,"


0.3 Χλμ
",1,,costas2007@yahoo.gr,24270-22488,24270-22086,Σκιάθος,ΣΚΙΑΘΟΣ,370 02,,,
ΑΦΗΣΣΟΣ,"


23 Χλμ
",2,,vassoafissos@hotmail.com,24230-33438,24230-33438,Άφυσσος,ΑΦΗΣΣΟΣ ΠΗΛΙΟΥ,370 10,2421-055670,2421-055670,
ΑΦΟΙ ΜΠΑΚΟΥ,"


0.1 Χλμ
",2,,mpakouhotel@hotmail.com,24340-71208,24340-71248,Ελάτη,ΕΛΑΤΗ ΤΡΙΚΑΛΩΝ,420 32,,,
ΑΦΡΟΔΙΤΗ,"


11 Χλμ
",3,www.afroditehotel.gr,info@afroditehotel.gr,24240-23150,24240-23152,Πάνορμος,ΠΑΝΟΡΜΟΣ ΣΚΟΠΕΛΟΥ,370 03,2424-023151,2424-023152,24240-23622
ΑΧΕΛΩΟΣ,"


0.05 Χλμ
",1,,nikolosia@yahoo.gr,24340-31490,,Μεσοχώρα,ΜΕΣΟΧΩΡΑ ΤΡΙΚΑΛΩΝ,420 37,,,6974711075
ΑΧΙΛΛΕΙΟΝ,"


1 Χλμ
",3,achillion.rphotels.gr,achillion@rphotels.gr,24310-28192,24310-74858,Τρίκαλα,ΑΣΚΛΗΠΙΟΥ 2,421 00,,,
ΑΧΙΛΛΕΙΟΝ,"


0.5 Χλμ
",2,www.achilliohotel.gr,info@achilliohotel.gr,2410 537401,2410-536328,Λάρισα,ΚΕΝΤΡΑΥΡΩΝ 10,412 22,,,2410 537402
ΒΑΛΕΝΗ,"


2 Χλμ
",4,www.valeni.gr,info@valeni.gr,24280-90206,24280-90205,Πορταριά,ΠΟΡΤΑΡΙΑ ΜΑΓΝΗΣΙΑΣ,370 11,,,2428090207
ΒΑΛΙΣ,"


5 Χλμ
",4,www.valisresort.gr,gs@valisresort.gr,24280-97260,24280-97200,Αγριά,ΑΓΡΙΑ ΒΟΛΟΥ,373 00,,,2428097261
ΒΑΛΙΣ ΔΥΟ,"


5 Χλμ
",5,www.valisresort.gr,info@valisresort.gr,24280-97260,24280-97200,Αγριά,ΑΓΡΙΑ ΜΑΓΝΗΣΙΑΣ,373 00,,,
ΒΑΡΒΑΡΑ,"


6 Χλμ
",2,www.hotelbarbara.gr,hotelbarbara@gmail.com,24280-92367,24280-92367,Αγριά,ΛΑΜΠΗ 22,373 00,,,
ΒΑΣΙΛΗΑΣ ΜΠΗΤΣ,"


2.5 Χλμ
",2,http://vassiliasbeachhotel.gr,info@vassiliasbeachhotel.gr,24270-22003,24270-22526,Σκιάθος,ΣΚΙΑΘΟΣ,370 02,2427-022003,2427-022526,24270-22235
ΒΑΣΙΛΙΑΣ,"


1 Χλμ
",2,www.kinghotel.gr,info@kinghotel.gr,24323-00619,24323-00619,Καλαμπάκα,ΤΡΙΚΑΛΩΝ 97,422 00,24323-00619,24323-00619,24320-23250
ΒΙΚΤΩΡΙΑ,"


0.5 Χλμ
",1,www.hotelvictoriakalanera.com,hotelvictoriakalanera@gmail.com,2423022219,2423022615,Καλά Νερά,ΚΑΛΑ ΝΕΡΑ ΜΑΓΝΗΣΙΑΣ,370 10,2423022219,2423022615,2423022219
ΒΙΛΛΑ ΑΛΕΞΗΣ,"


1 Χλμ
",2,www.villaalexis.com,iliopoulosalexander@gmail.com,24270-23058,210-3606674,Σκιάθος,ΦΤΕΛΙΑ,370 02,21-03605948,21-03606674,2103606674
ΒΙΛΛΑ ΖΑΧΑΡΩ,"


8 Χλμ
",1,www.villazaharo.gr,villazaharo@gmail.com,24270-49275,24270-49597,Σκιάθος,ΤΡΟΥΛΟΣ ΣΚΙΑΘΟΥ,370 02,2427024545,,
ΒΙΛΛΑ ΤΩΝ ΡΟΔΩΝ,"


0.2 Χλμ
",2,www.villatonrodon.gr,info@villatonrodon.gr,24260-49340,24260-49667,Τσαγκαράδα,ΤΣΑΓΚΑΡΑΔΑ ΠΗΛΙΟΥ,370 12,,,24260-49667
ΒΛΑΣΣΗΣ,"


48 Χλμ
",3,www.hotelvlassis.gr,hotelvlassis@gmail.com,24950-91301,24950-91351,Στόμιο,ΣΤΟΜΙΟ ΛΑΡΙΣΑΣ,400 07,6944715323,2310-424448,24950-91198
ΒΟΛΟΣ ΠΑΛΛΑΣ,"


3 Χλμ
",4,www.volospalace.gr,info@volospalace.gr,24210-76501/5,24210-76507,Βόλος,ΞΕΝΟΦΩΝΤΑΣ  &  ΘΡΑΚΩΝ,383 33,,,
ΒΟΝΤΖΟΣ,"


3.5 Χλμ
",2,www.hotelvontzos.gr,email@hotelvontzos.gr,24270-22875,24270-21285,Σκιάθος,ΑΧΛΑΔΙΕΣ,370 02,,,24270-22326
ΒΟΤΣΑΛΑ,"


8 Χλμ
",2,www.hotel-votsala.gr,hotel.votsala@gmail.com,24260-22001,24260-22001,Χορευτό,ΧΟΡΕΥΤΟ ΠΗΛΙΟΥ,370 01,2426022001,2426022001,
ΒΡΥΩΝΗΣ,"


16 Χλμ
",2,www.hotelvrionis.com,hotelvrionis@gmail.com,2426031301,2426031301,Άγιος Δημήτριος,ΑΓΙΟΣ ΔΗΜΗΤΡΙΟΣ ΠΗΛΙΟΥ,370 12,,,
Γ.Ρ. ΛΟΥΙΣ ΛΑΡΙΣΑΣ,"


1 Χλμ
",2,,,2410-535024,,Λάρισα,ΣΟΥΤΣΟΥ 1,412 22,,,2410-535025
ΓΑΙΑ,"


10 Χλμ
",4,,,24280-99190,,Μακρινίτσα,ΠΑΝΑΓΙΑ ΜΑΚΡΙΝΙΤΣΑΣ ΜΑΓΝΗΣΙΑΣ,370 11,,,
ΓΑΛΑΖΙΟΣ ΚΟΛΠΟΣ,"


10 Χλμ
",2,,eredi@eredi.gr,24230-65327,24230-65327,Μηλίνα,ΜΗΛΙΝΑ ΜΑΓΝΗΣΙΑΣ,370 13,21-06105871,21-06105871,24230-65825
ΓΑΛΑΞΙΑΣ,"


0.5 Χλμ
",2,http://galaxykalampaka.gr,galaxykalampaka@gmail.com,24320-23233,24320-23029,Καλαμπάκα,ΧΑΤΖΗΠΕΤΡΟΥ 23,422 00,,,2432023022
ΓΑΛΑΤΕΙΑ,"


6 Χλμ
",2,www.trikeri-galatia.gr,,24230-55505,,Παλαιό Τρίκερι,ΝΗΣΙ ΠΑΛΙΟ ΤΡΙΚΕΡΙ,370 09,2421-071521,2421-045084,24230-55233
ΓΑΛΗΝΗ,"


8 Χλμ
",2,,,24260-31234,24260-31177,Άγιος Ιωάννης Μουρεσίου,,370 12,2421-034206,2421-035030,
ΓΑΛΗΝΗ,,2,,meropi.andreou73@gmail.com,24230-33214,24230-33544,Άφυσσος,ΑΦΗΣΟΣ ΜΑΓΝΗΣΙΑΣ,370 10,2421-020537,,24230-33292
ΓΑΛΗΝΗ,"


0.5 Χλμ
",3,,dili1@live.com,24270-21772,24270-23495,Σκιάθος,ΦΤΕΛΙΑ ΣΚΙΑΘΟΥ,370 02,2427-021772,,
ΓΑΛΛΙΑ,,2,www.hotelfrance.gr,france_h@otenet.gr,24320-24186,24320-75186,Καστράκι,ΚΑΣΤΡΑΚΙ ΚΑΛΑΜΠΑΚΑΣ,422 00,,,
ΓΕΩΡΓΙΟΣ Λ.,"


0.5 Χλμ
",1,http://georgios.skopelos-hotels.gr/,popiskopelos17@yahoo.gr,2424023010,24240-24625,Σκόπελος,ΣΚΟΠΕΛΟΣ,370 03,2424-023565,,
ΓΗ ΤΟΥ ΟΛΥΜΠΟΥ,,4,,info@olympus-terra.gr,2410593939,2410539938,Γιάννουλη,ΠΑΠΑΓΟΥ  36,41500,,,2414409700
ΓΙΑΛΗΣ,"


1.5 Χλμ
",4,www.yalishotel.gr,info@yalishotel.gr,24240-66186,24240-65019,Βότση,ΑΛΟΝΝΗΣΟΣ,370 05,21-06613061,21-06611371,
ΓΙΑΜΑΝΔΕΣ,"


0.5 Χλμ
",3,www.giamandes.gr,giamandeshotel@gmail.com,2434071749,24340-71497,Ελάτη,ΕΛΑΤΗ ΤΡΙΚΑΛΩΝ,420 32,,,2434071750
ΓΙΟΥΛΗ,"


0.05 Χλμ
",2,www.giouli-hotel.gr,info@giouli-hotel.gr,24950-92102,24950-92192,Κόκκινο Νερό,ΚΟΚΚΙΝΟ ΝΕΡΟ ΛΑΡΙΣΑΣ,400 07,,,24950-92288
ΓΙΟΥΛΙ,"


5 Χλμ
",1,,xbounova@hotmail.com,6974827416,24210-88278,Βόλος,ΑΝΤΙΓΟΝΗΣ 5,383 34,2421050243,,6986900553
ΓΚΑΛΕΡΙ,,4,www.galleryarthotel.gr,info@galleryarthotel.gr,24310-63990,24310-63993,Ριζαρειό,ΠΕΡΙΦ/ΚΗ ΟΔΟΣ ΛΑΡΙΣΗΣ-ΚΑΡΔΙΤΣΑΣ,421 00,,,
ΓΚΛΟΡΙΟΥΣ ΠΗΛΕΥΣ ΚΑΣΤΛ,"


2 Χλμ
",5,www.gloriouspeleys.com,gloriouspeleys@yahoo.gr,24230-86671,24230-86611,Βυζίτσα,ΒΥΖΙΤΣΑ ΠΗΛΙΟΥ,370 10,,,24230-86611
ΓΚΟΓΚΟΣ,,3,www.hotelgogos.com,hotelgogos@gmail.com,24320-77914,24320-77913,Καστράκι,,422 00,,,
ΓΚΟΛΝΤΕΝ ΣΑΝ – ΧΡΥΣΑΦΕΝΙΟΣ ΗΛΙΟΣ,"


2 Χλμ
",3,www.goldensunhotel.eu,info@goldensunhotel.eu,24950-97255,24950-97220,Νέα Μεσάγκαλα,ΜΕΣΑΓΓΑΛΑ ΑΙΓΑΝΗΣ ΛΑΡΙΣΗΣ,400 07,,,24950-97681
ΓΚΡΑΝΤ ΜΕΤΕΩΡΑ,,4,www.grandmeteora.gr,info@grandmeteora.gr,2432077707,2432077445,Καστράκι,,42200,,,
ΓΚΡΑΝΤ ΟΤΕΛ,"


1 Χλμ
",3,grandhotel.focusgreece.gr,ghlar79@otenet.gr,2410-257711/6,2410-257888,Λάρισα,Β.ΚΩΝ/ΝΟΥ 29 & ΠΑΠΑΚΥΡΙΑΖΗ,412 22,,,
ΓΟΡΓΟΝΑ,"


5 Χλμ
",1,,voulgari.eleftheria@yahoo.gr,24210-88514,,Βόλος,ΝΕΕΣ ΠΑΓΑΣΕΣ ΒΟΛΟΥ,385 00,,,6942239679
ΓΟΡΓΟΝΑ,"


0.3 Χλμ
",2,www.gorgona.gr,info@gorgona.gr,24240-65317,24240-65629,Πατητήρι,ΡΟΥΣΟΥΜ ΓΙΑΛΟΣ ΑΛΟΝΝΗΣΟΥ,370 05,2424-065317,2424-065629,
ΔΑΦΝΗ,"


0.6 Χλμ
",4,www.dafnihotel.gr,thegal@otenet.gr,24270-29164,24270-23233,Σκιάθος,ΜΕΓΑΛΗ ΑΜΜΟΣ ΣΚΙΑΘΟΥ,370 02,24270-23233,24270-23233,6945854598
ΔΕΛΦΙΝΙ,"


0.2 Χλμ
",2,www.hoteldolphin.gr,info@hoteldolphin.gr,24240-23018,24240-23016,Σκόπελος,ΧΩΡΑ ΣΚΟΠΕΛΟΥ,370 03,2424-023015,2424-023016,24240-23015
ΔΕΛΦΟΙ,"


22 Χλμ
",2,hoteldelphi.gr,delphiclub_elios@yahoo.com,24240-33788,24240-33171,Νέο Κλήμα,ΝΕΟ ΚΛΗΜΑ ΣΚΟΠΕΛΟΥ,370 03,2424-033788,2424-033171,24240-33301
ΔΕΣΠΟΤΙΚΟ,"


0.2 Χλμ
",4,www.despotiko.gr,info@despotiko.gr,24280-99046,24280-99600,Πορταριά,ΠΟΡΤΑΡΙΑ ΠΗΛΙΟΥ,370 11,2428-099046,,24280-99042
ΔΕΣΠΟΤΙΚΟ 1,,4,www.despotiko.gr,info@despotiko.gr,24280-99042,24280-99600,Πορταριά,ΠΟΡΤΑΡΙΑ ΜΑΓΝΗΣΙΑΣ,370 11,,,
ΔΕΥΚΑΛΙΩΝ,"


0.2 Χλμ
",2,,hotel.defkalion@gmail.com,24210-46509,24210-46468,Άλλη Μεριά,ΑΛΛΗ ΜΕΡΙΑ ΒΟΛΟΥ,385 00,,,24210-46468
ΔΗΜΟΚΡΙΤΟΣ,"


13 Χλμ
",2,,georgomanou@yahoo.gr,24340-71891,,Καλόγηροι,,420 32,,,
ΔΗΜΟΥΛΑ,"


0.5 Χλμ
",2,www.hoteldimoula.gr,hdimoula@otenet.gr,24230-22245,24230-22645,Καλά Νερά,ΣΤΑΓΟΠΟΥΛΟΥ 10,370 10,2421-055664,2423-022645,24230-22645
ΔΙΑΚΟΠΕΣ ΔΙΠΛΩΜΑΤΩΝ,"


4 Χλμ
",2,www.diplomatsholidays.com,info@diplomatsholidays.com,24230-65497,24230-65195,Χόρτο,ΧΟΡΤΟ ΜΑΓΝΗΣΙΑΣ,370 06,210-6921115,210-6921115,24230-65697
ΔΙΒΑΝΗ ΠΑΛΛΑΣ,"


1 Χλμ
",5,www.divanis.gr,divanis@divanilarissa.gr,2410252791-5,2410549480,Λάρισα,ΠΑΠΑΝΑΣΤΑΣΙΟΥ ΑΛ.19,412 22,21-09280100,21-09214993,
ΔΙΒΑΝΙ,"


1 Χλμ
",4,www.divanis.gr,divanis@divanimeteora.gr,24320-23330,24320-23638,Καλαμπάκα,ΤΡΙΚΑΛΩΝ-ΚΑΛΑΜΠΑΚΑΣ,422 00,21-09280100,21-09214993,23637
ΔΙΕΘΝΕΣ,"


2 Χλμ
",1,,papaef.kostas@yahoo.gr,2410-234210,2410-234210,Λάρισα,ΚΩΝΣΤΑΝΤΙΝΟΥ ΠΑΛΑΙΟΛΟΓΟΥ 8,412 23,,,2410-282749
ΔΙΟΓΕΝΗΣ,"


2 Χλμ
",2,Diogenishoteltsagarada.gr,diogenishotel@gmail.com,24260-49519,24260-49612,Τσαγκαράδα,ΤΣΑΓΚΑΡΑΔΑ ΠΗΛΙΟΥ,370 12,2421-059762,,24260-49611
ΔΙΟΝΥΣΟΣ,"


0.5 Χλμ
",3,www.dionissoshotel.gr,info@dionissoshotel.gr,2410-230101/4,2410-282930,Λάρισα,Λ.ΚΑΤΣΩΝΗ 24,412 23,,,2410550560
ΔΙΟΝΥΣΟΣ,"


0.3 Χλμ
",3,www.dionyssoshotel.gr,res@dionyssoshotel.gri,24240 23210,,Σκόπελος,ΣΚΟΠΕΛΟΣ,370 03,6943904708,,
ΔΟΛΟΠΙΑ,"


0.3 Χλμ
",3,www.dolopia.gr,mail@dolopia.gr,24430-71247,24430-71247,Ρεντίνα,,430 68,,,6972289620
ΔΡΥΑΔΕΣ,,2,www.driadeshotel.com,driadeshotel.info@gmail.com,24340-71275,2434071275,Ελάτη,,420 32,,,
ΔΡΥΑΔΕΣ,"


0.1 Χλμ
",3,www.hoteldryades.gr,info@hoteldryades.gr,24280-96246,24280-96100,Άγιος Λαυρέντιος,,373 00,,,24280-96110
ΔΡΥΑΛΟΣ,"


0.5 Χλμ
",3,www.dryalos.gr,info@dryalos.gr,24230 86690,24230-86693,Μηλιές,ΜΗΛΙΕΣ ΜΑΓΝΗΣΙΑΣ,370 10,6974479339,2423086690,2423086925
ΔΩΔΕΚΑ ΜΗΝΕΣ ΠΟΛΥΤΕΛΕΣ ΚΑΤΑΛΥΜΑ,"


20 Χλμ
",5,www.12hotel.gr,12hotel@12hotel.gr,2426048894,24260-48896,Τσαγκαράδα,ΤΣΑΓΚΑΡΑΔΑ,370 12,2426048894,2426048896,2426048895
ΕΔΕΜ,"


30 Χλμ
",2,https://edenpelion.com/,edenhotel@outlook.com.gr,24260-31160,24260-31560,Ανήλιο,,370 01,,,24260-31163
ΕΛ – ΓΚΡΕΚΟ,,0,,hostelgreco@gmail.com,6997158446,,Καλαμπάκα,Σιδηροδρόμου 5-7,42200,,,
ΕΛΕΑΝΑ,"


7 Χλμ
",2,www.eleana-marina.gr,info@eleana-marina.gr,24260-31097,24260-31097,Άγιος Ιωάννης Μουρεσίου,ΑΓ.ΙΩΑΝΝΗΣ ΠΗΛΙΟΥ,370 12,2421-060704,,24260-32150
ΕΛΕΝΑ,,2,www.helena.gr,info@helena.gr,2410-287461,2410-287463,Λάρισα,28ΗΣ ΟΚΤΩΒΡΙΟΥ 13,412 23,,,2410-287463
ΕΛΕΝΑ,"


0.35 Χλμ
",1,www.hotelelena-kalanera.gr,vaitsiskostas@yahoo.com,24230-22296,,Καλά Νερά,ΚΑΛΑ ΝΕΡΑ ΜΑΓΝΗΣΙΑΣ,370 10,,,
ΕΛΕΝΗ,"


0.5 Χλμ
",1,,elenihotel@yahoo.gr,24240-22393,24240-22936,Σκόπελος,ΣΚΟΠΕΛΟΣ,370 03,2424-022179,2424-022936,24240-22936
ΕΛΙΒΙ ΣΚΙΑΘΟΣ,"


13 Χλμ
",5,www.elivihotels.com,info@elivihotels.com,2427440913,,Κουκουναριές-Μάραθα,,370 02,2463025222,,2463025222
ΕΛΙΟΣ ΧΟΛΙΝΤΕΪΣ ΧΟΤΕΛ,"


18 Χλμ
",3,www.eliosholidayshotel.gr,v.spyrou@skopeloshotels.eu,24240-22230,24240-33140,Κλήμα,ΚΛΗΜΑ ΣΚΟΠΕΛΟΥ,370 03,210-6919111,210-6910463,
ΕΛΛΗ,"


0.1 Χλμ
",2,www.elliskopelos.gr,info@elliskopelos.com,24240-22943,2421030207,Σκόπελος,ΣΚΟΠΕΛΟΣ,370 03,2421030200,2421030207,
ΕΛΣΑ,"


0.8 Χλμ
",2,,elsazebeki@hotmail.gr,24270-21271,,Σκιάθος,,370 02,2427-024429,2421-038364,24270-22689
ΕΛΥΤΗΣ,"


9 Χλμ
",2,,elitispotistika@gmail.com,24230-54482,24230-54482,Ποτιστικά,ΠΟΤΙΣΤΙΚΑ ΞΥΝΟΒΡΥΣΗΣ ΜΑΓΝ,370 06,,,
ΕΜΥ,"


2 Χλμ
",2,www.emyhotel.gr,thegal@otenet.gr,24270-24119,24270-24118,Σκιάθος,ΑΓ.ΓΕΩΡΓΙΟΣ,370 02,21-06393784,21-06002732,24270-22259
ΕΝ ΚΙΣΣΩ 1753,"


0.05 Χλμ
",4,www.atrapos-pelion.com,info@atrapos-pelion.com,24260-31291,24260-32182,Κισσός,ΚΙΣΣΟΣ ΜΑΓΝΗΣΙΑΣ,370 12,,,
ΕΝΑΛΙΟΝ,,2,www.enalion.gr,info@enalion.gr,24230-23285,24230-23203,Καλά Νερά,,370 10,,,
ΕΝΝΕΑ ΛΙΟΝΤΑΡΙΑ,"


55 Χλμ
",3,www.lionsnine.gr,lionsnine@pelionhotel.gr,24260-49500,24260-49500,Μουρέσι,ΜΟΥΡΕΣΙ ΜΑΓΝΗΣΙΑΣ,370 12,6936031234,24260-49500,6976533976
ΕΝΤΕΛΒΑΙΣ,"


1 Χλμ
",3,www.hotel-edelweiss.gr,info@hotel-edelweiss.gr,24320-23966,24320-24733,Καλαμπάκα,ΚΑΛΑΜΠΑΚΑ ΤΡΙΚΑΛΩΝ,422 00,,,24320-24918
ΕΠΑΥΛΙΣ,"


0.8 Χλμ
",3,www.hotel-epavlis.gr,nspiros@otenet.gr,24320-24830,24320-24830,Καλαμπάκα,ΚΟΥΜΑΡΙΕΣ ΚΑΛΑΜΠΑΚΑΣ,422 00,,,
ΕΡΑΤΩ,"


8 Χλμ
",2,"www,erato-pelion.gr",mariarinou@hotmail.com,24260-22445,24260-22445,Χορευτό,ΧΟΡΕΥΤΟ ΠΗΛΙΟΥ ΜΑΓΝΗΣΙΑΣ,370 01,2421-034531,,
ΕΡΜΗΣ,"


8 Χλμ
",2,www.pelionhermes.gr,hotel.hermes@gmail.com,24260-22771,24260-23213,Χορευτό,ΧΟΡΕΥΤΟ ΖΑΓΟΡΑΣ ΠΗΛΙΟΥ,370 01,,,24260-23072
ΕΡΜΗΣ,"


7 Χλμ
",2,www.skiathoshermes.com,Skiathoshermeshotel@gmail.com,24270-49405,,Σκιάθος,ΤΖΑΝΕΡΙΑ,370 02,2427-021761,,2392021150
ΕΡΩΤΑΣ,,3,,pezaskostas@gmail.com,24260-31880,,Άγιος Δημήτριος,,370 12,,,
ΕΡΩΦΙΛΗ,"


12 Χλμ
",3,www.erofilipelion.gr,erofilihotel@gmail.com,24280-99916,24280-99956,Πορταριά,,370 11,,,24280-99936
ΕΣΠΕΡΙΔΕΣ,"


4 Χλμ
",4,www.esperidesbeach.gr,info@esperidesbeach.gr,24270-22245,24270-21580/1,Σκιάθος,ΑΧΛΑΔΙΕΣ ΣΚΙΑΘΟΥ,370 02,,,22535
ΕΣΠΕΡΟΣ,,2,Www.skiathosesperos.gr,hotelesperos@gmail.com,24270-49421,24270-49421,Σκιάθος,,370 02,2427-021050,,
ΕΣΤΙΑ,,2,,,24280-99880,,Πορταριά,,370 11,,,
