Όνομα,Απόσταση από νοσοκομείο,Αστέρια,Ιστοσελίδα,E-Mail,Τηλέφωνο,Τηλέφωνο 2,Πόλη,Διεύθυνση,Ταχυδρομικός Κώδικας,Αριθμός Φαξ,Εναλλακτικό Τηλέφωνο,Εναλλακτικό Φαξ
ΙΟΝΙΚΗ ΑΚΤΗ,"


12 Χλμ
",3,www.ionianbeach.gr,info@ionianbeach.gr,2693051300,,Λακκόπετρα,ΛΑΚΚΟΠΕΤΡΑ,252 00,26930-51184,21-02512358,21-02523702
ΙΟΝΙΟ ΜΠΗΤΣ,"


7 Χλμ
",3,www.ionion-hotel.gr,info@ionion-hotel.gr,26230-96001,26230-96400,Γλύφα,ΓΛΥΦΑ ΗΛΕΙΑΣ,270 50,26230-96007,2623-096001,2623-096007
ΙΟΝΙΟΝ,"


0.1 Χλμ
",2,www.hotelionion.gr,info@hotelionion.gr,26230-92234,,Κυλλήνη,ΚΥΛΛΗΝΗ,270 68,26230-92318,,
ΙΟΝΙΟΝ,"


7 Χλμ
",2,,ioniohotel@gmail.com,26210-41494,,Κατάκολο,ΚΑΤΑΚΟΛΟ ΗΛΕΙΑΣ,270 67,26210-41321,6932-591650,
ΙΟΝΙΟΝ ΣΗ,"


3 Χλμ
",2,,ioniosea@otenet.gr,26210-28828,26210-31574,Πύργος,4 ΕΟ ΠΥΡΓΟΥ ΠΑΤΡΩΝ,271 00,26210-26932,,
ΙΟΝΙΟΝ ΣΤΑΡ,,2,ionionstar.com,ionionstar@yahoo.gr,2625061886,6989442509,Κάτω Ταξιάρχες,,27054,,2625061886,
ΚΑΒΟ ΜΥΤΙΚΑΣ,"


0.4 Χλμ
",2,www.cavomytikas.gr,info@cavomytikas.gr,26460-81323,,Μύτικας,ΜΥΤΙΚΑΣ ΑΙΤΩΛ/ΝΙΑΣ,300 19,26460-81244,,
ΚΑΪΑΦΑΣ ΛΕΪΚ,"


2 Χλμ
",3,www.kaiafaslakehotel.gr,info@kaiafaslakehotel.gr,26250-32954,26250-33800,Καϊάφας,,270 54,26250-33800,6972-443737,2625-033800
ΚΑΛΑΒΡΥΤΑ ΚΑΝΥΟΝ,"


0.5 Χλμ
",4,www.kalavritacanyon.gr,info@kalavritacanyon.gr,26920-22004,,Καλάβρυτα,ΕΘΝΙΚΗΣ ΑΝΤΙΣΤΑΣΕΩΣ & ΣΚΑΛΤΣΑ,250 01,26920-24305,,
ΚΑΛΛΙΡΡΟΗ,"


0.1 Χλμ
",3,www.kallirroehotel.gr,info@kallirroehotel.gr,2610-990255,2610-993372,Ρίο,ΑΘΗΝΩΝ 67Α,265 00,2610-995458,,
ΚΑΝΕΛΛΗ,"


6 Χλμ
",3,www.hotelkanelli.gr,info@hotelkanelli.gr,26910-72442,26910-72213,Σελιανίτικα,ΣΕΛΙΑΝΙΤΙΚΑ ΑΙΓΙΟΥ,251 00,26910-72442,,
ΚΑΝΝΑΒΕΙΚΟ,"


0.3 Χλμ
",2,www.kannaveiko.gr,info@kannaveiko.gr,26340-41077,,Άνω Χώρα,,300 23,26340-26233,,
ΚΑΡΑΜΕΡΟΣ,,3,,karameroshotel@outlook.com,2624041111,2624041226,Λάλας,,27066,,,
ΚΑΣΤΕΛΟ,"


0.4 Χλμ
",3,www.castellohotel.gr,castellopatra@gmail.com,2610-992957,2610-992986,Ρίο,ΡΙΟ ΠΑΤΡΩΝ,265 00,2610-992986,,
ΚΑΣΤΕΛΟ ΣΙΤΥ,,3,,castellocitypatra@gmail.com,2610252000,,Πάτρα,ΑΓ. ΑΝΔΡΕΟΥ  118,26221,,,
ΚΑΣΤΡΑΚΙ,,3,www.kastrakivillage.gr,info@kastrakivillage.gr,26410-98351,,Καστράκι,ΚΑΣΤΡΑΚΙ ΑΙΤ/ΝΙΑΣ,301 00,,,
ΚΑΣΤΡΟ ΘΕΡΕΤΡΟ,"


2.5 Χλμ
",4,www.castleresort.gr,info@castleresort.gr,26920-24556,,Καλάβρυτα,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ,250 01,26920-29089,,
ΚΕΔΡΟΣ,,3,www.kedroskalavrita.gr,soukasand@yahoo.gr,26920-24004,,Σκεπαστό,,250 01,,,
ΚΛΕΟΠΑΤΡΑ,,3,,savoulaz@gmail.com,26430-81300,,Περατιά,,300 12,,,
ΚΟΡΑΛΙ ΘΕΡΕΤΡΟ,,3,http://corali-club.gr/,corali.luxury.resort@gmail.com,2641050885,,Παναιτώλιο,6ο χιλ. ε.ο. Αγρινίου - Μεσολογγίου,301 31,2641050400,,
ΚΡΟΝΙΟΝ,"


0.4 Χλμ
",3,www.hotelkronio.gr,hotelkronio@hotmail.com,26240-22188,26240-29022,Αρχαία Ολυμπία,ΤΣΟΥΡΕΚΑ 1,270 65,26240-22502,2624-022188,2624-022502
ΚΥΑΝΗ ΑΚΤΗ,"


7 Χλμ
",1,www.kianiakti.gr,info@kianiakti.gr,26910-72555,26910-72655,Σελιανίτικα,ΣΕΛΙΑΝΙΤΙΚΑ ΑΙΓΙΟΥ,251 00,26910-72655,,
ΚΥΜΑΤΑ,"


0.3 Χλμ
",1,,,26460-81311,,Μύτικας,,300 19,,,
ΚΥΝΑΙΘΑ,"


0.1 Χλμ
",3,www.kynaitha.gr,kynaitha@otenet.gr,26920-22609,,Καλάβρυτα,ΕΘΝ.ΑΝΤΙΣΤΑΣΕΩΣ 11,250 01,26920-24568,,
ΚΥΠΡΙΩΤΗΣ,"


7 Χλμ
",2,,konstkip78@hotmail.com,26230-96165,,Λυγιά,ΛΥΓΙΑ-ΒΑΡΘΟΛΟΜΙΟΥ-ΗΛΕΙΑΣ,270 50,2623096165,6948049352,
ΚΩΝΣΤΑΝΤΙΝΟΣ ΠΑΛΑΙΟΛΟΓΟΣ,"


0.01 Χλμ
",4,www.byzantino-hotel.gr,info@byzantino-hotel.gr,2610-243000/2,,Πάτρα,ΓΕΡΟΚΩΣΤΟΠΟΥΛΟΥ 20,262 21,2610-622150,,
ΛΑΛΑΣ ΒΙΛΑΤΖ,,3,,lalasvillage@gmail.com,26240-41270,,Λάλας,ΛΑΛΑ ΗΛΕΙΑΣ,270 66,26240-41270,,
ΛΑΜΠΕΙΑ ΟΡΗ,"


65 Χλμ
",2,www.lampeia-ori.gr,info@lampeia-ori.gr,2624081323,,Λάμπεια,ΛΑΜΠΕΙΑ ΗΛΕΙΑΣ,270 63,,2104974528,
ΛΑΠΙΘΑ,"


7 Χλμ
",1,www.kaiafas.com,info@kaiafas.com,26250-32252,26250-32234,Καϊάφας,ΖΑΧΑΡΩ ΗΛΕΙΑΣ,270 54,26250-32252,,
ΛΕΜΟΝΙΕΣ,"


15 Χλμ
",1,,hotel_lemonies@yahoo.gr,26910-41229,,Διακοπτό,ΔΙΑΚΟΠΤΟ ΑΙΓΙΑΛΕΙΑΣ,250 03,,,
ΛΕΤΡΙΝΑ,"


1 Χλμ
",3,,hotelletrina@gmail.com,26210-25150,33644,Πύργος,ΜΗΤΡΟΠΟΛΙΤΟΥ ΑΝΤΩΝΙΟΥ 74,271 00,26210-33664,,
ΛΗΔΑ,"


1.5 Χλμ
",2,www.hotellida.com,hotellida@gmail.com,26920-24784,,Καλάβρυτα,,250 01,26920-24786,,
ΛΗΤΩ,"


1 Χλμ
",2,https://leto-hotel.gr/,leto-hotel@across.gr,26410-23043,2310476131,Αγρίνιο,ΠΛΑΤΕΙΑ ΔΗΜΟΚΡΑΤΙΑΣ 7,301 00,26410-39071,2310476131,2310476132
ΛΙΝΤΖΙ,"


12 Χλμ
",2,www.lintzi.gr,mdionisios@yahoo.gr,6945775401,2623096483,Αρκούδι,ΑΡΚΟΥΔΙ ΛΥΓΙΑΣ ΗΛΙΑΣ,270 50,26230-96119,2623-096120,2623-096119
ΜΑΚΡΑ ΑΚΤΗ -ΛΟΝΓΚ ΜΠΗΤΣ,"


7 Χλμ
",4,www.longbeach.gr,drogalas@longbeach.gr,26910-72196,,Λόγγος,ΛΟΓΓΟΣ ΑΙΓΙΟΥ,250 09,26910-72373,2691-072197,2691-072196
ΜΑΡΕ ΝΤΕΪ,"


6 Χλμ
",4,www.maredei.gr,info@maredei.gr,26210-81119,,Λεβεντοχώρι,ΛΕΒΕΝΤΟΧΩΡΙ ΗΛΕΙΑΣ,271 00,,,
ΜΑΡΙ ΠΑΛΑΙ,"


1 Χλμ
",2,www.mariepalace.gr,mpalace1@otenet.gr,2610-331302,,Πάτρα,ΓΟΥΝΑΡΗ 6,262 22,2610-331346,,
ΜΑΡΙΛΗ,"


0.2 Χλμ
",2,www.hotelmarily.gr,info@hotelmarily.gr,26210-28133,26210-28134,Πύργος,ΔΕΛΗΓΙΑΝΝΗ  &  ΘΕΜΙΣΤΟΚΛ.,271 00,26210-27066,,
ΜΑΡΠΗΣΣΑ,,4,www.marpessa.gr,welcome@marpessa.gr,26410-47500,,Αγρίνιο,ΠΑΠΑΣΤΡΑΤΟΥ 76,30100,2641047552,,
ΜΕΛΑΜΠΟΥΣ,,3,,melampoushotel@gmail.com,26920-83444,,Κάτω Λουσοί,,250 01,,,
ΜΕΝΤΙΤΕΡΑΝΕ,"


3 Χλμ
",2,www.mediterranne.gr,info@mediterranee.gr,2610-279602,2610-279646,Πάτρα,ΑΓ.ΝΙΚΟΛΑΟΥ 18-Ρ.ΦΕΡΡΑΙΟΥ,262 21,2610-223327,,
ΜΙΚΡΗ ΑΡΧΟΝΤΙΣΣΑ,,3,www.vlasiahotel.gr,info@vlasiahotel.gr,26920-41003,,Άνω Βλασία,,250 13,,,
ΜΟΝΤ ΧΕΛΜΟΣ,"


0.2 Χλμ
",3,www.monthelmos.gr,mthelmos@otenet.gr,26920-31221,26920-31392,Κλειτορία,ΚΛΕΙΤΟΡΙΑ ΑΧΑΙΑΣ,250 07,26920-31859,,
ΜΟΞΥ ΠΑΤΡΑ ΜΑΡΙΝΑ,,3,https://www.marriott.com/hotels/travel/gpaox-moxy-patra-marina/,captain@moxypatra.com,2610-425494,2610-432098,Πάτρα,ΗΡΩΩΝ ΠΟΛΥΤΕΧΝΕΙΟΥ-ΚΥΠΡΟΥ,265 00,,,
ΜΠΕΛ ΜΑΡΕ,"


1 Χλμ
",2,,belmarevonitsa@yahoo.com,26430-22394,26430-22563,Βόνιτσα,,300 02,26430-22564,,
ΜΠΕΛΕΝΗΣ,"


7 Χλμ
",2,,pmilitsopoulos@gmail.com,26920-31831,26920-31688,Πλανητέρο,,250 07,26920-31835,,
ΜΠΡΑΤΗΣ,"


15 Χλμ
",2,www.brati-hotels.gr,info@brati-hotels.gr,26230-96350,26230-96451,Αρκούδι,ΑΡΚΟΥΔΙ ΒΑΡΘΟΛΟΜΙΟΥ ΗΛΕΙΑ,270 50,26230-96266,2623096350,2623096266
ΜΠΡΑΤΗΣ ΙΙ,"


15 Χλμ
",2,www.brati-hotels.gr,bratibeach@gmail.com,26230-96364,,Αρκούδι,ΑΡΚΟΥΔΙ ΛΥΓΙΑΣ ΗΛΕΙΑΣ,270 50,26230-96500,2623-041350,2623-096500
ΝΑΪΑΔΕΣ ΒΙΛΛΕΣ,,4,,naiades.villas@yahoo.gr,26930-22080,,Νιφοραίικα,ΝΙΦΟΡΑΙΙΚΑ ΑΧΑΙΑΣ,252 00,,,
ΝΑΥΜΑΧΙΑ ΤΗΣ ΝΑΥΠΑΚΤΟΥ,,3,,di.anagnostopoulos@gmail.com,6936182333,,Ναύπακτος,ΙΛΑΡΧΟΥ ΤΖΑΒΕΛΑ 37,30300,,,
ΝΑΥΠΑΚΤΟΣ,"


1 Χλμ
",3,www.hotelnafpaktos.gr,info@hotelnafpaktos.gr,26340-29551,26340-29552,Ναύπακτος,ΚΟΡΥΔΑΛΕΩΣ 4,303 00,26340-29553,,
ΝΑΥΣ,"


0.4 Χλμ
",3,www.nafshotel.gr,chrispasisis@yahoo.gr,26340-38216,,Ναύπακτος,ΑΘ.ΝΟΒΑ 33,303 00,26340-38217,,
ΝΕΑ ΕΥΡΩΠΗ,"


25 Χλμ
",4,www.hotesleuropa.gr,hoteleuropa@hoteleuropa.gr,26240-23850,26240-22650,Αρχαία Ολυμπία,ΑΡΧΑΙΑ ΟΛΥΜΠΙΑ ΗΛΕΙΑΣ,270 65,26240-23166,,
ΝΕΔΑ,"


0.2 Χλμ
",3,www.hotelneda.gr,info@hotelneda.gr,26240-22563,26240-22692,Αρχαία Ολυμπία,Κ.ΚΑΡΑΜΑΝΛΗ 1,270 65,26240-22206,,
ΝΕΣΤΩΡ,"


0.3 Χλμ
",2,,nestorhotelzacharo@hotmail.com,26250-31206,26250-32066,Ζαχάρω,ΣΙΔΗΡ.ΣΤΑΘΜΟΥ 7,270 54,26250-31206,2625031206,2625031206
ΝΙΚΗ,,1,www.hotelniki.gr,ntsarpalias@hotmail.com,26340-28901,26340-28902,Ναύπακτος,ΤΖΑΒΕΛΑ 67,303 00,26340-27262,,
ΝΙΦΟΡΕΙΚΑ ΑΚΤΗ,"


3 Χλμ
",3,www.niforeika-beach.gr,info@niforeika-beach.gr,26930-22539,26930-24539,Νιφοραίικα,ΘΑΛΑΣΣΑ ΝΙΦΟΡΕΙΚΩΝ ΑΧΑΙΑΣ,252 00,26930-22890,2693024539,2693022890
ΝΤΑΛΛΑΣ,,2,,,26440-51315,,Μυρτιά,ΚΑΤΩ ΜΥΡΤΙΑ ΘΕΡΜΟΥ,300 08,,,
ΝΤΟΥΓΚΑΣ,"


14 Χλμ
",2,www.hotel-dougas.com,info@hotel-dougas.com,26230-96432,,Αρκούδι,ΑΡΚΟΥΔΙ ΗΛΕΙΑΣ,270 50,26230-96126,,
ΞΕΝΙΑ,"


9 Χλμ
",2,,,26940-31240,26940-31378,Καλέντζι,ΕΡΥΜΑΝΘΕΙΑ,250 15,26940-31240,2694-031240,
ΞΕΝΙΑ,"


1 Χλμ
",3,,,26340-22301,26340-22303,Ναύπακτος,ΝΑΥΠΑΚΤΟΣ,303 00,,,
ΞΕΝΙΟΣ,"


4 Χλμ
",3,www.anohora.com,info@anohora.com,6977574551,,Κάτω Χώρα,,300 23,26340-41112,2634041111,2634041112
ΞΕΝΟΔΟΧΕΙΟ ΟΛΥΜΠΙΑΚΟ ΧΩΡΙΟ,"


0.5 Χλμ
",4,www.olympicvillagehotel.com,htlolvil@otenet.gr,26240-22211,26240-22212,Αρχαία Ολυμπία,ΑΡΧΑΙΑ ΟΛΥΜΠΙΑ,270 65,26240-22812,,
Ο ΓΕΡΑΣΙΜΟΣ,"


17 Χλμ
",2,,ger_menidi@yahoo.gr,26810-88230,,Μενίδι,,300 16,26810-88170,,
Ο ΕΛΑΙΩΝΑΣ ΤΟΥ ΖΕΛΙΟΥ,"


20 Χλμ
",4,www.elaionaszeliou.gr,info@thermozel.gr,26340-45056,,Κάτω Καλαβρούζα,ΚΑΤΩ ΚΑΛΑΒΡΟΥΖΑ ΝΑΥΠΑΚΤΟΥ,300 14,26340-45055,,
Ο ΚΕΔΡΟΣ,,3,,,6979229304,,Άγιος Δημήτριος,,30022,,,
Ο ΠΥΡΓΟΣ ΤΗΣ ΖΑΡΟΥΧΛΑΣ,"


35 Χλμ
",4,www.pyrgoszarouhlas.gr,info@pyrgoszarouhlas.gr,26960-33934,210-6439488,Ζαρούχλα,ΖΑΡΟΥΧΛΑ ΚΑΛΑΒΡΥΤΩΝ,250 06,210-6440416,21-06439488,21-06440416
ΟΔΥΣΣΕΑΣ,"


9 Χλμ
",2,,hot_odys@otenet.gr,26210-42190,26210-41021,Κορακοχώρι,ΚΟΡΑΚΟΧΩΡΙ-ΠΥΡΓΟΥ ΗΛΕΙΑΣ,270 67,26210-42021,21-06022470,21-06022470
ΟΙΝΟΜΑΟΣ,,2,www.hotelinomaos.gr,,26240-22056,,Αρχαία Ολυμπία,ΑΡΧΑΙΑ ΟΛΥΜΠΙΑ,270 65,26240-22516,2624-022056,2624-022516
ΟΛΥΜΠΙΑ,"


7 Χλμ
",2,www.etad.gr,kaiafas@etasa.gr,26250-31710,26250-31707,Καϊάφας,ΚΑΙΑΦΑΣ,270 54,26250-31709,+302625031710,+3026250-31709
ΟΛΥΜΠΙΑ ΓΚΟΛΝΤΕΝ ΜΠΗΤΣ,"


10 Χλμ
",5,www.ogb.gr,andreas@ogb.gr,26230-95999,,Κάστρο,ΚΑΣΤΡΟ ΗΛΕΙΑΣ,270 50,26230-95003,,
ΟΛΥΜΠΙΑ ΠΑΛΛΑΣ,"


1 Χλμ
",4,www.olympia-palace.gr,olympiaplc@otenet.gr,26240-23101,,Αρχαία Ολυμπία,ΠΡΑΞΙΤΕΛΟΥΣ-ΚΟΝΔΥΛΗ,270 65,26240-22525,,
ΟΛΥΜΠΙΑ ΡΙΒΙΕΡΑ ΘΕΡΕΤΡΟ,"


15 Χλμ
",5,www.olympiarivierathalasso.com,reservations.or@grecotel.com,26230-64400,,Λουτρά Κυλλήνης,ΛΟΥΤΡΑ ΚΥΛΛΗΝΗΣ,270 50,26230-64550,,
ΟΛΥΜΠΙΑΚΗ ΔΑΔΑ,,2,www.olympic-torch.gr,info@olympic-torch.gr,26240-22668,26240-22568,Αρχαία Ολυμπία,ΠΡΑΞΗΤΕΛΟΥΣ ΚΟΝΔΙΛΗ 89,270 65,26240-23111,2624-022568,2624-023111
ΟΛΥΜΠΙΑΚΟ ΑΣΤΕΡΙ,"


1 Χλμ
",2,www.olympicstar.gr,info@olympicstar.gr,2610-622939,2610224103,Πάτρα,ΑΓΙΟΥ ΝΙΚΟΛΑΟΥ 46,265 00,2610243754,,
ΟΛΥΜΠΙΑΚΟ ΧΩΡΙΟ ΑΛΝΤΕΜΑΡ,"


13 Χλμ
",5,www.aldemarhotels.com,ov@aldemarhotels.com,26210-82000,,Σκαφιδιά,ΣΚΑΦΙΔΙΑ ΗΛΕΙΑΣ,271 00,26210-54647,210-6288402,26210-54647
ΟΛΥΜΠΙΚ ΙΝΝ-ΟΛΥΜΠΙΑΚΟ ΠΑΝΔΟΧΕΙΟ,"


0.7 Χλμ
",2,,olympicinnhotel@gmail.com,26220-23909,26220-28334,Αμαλιάδα,ΦΙΛΕΛΛΗΝΩΝ 10,272 00,26220-23910,,
ΟΛΥΜΠΙΟΝ ΑΣΤΥ,"


1 Χλμ
",4,www.olympionasty.gr,olasty@otenet.gr,26240-23665,26240-23667,Δρούβα,ΟΙΚΙΣΜΟΣ ΔΡΟΥΒΑ,270 65,26240-23123,6944684239,2624023123
ΟΛΥΜΠΙΟΣ ΖΕΥΣ,"


7 Χλμ
",3,www.olympioszeus.gr,reception@olympioszeus.gr,26920-22595,,Κάτω Ζαχλωρού,ΚΑΤΩ ΖΑΧΛΩΡΟΥ ΚΑΛΑΒΡΥΤΩΝ,250 01,,,
ΟΛΥΜΠΟΣ,"


0.5 Χλμ
",2,www.hotelolympos.gr,hotelolympos@otenet.gr,26210-33650,26210-33651,Πύργος,ΚΑΡΚΑΒΙΤΣΑ 2,271 00,26210-33652,,
ΟΡΕΙΑΔΕΣ,"


20 Χλμ
",4,www.oriades.gr,,26920-22184,,Βιλιβίνα,ΒΙΛΙΒΙΝΑ ΚΑΛΑΒΡΥΤΩΝ,250 01,,,
ΟΡΙΖΟΝΤΕΣ ΒΙΟΥ,"


12 Χλμ
",3,www.orizonteshotel.gr,info@orizonteshotel.gr,26210,26210-41910,Κατάκολο,ΚΑΤΑΚΟΛΟ ΗΛΕΙΑΣ,271 00,26210-41920,2621041910,2621041920
ΟΣΚΑΡ,"


0.8 Χλμ
",2,,info@agrinioimperial.gr,26420-22155,26420-22880,Αμφιλοχία,Ν.ΣΤΡΑΤΟΥ 6,305 00,26420-22867,,
ΟΣΤΡΙΑ ΚΑΚΟΒΑΤΟΣ,"


2 Χλμ
",3,www.ostria-kakovatos.gr,info@ostria-kakovatos.gr,26250-31964,6972008280,Κακόβατος,ΚΑΚΟΒΑΤΟΣ ΗΛΕΙΑΣ,270 54,26250-33464,,
ΠΑΛΑΙΡΟΣ,,3,,,26430-41891,26430-42103,Πάλαιρος,,300 12,,,
ΠΑΛΑΙΡΟΣ ΜΠΗΤΣ,"


1 Χλμ
",4,www.aktipalairos.gr,n.psichogiou@aktipalairos.gr,26430-41891,26430-41893,Πάλαιρος,,300 12,26430-41879,6978-112472,
ΠΑΝΑΓΙΩΤΗΣ,"


0.5 Χλμ
",2,,giorgosstamatelos@yahoo.gr,26910-71840,26910-71401,Σελιανίτικα,ΣΕΛΙΑΝΙΤΙΚΑ ΑΙΓΙΟΥ,251 00,26910-73373,,
ΠΑΝΘΕΟΝ,"


0.5 Χλμ
",2,www.pantheonpyrgos.gr,pantheonpurgos@gmail.com,26210-29746,2621029747,Πύργος,ΘΕΜΙΣΤΟΚΛΕΟΥΣ 15,271 00,26210-36791,,
ΠΑΝΟΡΑΜΑ,"


12 Χλμ
",2,www.greecepanorama.gr,greecepanorama@gmail.com,26910-41614,,Διακοπτό,ΔΙΑΚΟΠΤΟ ΑΙΓΙΟΥ,250 03,26910-41615,,
ΠΑΡΑΔΕΙΣΟΣ,"


15 Χλμ
",2,,info@killiniparadisehotel.com,26230-95209,6932464418,Κάστρο,ΚΑΣΤΡΟ ΚΥΛΛΗΝΗΣ,270 50,26230-95451,2623-095450,2623-095451
ΠΑΡΑΛΙΑ ΑΚΡΑΤΑΣ,"


2 Χλμ
",3,www.akratabeach.gr,hotel@akratabeach.gr,26960-31180,26960-31181,Ακράτα,ΑΚΡΑΤΑ ΑΙΓΙΑΛΕΙΑΣ,250 06,26960-31813,,
ΠΑΡΑΛΙΑ ΑΝΑΛΗΨΗΣ,"


14 Χλμ
",3,www.george-resort.com,george_resort@hotmail.com,26230-95045,6974-710318,Κυλλήνη,ΑΝΑΛΗΨΗ,270 50,26230-95045,2623-095376,
ΠΑΡΑΛΙΑΚΟ,"


12 Χλμ
",1,,gziogas@ymail.com,26250-32800,,Κακόβατος,,270 54,26250-32800,,
ΠΑΤΡΑ ΠΑΛΛΑΣ,,4,www.patraspalace.gr,info@patraspalace.gr,2610-623131,,Πάτρα,ΟΘΩΝΟΣ ΑΜΑΛΙΑΣ 15,262 23,2610-623972,,
ΠΑΥΛΙΝΑ,"


4.5 Χλμ
",4,www.pavlinahotel.gr,hpb@otenet.gr,26930-24040,023555,Νιφοραίικα,ΝΙΦΟΡΕΙΚΑ ΑΧΑΙΑΣ,252 00,26930-22020,,
ΠΕΛΟΨ,"


0.1 Χλμ
",2,www.hotelpelops.gr,hotelpelops@hotelpelops.gr,26240-22543,26240-22792,Αρχαία Ολυμπία,ΑΡΧΑΙΑ ΟΛΥΜΠΙΑ,270 65,26240-22213,,
ΠΗΓΑΣΟΣ,"


0.3 Χλμ
",2,,hotelpegasus@gmail.com,26430-23480,26430-23481,Βόνιτσα,ΒΟΝΙΤΣΑ ΑΙΤΩΛ/ΝΙΑΣ,300 02,26430-23482,,
ΠΗΝΕΛΟΠΗ,"


2 Χλμ
",2,,eleni.chrysikopoulou@gmail.com,26340-45493,26410-25534,Κάτω Βασιλική,,300 14,,,
ΠΛΑΖ,"


7 Χλμ
",2,www.hotelplaz.gr,info@hotelplaz.gr,26910-72206,26910-74150,Σελιανίτικα,ΣΕΛΙΑΝΙΤΙΚΑ ΑΙΓΙΟΥ,251 00,2691071917,,
ΠΛΑΖΑ,"


0.5 Χλμ
",2,www.plaza-hotel.gr,info@plaza-hotel.gr,26340-25256,26340-24246,Ναύπακτος,ΝΑΥΜΑΧΙΑΣ 37,303 00,26340-23174,6973-851983,
ΠΟΡΤΟ ΠΑΛΜΟΣ,"


7 Χλμ
",3,www.portopalmos.com,info@portopalmos.com,26430-41991,26430-41992,Βαρκό,ΒΑΡΚΟ ΠΟΓΩΝΙΑΣ ΑΙΤΩΛ/ΝΙΑΣ,300 12,26430-41993,,
ΠΟΡΤΟ ΡΙΟ,"


2 Χλμ
",4,www.portoriohotel.gr,info@portoriohotel.gr,2610-992102,2610-992212,Ρίο,ΡΙΟ ΠΑΤΡΩΝ,265 00,2610-992115,,
ΠΟΣΕΙΔΩΝ,"


0.1 Χλμ
",1,,pensionposidon@yahoo.gr,26240-22567,,Αρχαία Ολυμπία,ΑΡΧΑΙΑ ΟΛΥΜΠΙΑ,270 65,,,
ΠΟΣΕΙΔΩΝ,"


6 Χλμ
",3,www.poseidon-hotels.gr,info@poseidon-hotels.gr,2610-671602,2610-671624,Καμίνια,ΚΑΜΙΝΙΑ ΑΧΑΙΑΣ,250 02,2610-671646,,
ΠΟΣΕΙΔΩΝ ΠΑΛΛΑΣ,"


6 Χλμ
",4,www.poseidon-hotels.gr,kaperonis@poseidon-hotels.gr,2610-241313,,Καμίνια,ΚΑΜΙΝΙΑ ΠΑΤΡΩΝ,250 02,2610-241315,,
ΠΟΣΕΙΔΩΝ ΠΑΛΛΑΣ ΔΙΑΜΕΡΙΣΜΑΤΑ,,4,www.poseidon-hotels.gr,info@poseidon-hotels.gr,2610-241313,,Καμίνια,ΚΑΜΙΝΙΑ ΠΑΤΡΩΝ,250 02,2610-241315,,
ΠΡΑΣΙΝΟ ΣΤΗ ΘΑΛΑΣΣΑ,"


20 Χλμ
",3,www.verdealmare.gr,info@verdealmare.gr,26930-31111,26930-31750,Καλόγρια,,270 52,26930-31760,,
ΠΡΙΜΑΡΟΛΙΑ ΑΡΤ ΟΤΕΛ,"


1 Χλμ
",3,www.arthotel.gr,primarolia@arthotel.gr,2610-624900,,Πάτρα,ΟΘΩΝΟΣ-ΑΜΑΛΙΑΣ 33,262 21,2610-623559,,
ΡΕΞ,"


0.2 Χλμ
",3,,nadinax@gmail.com,26250-31221,26250-31275,Ζαχάρω,ΔΗΜΟΚΡΑΤΙΑΣ 10,270 54,26250-32035,,
ΡΙΟΝ ΜΠΗΤΣ,"


3 Χλμ
",2,,rionbeachhotel@gmail.com,2610-991421,2610-991269,Ρίο,ΑΚΤΗ ΠΟΣΕΙΔΩΝΟΣ 40,265 00,2610-991390,,
ΡΟΔΙΝΗ,"


9 Χλμ
",3,www.hotelrodini.gr,rodinhtl@otenet.gr,2610-931300,2610-931341,Κάτω Ροδινή,ΡΟΔΙΝΗ ΠΑΤΡΩΝ ΑΧΑΙΑΣ,265 00,2610-932077,,
ΡΟΜΑΝΤΖΟ,"


10 Χλμ
",1,,romantzozachlorou@hotmail.com,26920-22758,,Κάτω Ζαχλωρού,ΖΑΧΛΩΡΟΥ ΑΧΑΪΑΣ,250 01,26920-22758,,
ΡΟΜΠΙΝΣΟΝ ΚΛΑΜΠ ΚΥΛΛΗΝΗ ΜΠΙΤΣ,"


18 Χλμ
",4,www.robinson.com,kyllinibeach@robinson.com,26230-64001,26230-64002,Κάστρο,ΚΑΣΤΡΟ ΚΥΛΛΗΝΗΣ,270 50,26230-95411,,
ΣΗΜΑΝΤΡΟΝ,"


4 Χλμ
",4,https://semantron-hotel.gr,reception@semantron-hotel.gr,26910-44000,,Ελαιώνας,ΕΛΑΙΩΝΑΣ ΔΙΑΚΟΠΤΟΥ ΑΧΑΙΑΣ,250 03,26910-43838,6970-999030,
ΣΙΜΟΣ,"


0.1 Χλμ
",2,www.hotelsimos.com,info@hotelsimos.com,26460-81380,26460-81382,Μύτικας,,300 19,26460-81245,21-08311323,
ΣΙΤΥ ΛΟΦΤ,"


2 Χλμ
",3,www.cityloft.gr,info@cityloft.gr,2610-223552,,Πάτρα,ΒΑΛΤΑΤΣΙΟΥ 6,262 23,2610-223556,,
ΣΙΤΥ ΛΟΦΤ ΙΙ,,3,,info@cityloft.gr,2610223552,,Πάτρα,ΒΑΛΤΕΤΣΙΟΥ  4,26223,,,
